Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Data Source,Technology Name,Spatial Scale,Metric,Unit,Country Code
Belgium,194,132.0,144.0,148.0,142.0,147.0,163.0,184.0,188.0,182.0,172.0,181,170,171,157,167,163,161,175.0,175,146,182,168,Eurostat,Commercial Aircrafts,National,Total Number,-,BE
Bulgaria,76,67.0,56.0,64.0,71.0,76.0,74.0,46.0,55.0,58.0,62.0,63,56,46,49,47,53,53,61.0,64,46,59,50,Eurostat,Commercial Aircrafts,National,Total Number,-,BG
Czechia,46,49.0,47.0,54.0,66.0,70.0,74.0,74.0,85.0,91.0,89.0,79,73,72,69,70,77,83,102.0,83,89,101,88,Eurostat,Commercial Aircrafts,National,Total Number,-,CZ
Denmark,183,179.0,180.0,173.0,128.0,132.0,139.0,154.0,135.0,148.0,157.0,157,145,146,150,147,148,148,149.0,149,118,127,126,Eurostat,Commercial Aircrafts,National,Total Number,-,DK
Germany,863,866.0,885.0,904.0,913.0,944.0,988.0,1056.0,1090.0,1104.0,1129.0,1151,1146,1105,1114,1116,1134,1113,1118.0,1135,824,1010,1058,Eurostat,Commercial Aircrafts,National,Total Number,-,DE
Estonia,24,21.0,21.0,17.0,27.0,29.0,26.0,28.0,20.0,21.0,20.0,20,27,29,36,31,26,35,40.0,30,27,30,32,Eurostat,Commercial Aircrafts,National,Total Number,-,EE
Ireland,104,112.0,131.0,135.0,169.0,193.0,223.0,266.0,279.0,324.0,369.0,394,428,423,430,477,557,635,663.0,559,363,352,386,Eurostat,Commercial Aircrafts,National,Total Number,-,IE
Greece,93,91.0,96.0,86.0,97.0,86.0,98.0,101.0,122.0,122.0,123.0,114,90,90,90,101,101,105,117.0,113,90,105,120,Eurostat,Commercial Aircrafts,National,Total Number,-,GR
Spain,435,429.0,436.0,461.0,486.0,536.0,576.0,620.0,562.0,514.0,510.0,492,455,451,472,494,496,505,525.0,567,387,483,548,Eurostat,Commercial Aircrafts,National,Total Number,-,ES
France,646,638.0,620.0,587.0,578.0,557.0,570.0,579.0,600.0,599.0,586.0,607,602,571,561,553,550,555,553.0,548,464,499,503,Eurostat,Commercial Aircrafts,National,Total Number,-,FR
Croatia,17,19.0,19.0,18.0,22.0,24.0,20.0,17.0,22.0,23.0,22.0,18,17,17,18,23,22,20,21.0,21,18,24,27,Eurostat,Commercial Aircrafts,National,Total Number,-,HR
Italy,412,415.0,463.0,459.0,446.0,458.0,483.0,512.0,434.0,437.0,429.0,415,381,331,302,296,286,277,274.0,284,185,181,206,Eurostat,Commercial Aircrafts,National,Total Number,-,IT
Cyprus,23,24.0,27.0,27.0,31.0,29.0,26.0,26.0,30.0,32.0,22.0,20,21,17,16,7,15,18,14.0,17,13,13,16,Eurostat,Commercial Aircrafts,National,Total Number,-,CY
Latvia,23,23.0,25.0,27.0,32.0,34.0,37.0,47.0,55.0,56.0,55.0,50,48,45,42,47,48,56,51.0,52,30,40,40,Eurostat,Commercial Aircrafts,National,Total Number,-,LV
Lithuania,26,28.0,21.0,25.0,25.0,28.0,27.0,30.0,34.0,27.0,26.0,29,25,25,31,26,30,28,26.0,35,27,20,17,Eurostat,Commercial Aircrafts,National,Total Number,-,LT
Luxembourg,54,53.0,58.0,65.0,72.0,78.0,81.0,90.0,97.0,107.0,106.0,122,130,122,121,130,124,122,127.0,139,130,124,109,Eurostat,Commercial Aircrafts,National,Total Number,-,LU
Hungary,47,42.0,41.0,44.0,56.0,58.0,68.0,66.0,76.0,79.0,73.0,72,52,55,72,86,94,110,120.0,132,115,158,148,Eurostat,Commercial Aircrafts,National,Total Number,-,HU
Malta,14,15.0,18.0,19.0,19.0,20.0,21.0,22.0,27.0,33.0,37.0,43,57,73,108,145,172,180,202.0,282,352,444,492,Eurostat,Commercial Aircrafts,National,Total Number,-,MT
Netherlands,226,222.0,222.0,236.0,241.0,235.0,245.0,248.0,263.0,255.0,247.0,244,247,249,252,244,245,245,259.0,257,231,245,243,Eurostat,Commercial Aircrafts,National,Total Number,-,NL
Austria,146,156.0,166.0,177.0,212.0,250.0,265.0,301.0,363.0,376.0,363.0,372,375,365,337,324,320,330,459.0,494,345,414,415,Eurostat,Commercial Aircrafts,National,Total Number,-,AT
Poland,63,72.0,71.0,71.0,69.0,76.0,86.0,92.0,86.0,94.0,91.0,99,107,103,102,103,109,130,160.0,203,188,204,213,Eurostat,Commercial Aircrafts,National,Total Number,-,PL
Portugal,104,113.0,127.0,135.0,155.0,190.0,211.0,237.0,273.0,261.0,265.0,250,246,235,227,234,229,236,239.0,256,226,238,240,Eurostat,Commercial Aircrafts,National,Total Number,-,PT
