ID,1750,1751,1752,1753,1754,1755,1756,1757,1758,1759,1760,1761,1762,1763,1764,1765,1766,1767,1768,1769,1770,1771,1772,1773,1774,1775,1776,1777,1778,1779,1780,1781,1782,1783,1784,1785,1786,1787,1788,1789,1790,1791,1792,1793,1794,1795,1796,1797,1798,1799,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,Country Name,Country Code,Data Source,Spatial Scale,Unit,Metric,Technology Name
Postal Traffic_Total Number_CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.9,0.9,0.9,1.5,2.4,2.9,,,,,,,2.8,2.6,3.1,3.2,4.1,4.6,6.3,6.3,6.3,7.5,6.0,8.3,7.5,5.6,5.1,5.3,5.9,7.0,7.6,9.0,7.9,4.7,5.7,5.3,6.9,9.5,14.0,15.0,18.0,23.0,24.0,28.0,35.0,40.0,53.0,58.0,66.0,63.0,74.0,64.0,,,,,,,,,,,,42.0,,54.0,88.0,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Democratic Republic of the Congo,CD,CHAT,National,-,Total Number,Postal Traffic
Postal Traffic_Total Number_MY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,1.6,1.8,2.0,2.3,2.5,2.5,2.7,2.5,2.3,2.5,2.7,2.7,2.8,3.4,4.1,4.1,4.6,5.5,6.0,7.1,8.0,8.5,8.9,9.2,9.8,10.1,10.5,10.7,11.7,14.2,16.0,,20.0,22.0,25.0,22.0,24.0,26.0,27.0,20.0,24.0,27.0,30.0,33.0,33.0,33.0,37.0,40.0,38.0,44.0,49.0,42.0,43.0,47.0,48.0,56.0,65.0,74.0,79.0,86.0,79.0,70.0,79.0,75.0,88.0,94.0,104.0,116.0,122.0,,,,,,,,54.0,75.0,99.0,,106.0,120.0,133.0,135.0,131.0,141.0,151.0,105.0,108.0,123.0,132.0,155.0,163.0,174.0,281.0,218.0,230.0,238.0,247.0,271.0,291.0,303.0,326.0,363.0,386.0,408.0,431.0,470.0,513.0,529.0,604.0,841.0,767.0,845.0,964.0,990.0,942.0,865.0,855.0,862.0,893.0,922.0,955.0,1003.0,,,,,,,,,,,,,,,,Malaysia,MY,CHAT,National,-,Total Number,Postal Traffic
Postal Traffic_Total Number_PH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.0,251.0,,,,,9.0,72.0,,,,,,,,,,,,,,,,260.0,270.0,312.0,345.0,367.0,355.0,423.0,451.0,480.0,509.0,540.0,582.0,628.0,693.0,768.0,797.0,868.0,401.0,440.0,481.0,477.0,530.0,569.0,625.0,751.0,756.0,799.0,806.0,,,,,,,,,,,,,,,,,,,,Philippines,PH,CHAT,National,-,Total Number,Postal Traffic
Postal Traffic_Total Number_TW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2,6.8,7.5,8.5,12.0,,13.0,14.0,16.0,17.0,18.0,20.0,23.0,25.0,28.0,32.0,31.0,34.0,35.0,37.0,41.0,46.0,49.0,54.0,59.0,62.0,61.0,58.0,58.0,57.0,52.0,60.0,62.0,64.0,67.0,67.0,70.0,76.0,78.0,90.0,92.0,89.0,,,,,,100.0,,,37.0,36.0,,36.0,42.0,52.0,66.0,84.0,106.0,131.0,169.0,236.0,323.0,374.0,370.0,324.0,353.0,383.0,411.0,397.0,377.0,403.0,454.0,510.0,574.0,653.0,732.0,801.0,876.0,844.0,767.0,786.0,835.0,909.0,972.0,1073.0,1147.0,1159.0,1229.0,1318.0,1437.0,1443.0,1545.0,1816.0,1708.0,1741.0,1819.0,1846.0,2016.0,2142.0,2219.0,2401.0,2589.0,2705.0,3088.0,,,,,,,,,Taiwan,TW,CHAT,National,-,Total Number,Postal Traffic
Postal Traffic_Total Number_LK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,15.0,23.0,23.0,24.0,27.0,29.0,30.0,32.0,35.0,37.0,39.0,41.0,46.0,49.0,46.0,44.0,43.0,43.0,44.0,49.0,54.0,58.0,61.0,68.0,79.0,89.0,101.0,112.0,121.0,113.0,117.0,86.0,78.0,98.0,105.0,106.0,90.0,87.0,90.0,78.0,82.0,83.0,102.0,104.0,116.0,147.0,141.0,162.0,201.0,228.0,257.0,269.0,273.0,279.0,284.0,285.0,303.0,277.0,307.0,332.0,324.0,343.0,363.0,402.0,418.0,414.0,409.0,451.0,464.0,522.0,527.0,559.0,463.0,482.0,554.0,626.0,514.0,776.0,637.0,674.0,677.0,817.0,844.0,,635.0,636.0,605.0,564.0,476.0,512.0,533.0,454.0,477.0,,,,,,,,,,,,,,,,Sri Lanka,LK,CHAT,National,-,Total Number,Postal Traffic
Postal Traffic_Total Number_US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3747.0,3495.0,3576.0,3860.0,4005.0,4370.0,4777.0,5022.0,4919.0,5134.0,5694.0,5781.0,6214.0,6576.0,7130.0,7424.0,8085.0,8887.0,9502.0,10188.0,11361.0,12256.0,13364.0,14005.0,14850.0,16901.0,17589.0,18567.0,,,,,,,,,,23055.0,,,25484.0,26687.0,26837.0,27952.0,27888.0,26544.0,24307.0,19868.0,20626.0,22332.0,23571.0,25801.0,26042.0,26445.0,27749.0,29236.0,30118.0,32818.0,34931.0,37912.0,36318.0,37428.0,40280.0,43555.0,45064.0,46908.0,49906.0,50948.0,52213.0,55234.0,56441.0,59078.0,60130.0,61247.0,63675.0,64933.0,66493.0,67853.0,69676.0,71873.0,75607.0,78367.0,79517.0,82005.0,84882.0,86983.0,87156.0,89683.0,90098.0,89266.0,89768.0,92224.0,96913.0,99829.0,106311.0,110130.0,114049.0,119381.0,131545.0,140098.0,147376.0,153931.0,160491.0,161603.0,166301.0,165801.0,166443.0,171313.0,,,,,,,,,,,,,,,,United States,US,CHAT,National,-,Total Number,Postal Traffic
Postal Traffic_Total Number_CM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.9,1.1,0.9,1.0,1.1,1.5,,,,,,,,,,,,,,,,,,,,,,,,,2.3,2.4,1.9,1.0,0.5,0.5,0.5,0.7,2.1,,,,3.8,4.2,5.8,7.1,17.0,22.0,18.0,18.0,18.0,,,,,,,,9.2,,42.0,45.0,48.0,47.0,,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cameroon,CM,CHAT,National,-,Total Number,Postal Traffic
Postal Traffic_Total Number_IE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204.0,198.0,201.0,197.0,203.0,202.0,,206.0,,193.0,191.0,,197.0,219.0,,226.0,220.0,,186.0,,,228.0,,,,272.0,276.0,277.0,287.0,292.0,318.0,332.0,,314.0,326.0,,,352.0,,360.0,351.0,358.0,359.0,364.0,372.0,378.0,387.0,382.0,382.0,365.0,382.0,387.0,390.0,408.0,406.0,241.0,403.0,426.0,378.0,388.0,415.0,434.0,447.0,456.0,465.0,472.0,482.0,494.0,484.0,518.0,,,,,,,,,,,,,,,,Ireland,IE,CHAT,National,-,Total Number,Postal Traffic
Postal Traffic_Total Number_PK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.0,190.0,213.0,238.0,260.0,268.0,269.0,288.0,302.0,325.0,345.0,359.0,378.0,391.0,415.0,431.0,430.0,428.0,438.0,455.0,461.0,433.0,378.0,387.0,398.0,438.0,484.0,485.0,555.0,591.0,658.0,699.0,607.0,627.0,694.0,806.0,739.0,711.0,659.0,687.0,719.0,725.0,733.0,747.0,754.0,411.0,,,,,,,,,,,,,,,,Pakistan,PK,CHAT,National,-,Total Number,Postal Traffic
Postal Traffic_Total Number_DK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,7.6,8.0,9.6,9.7,9.4,9.7,10.3,11.1,12.0,12.2,14.0,15.6,17.3,19.0,21.6,23.2,24.7,26.0,27.2,30.1,31.9,33.0,37.5,37.7,39.4,41.8,42.7,45.3,49.3,50.9,52.3,57.4,59.7,62.5,66.2,68.6,74.4,78.1,83.2,88.2,92.0,98.0,103.0,112.0,123.0,137.0,144.0,150.0,158.0,160.0,170.0,178.0,183.0,179.0,187.0,194.0,197.0,218.0,243.0,223.0,212.0,217.0,220.0,233.0,234.0,234.0,251.0,251.0,259.0,253.0,271.0,263.0,261.0,266.0,277.0,295.0,306.0,315.0,324.0,269.0,281.0,299.0,322.0,326.0,349.0,396.0,404.0,397.0,415.0,433.0,437.0,441.0,459.0,466.0,479.0,483.0,497.0,533.0,547.0,571.0,599.0,620.0,637.0,660.0,697.0,716.0,749.0,777.0,820.0,870.0,911.0,928.0,964.0,953.0,960.0,988.0,1020.0,1054.0,1093.0,1126.0,1108.0,1074.0,1075.0,1034.0,1161.0,1217.0,1252.0,1312.0,1337.0,1384.0,1321.0,1296.0,,,,,,,,,,,,,,,,Denmark,DK,CHAT,National,-,Total Number,Postal Traffic
