ID,1750,1751,1752,1753,1754,1755,1756,1757,1758,1759,1760,1761,1762,1763,1764,1765,1766,1767,1768,1769,1770,1771,1772,1773,1774,1775,1776,1777,1778,1779,1780,1781,1782,1783,1784,1785,1786,1787,1788,1789,1790,1791,1792,1793,1794,1795,1796,1797,1798,1799,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,Country Name,Country Code,Data Source,Spatial Scale,Unit,Metric,Technology Name
Radio_Total Number_MY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,524.0,511.0,498.0,485.0,472.0,459.0,446.0,433.0,420.0,453.0,538.0,558.0,579.0,600.0,713.0,847.0,1006.0,1195.0,1420.0,1872.0,2467.0,3252.0,4286.0,5650.0,5828.0,6012.0,6202.0,6398.0,6600.0,6803.0,7012.0,7228.0,7451.0,7680.0,7874.0,8073.0,8277.0,8486.0,8700.0,8900.0,9100.0,9300.0,9500.0,,,,,,,,,,Malaysia,MY,CHAT,National,-,Total Number,Radio
Radio_Total Number_LU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,34.0,34.0,,,,,,,39.0,44.0,49.0,54.0,58.0,63.0,67.0,72.0,76.0,80.0,84.0,89.0,92.0,95.0,98.0,101.0,105.0,110.0,115.0,119.0,126.0,133.0,140.0,149.0,157.0,163.0,169.0,176.0,177.0,178.0,179.0,180.0,182.0,185.0,186.0,199.0,212.0,225.0,226.0,228.0,230.0,233.0,235.0,238.0,240.0,244.0,248.0,252.0,256.0,260.0,280.0,285.0,290.0,295.0,,,,,,,,,,Luxembourg,LU,CHAT,National,-,Total Number,Radio
Radio_Total Number_SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,5.0,40.0,126.0,243.0,328.0,381.0,428.0,482.0,550.0,609.0,666.0,733.0,834.0,944.0,1074.0,1227.0,1310.0,,,,,,,1897.0,1961.0,2025.0,2119.0,2218.0,2321.0,2429.0,2542.0,2660.0,2784.0,2913.0,3049.0,3190.0,3339.0,3494.0,3519.0,3544.0,3569.0,3594.0,3620.0,3645.0,3671.0,3697.0,3720.0,3750.0,3836.0,3924.0,4014.0,4106.0,4200.0,4652.0,5152.0,5706.0,6320.0,7000.0,7050.0,7120.0,7150.0,7200.0,7250.0,7300.0,7350.0,7400.0,7450.0,7500.0,7550.0,7600.0,7650.0,7700.0,7750.0,8000.0,8250.0,8508.0,8774.0,,,,,,,,,,Sweden,SE,CHAT,National,-,Total Number,Radio
Radio_Total Number_PK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,24.0,43.0,62.0,74.0,86.0,98.0,103.0,109.0,132.0,156.0,180.0,204.0,276.0,344.0,412.0,480.0,549.0,781.0,1014.0,1330.0,1744.0,2287.0,3000.0,3178.0,3366.0,3565.0,3776.0,4000.0,4263.0,4543.0,4842.0,5161.0,5500.0,6000.0,6546.0,7142.0,7791.0,8500.0,8892.0,9302.0,9731.0,10180.0,10650.0,10997.0,11355.0,11724.0,12106.0,12500.0,12900.0,13500.0,14130.0,14790.0,,,,,,,,,,Pakistan,PK,CHAT,National,-,Total Number,Radio
Radio_Total Number_SD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,8.0,9.0,10.0,11.0,32.0,53.0,74.0,95.0,116.0,137.0,158.0,180.0,545.0,910.0,1275.0,1310.0,1400.0,1671.0,1888.0,2132.0,2408.0,2720.0,3072.0,3500.0,3814.0,4155.0,4527.0,4933.0,5375.0,5548.0,5726.0,5909.0,6099.0,6295.0,6461.0,6639.0,6821.0,7008.0,7200.0,7360.0,7550.0,7740.0,7940.0,,,,,,,,,,Sudan,SD,CHAT,National,-,Total Number,Radio
Radio_Total Number_MU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.0,110.0,110.0,119.0,120.0,139.0,150.0,162.0,178.0,196.0,215.0,237.0,260.0,274.0,288.0,303.0,318.0,335.0,344.0,354.0,364.0,374.0,385.0,390.0,395.0,400.0,405.0,410.0,415.0,420.0,425.0,430.0,,,,,,,,,,Mauritius,MU,CHAT,National,-,Total Number,Radio
Radio_Total Number_KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,6.0,7.0,11.0,15.0,19.0,32.0,37.0,42.0,47.0,52.0,58.0,63.0,68.0,73.0,78.0,84.0,89.0,94.0,99.0,104.0,110.0,154.0,217.0,304.0,427.0,600.0,636.0,673.0,713.0,755.0,800.0,827.0,854.0,882.0,912.0,942.0,975.0,1010.0,1045.0,1082.0,1120.0,1300.0,1340.0,1381.0,1424.0,,,,,,,,,,Cambodia,KH,CHAT,National,-,Total Number,Radio
Radio_Total Number_MR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,20.0,23.0,27.0,31.0,34.0,38.0,41.0,45.0,50.0,55.0,75.0,80.0,81.0,81.0,82.0,93.0,104.0,118.0,133.0,150.0,166.0,184.0,204.0,226.0,250.0,258.0,266.0,274.0,282.0,291.0,300.0,310.0,319.0,330.0,340.0,350.0,360.0,370.0,381.0,,,,,,,,,,Mauritania,MR,CHAT,National,-,Total Number,Radio
Radio_Total Number_DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,1022.0,1377.0,2235.0,3238.0,3732.0,4168.0,4533.0,5425.0,6725.0,7584.0,8512.0,9575.0,12415.0,14060.0,,,,,,,,,,16212.0,17105.0,18048.0,19042.0,20091.0,21198.0,22366.0,23598.0,24898.0,26270.0,27718.0,29245.0,30856.0,32556.0,34350.0,36242.0,38239.0,40346.0,42569.0,44914.0,47389.0,50000.0,50490.0,50985.0,51485.0,51990.0,52500.0,52991.0,53486.0,53986.0,54491.0,55000.0,55491.0,55987.0,56487.0,56991.0,57500.0,57669.0,57839.0,58009.0,58179.0,69650.0,71062.0,72502.0,73971.0,75470.0,77000.0,77500.0,77800.0,78100.0,78400.0,,,,,,,,,Germany,DE,CHAT,National,-,Total Number,Radio
Radio_Total Number_HT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,,,,,,,6.0,5.0,4.0,3.0,4.0,7.0,10.0,14.0,15.0,17.0,19.0,19.0,20.0,21.0,21.0,21.0,34.0,47.0,60.0,63.0,64.0,75.0,80.0,81.0,83.0,85.0,86.0,90.0,91.0,93.0,95.0,98.0,100.0,101.0,105.0,111.0,118.0,125.0,132.0,140.0,162.0,187.0,217.0,251.0,290.0,306.0,323.0,341.0,360.0,380.0,400.0,415.0,420.0,425.0,,,,,,,,,,Haiti,HT,CHAT,National,-,Total Number,Radio
