ID,1750,1751,1752,1753,1754,1755,1756,1757,1758,1759,1760,1761,1762,1763,1764,1765,1766,1767,1768,1769,1770,1771,1772,1773,1774,1775,1776,1777,1778,1779,1780,1781,1782,1783,1784,1785,1786,1787,1788,1789,1790,1791,1792,1793,1794,1795,1796,1797,1798,1799,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,Country Name,Country Code,Data Source,Spatial Scale,Unit,Metric,Technology Name
Railroad_Total Length_KG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370.0,,,,,,,,,,,,,,,,Kyrgyzstan,KG,CHAT,National,kilometers,Total Length,Railroad
Railroad_Total Length_CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,71.0,105.0,185.0,264.0,402.0,402.0,435.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,1235.0,1235.0,1269.0,1507.0,,,,,,,,2064.0,2071.0,2071.0,2071.0,2071.0,2105.0,2105.0,2263.0,3386.0,3521.0,3539.0,4275.0,4456.0,4585.0,4585.0,4582.0,4674.0,4749.0,4756.0,4646.0,4646.0,4646.0,4646.0,4646.0,4646.0,4758.0,4758.0,4774.0,4764.0,4764.0,4790.0,4986.0,4759.0,4736.0,4923.0,5133.0,5133.0,5133.0,5132.0,5074.0,4979.0,4980.0,4980.0,4980.0,5024.0,5024.0,5024.0,5024.0,5024.0,5024.0,5081.0,5088.0,5088.0,5088.0,5088.0,5088.0,5088.0,5088.0,5088.0,5088.0,5088.0,5088.0,5088.0,5088.0,5088.0,5088.0,5088.0,5088.0,5088.0,5118.0,5118.0,5118.0,5118.0,5118.0,5118.0,5118.0,5118.0,5118.0,,,,,,,,,,,Democratic Republic of the Congo,CD,CHAT,National,kilometers,Total Length,Railroad
Railroad_Total Length_MY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,56.0,56.0,56.0,70.0,120.0,170.0,238.0,288.0,327.0,353.0,384.0,401.0,455.0,522.0,546.0,604.0,735.0,735.0,849.0,915.0,915.0,945.0,947.0,1086.0,1127.0,1181.0,1241.0,1323.0,1403.0,1410.0,1497.0,1527.0,1527.0,1545.0,1555.0,1555.0,1580.0,1611.0,1617.0,1617.0,1666.0,1669.0,1669.0,1723.0,1725.0,1717.0,1717.0,1719.0,1719.0,1719.0,1719.0,1719.0,1719.0,1719.0,,,,,,1286.0,1322.0,1406.0,1427.0,1460.0,1490.0,1495.0,1595.0,1699.0,1700.0,1704.0,1706.0,1712.0,1707.0,1707.0,1704.0,1706.0,1728.0,1728.0,1728.0,1746.0,1752.0,1756.0,1756.0,1756.0,1756.0,1756.0,1889.0,1748.0,1690.0,1690.0,1686.0,1686.0,1692.0,1694.0,1694.0,1694.0,1694.0,1694.0,1694.0,1694.0,1694.0,1694.0,1806.0,1806.0,1806.0,1444.0,1444.0,,,,,,,,,,,,,,,,Malaysia,MY,CHAT,National,kilometers,Total Length,Railroad
Railroad_Total Length_ET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309.0,309.0,309.0,310.0,310.0,310.0,310.0,310.0,310.0,310.0,311.0,542.0,542.0,542.0,784.0,784.0,784.0,784.0,784.0,784.0,784.0,784.0,784.0,784.0,784.0,784.0,784.0,784.0,784.0,784.0,784.0,784.0,784.0,784.0,784.0,784.0,784.0,784.0,784.0,784.0,784.0,784.0,784.0,784.0,784.0,784.0,784.0,784.0,784.0,784.0,784.0,784.0,784.0,784.0,784.0,784.0,784.0,781.0,781.0,781.0,781.0,781.0,781.0,781.0,781.0,781.0,781.0,781.0,781.0,781.0,781.0,781.0,781.0,781.0,781.0,781.0,781.0,781.0,781.0,781.0,781.0,781.0,781.0,781.0,781.0,781.0,681.0,681.0,681.0,681.0,681.0,,,,,,,,,,,,,,,,Ethiopia,ET,CHAT,National,kilometers,Total Length,Railroad
Railroad_Total Length_PH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.0,162.0,162.0,162.0,162.0,162.0,162.0,162.0,,,170.0,662.0,847.0,906.0,817.0,1083.0,1146.0,1157.0,1014.0,1016.0,1002.0,1021.0,1034.0,1041.0,1053.0,1053.0,1053.0,1053.0,1053.0,1069.0,1080.0,1114.0,1154.0,1154.0,1154.0,1154.0,1154.0,1078.0,1123.0,1119.0,1119.0,1119.0,,,,546.0,750.0,,,1118.0,,,945.0,945.0,945.0,962.0,964.0,964.0,965.0,989.0,1020.0,1020.0,1020.0,1031.0,1031.0,1031.0,1031.0,1031.0,1031.0,1052.0,1052.0,1052.0,1052.0,1034.0,1059.0,1060.0,1069.0,1069.0,1072.0,1072.0,1059.0,1059.0,1059.0,1027.0,,,,921.0,,,,,,,,,,,,,,,,,,,,,,Philippines,PH,CHAT,National,kilometers,Total Length,Railroad
Railroad_Total Length_TW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,97.0,97.0,29.0,42.0,61.0,73.0,93.0,110.0,124.0,124.0,129.0,129.0,129.0,374.0,459.0,527.0,597.0,613.0,611.0,624.0,644.0,647.0,709.0,725.0,759.0,812.0,834.0,860.0,869.0,887.0,885.0,891.0,905.0,911.0,917.0,929.0,937.0,951.0,962.0,,1002.0,,,,,,898.0,,901.0,917.0,917.0,938.0,936.0,940.0,940.0,950.0,950.0,950.0,950.0,950.0,950.0,950.0,950.0,950.0,976.0,976.0,976.0,976.0,976.0,976.0,976.0,992.0,992.0,992.0,992.0,992.0,992.0,992.0,992.0,992.0,992.0,992.0,992.0,1071.0,1071.0,1071.0,1071.0,1071.0,1071.0,1071.0,1071.0,1072.0,1062.0,1045.0,1108.0,1108.0,1108.0,1108.0,1108.0,1109.0,1110.0,,,,,,,,,,,Taiwan,TW,CHAT,National,kilometers,Total Length,Railroad
Railroad_Total Length_LK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.0,132.0,132.0,132.0,146.0,153.0,179.0,180.0,196.0,224.0,224.0,224.0,224.0,270.0,291.0,291.0,291.0,291.0,291.0,309.0,309.0,309.0,373.0,436.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,594.0,631.0,752.0,904.0,904.0,904.0,911.0,929.0,930.0,930.0,974.0,974.0,1081.0,1115.0,1136.0,1136.0,1146.0,1172.0,1172.0,1176.0,1178.0,1181.0,1194.0,1273.0,1370.0,1440.0,1530.0,1530.0,1530.0,1530.0,1530.0,1530.0,1530.0,1530.0,1530.0,1530.0,1530.0,1530.0,1530.0,1530.0,1514.0,1469.0,1469.0,1469.0,1469.0,1469.0,1469.0,1439.0,1442.0,1442.0,1442.0,1442.0,1444.0,1445.0,1445.0,1445.0,1445.0,1445.0,1445.0,1445.0,1445.0,1445.0,1484.0,1489.0,1490.0,1497.0,1500.0,1535.0,1535.0,1535.0,1535.0,1535.0,1535.0,1501.0,1501.0,1453.0,1453.0,1453.0,1453.0,1453.0,1453.0,1453.0,1453.0,1453.0,1453.0,1453.0,1453.0,1453.0,1453.0,1462.0,1462.0,1491.0,1491.0,1491.0,1500.0,1500.0,1500.0,,,,,,,,,,,Sri Lanka,LK,CHAT,National,kilometers,Total Length,Railroad
Railroad_Total Length_US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,150.0,362.0,601.0,1000.0,1734.0,2011.0,2365.0,3022.0,3636.0,4451.0,5583.0,6358.0,6610.0,6913.0,7317.0,7786.0,8841.0,9470.0,11632.0,14248.0,17345.0,20386.0,24259.0,26407.0,28957.0,34866.0,38699.0,42592.0,45468.0,48370.0,49412.0,50729.0,52388.0,53553.0,55412.0,58122.0,61674.0,66695.0,73984.0,83583.0,95237.0,104508.0,110978.0,114322.0,117024.0,121307.0,124899.0,129108.0,136703.0,147295.0,162845.0,181117.0,191770.0,197965.0,202664.0,215327.0,235663.0,246560.0,254714.0,263284.0,271018.0,276105.0,283986.0,287604.0,290739.0,294151.0,296808.0,299975.0,304641.0,311195.0,317422.0,325847.0,334707.0,344245.0,351196.0,361335.0,370540.0,376326.0,392123.0,387968.0,394126.0,398635.0,403461.0,407208.0,409640.0,410399.0,409397.0,409127.0,408151.0,407709.0,405029.0,405573.0,405261.0,405155.0,402656.0,402220.0,402213.0,402500.0,402695.0,402081.0,401658.0,399673.0,396599.0,393628.0,390353.0,387588.0,385069.0,382338.0,379477.0,376918.0,374184.0,369683.0,367811.0,366742.0,365714.0,365292.0,364314.0,363254.0,362227.0,361049.0,360483.0,359006.0,357799.0,356737.0,355997.0,355320.0,353476.0,352401.0,351058.0,351037.0,348334.0,346154.0,345022.0,341276.0,340190.0,338884.0,336823.0,334922.0,333142.0,331174.0,329426.0,326335.0,323586.0,322498.0,320000.0,283000.0,306000.0,307000.0,298000.0,288000.0,270000.0,265000.0,259000.0,253000.0,249000.0,248000.0,245000.0,241000.0,250000.0,244000.0,241000.0,234000.0,231000.0,231000.0,231000.0,,,,,,,,,,,,,,United States,US,CHAT,National,kilometers,Total Length,Railroad
Railroad_Total Length_CM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,107.0,107.0,160.0,241.0,310.0,,,,,,,,341.0,341.0,341.0,341.0,341.0,379.0,467.0,504.0,504.0,504.0,504.0,504.0,504.0,504.0,504.0,504.0,504.0,504.0,504.0,504.0,504.0,504.0,504.0,504.0,504.0,504.0,504.0,504.0,504.0,504.0,504.0,504.0,504.0,509.0,509.0,509.0,517.0,517.0,517.0,517.0,517.0,517.0,517.0,517.0,517.0,532.0,532.0,532.0,839.0,839.0,839.0,879.0,1170.0,1170.0,1170.0,1143.0,1143.0,1186.0,1186.0,1186.0,1186.0,1186.0,1186.0,1186.0,1186.0,1186.0,1186.0,1186.0,1186.0,1186.0,1186.0,1186.0,1186.0,1186.0,1186.0,1186.0,1186.0,1186.0,,,,,,,,,,,Cameroon,CM,CHAT,National,kilometers,Total Length,Railroad
Railroad_Total Length_IE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,21.0,,,,,,,,585.0,795.0,865.0,1005.0,1140.0,1343.0,1444.0,1589.0,1702.0,1725.0,1913.0,2037.0,2195.0,2291.0,2573.0,2803.0,2889.0,2960.0,3074.0,3105.0,,,,3201.0,3367.0,3383.0,3425.0,3459.0,3473.0,3547.0,3638.0,3679.0,3816.0,3931.0,3969.0,4029.0,4066.0,4146.0,4238.0,4306.0,4401.0,4494.0,4496.0,4610.0,4662.0,4816.0,4902.0,5109.0,5117.0,5101.0,5114.0,5114.0,5125.0,5166.0,5175.0,5266.0,5307.0,5333.0,5415.0,5414.0,5415.0,5460.0,5476.0,5478.0,5480.0,5491.0,,,,,,5531.0,5542.0,5542.0,5542.0,5542.0,5525.0,5535.0,5535.0,5535.0,5517.0,5517.0,5507.0,5512.0,5510.0,5485.0,5467.0,5327.0,5296.0,5255.0,5234.0,5234.0,5205.0,5164.0,5164.0,5166.0,,5074.0,5074.0,5008.0,5008.0,5008.0,4965.0,4862.0,4797.0,4661.0,4654.0,4519.0,4458.0,4337.0,4136.0,3457.0,3289.0,3141.0,2831.0,2824.0,2824.0,2668.0,2474.0,2474.0,2472.0,2472.0,2517.0,2515.0,2515.0,2515.0,2515.0,2334.0,2337.0,2337.0,2338.0,2321.0,2321.0,2321.0,2319.0,2276.0,2276.0,2276.0,2276.0,2276.0,2276.0,1944.0,1944.0,1944.0,2812.0,2812.0,,,,,,,,,,,,,,,,Ireland,IE,CHAT,National,kilometers,Total Length,Railroad
