ID,1750,1751,1752,1753,1754,1755,1756,1757,1758,1759,1760,1761,1762,1763,1764,1765,1766,1767,1768,1769,1770,1771,1772,1773,1774,1775,1776,1777,1778,1779,1780,1781,1782,1783,1784,1785,1786,1787,1788,1789,1790,1791,1792,1793,1794,1795,1796,1797,1798,1799,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,Country Name,Country Code,Data Source,Spatial Scale,Unit,Metric,Technology Name
Steamships_Total Number_SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288.0,293.0,310.0,344.0,358.0,368.0,406.0,479.0,565.0,627.0,664.0,681.0,691.0,752.0,752.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sweden,SE,CHAT,National,-,Total Number,Steamships
Steamships_Total Number_DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,22.0,20.0,26.0,32.0,39.0,49.0,73.0,80.0,83.0,70.0,72.0,73.0,76.0,81.0,85.0,88.0,98.0,114.0,126.0,132.0,175.0,216.0,253.0,299.0,319.0,318.0,336.0,351.0,374.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.0,186.0,278.0,288.0,298.0,283.0,266.0,257.0,274.0,263.0,244.0,224.0,177.0,160.0,140.0,116.0,99.0,82.0,75.0,70.0,68.0,57.0,51.0,42.0,42.0,58.0,63.0,69.0,,53.0,44.0,44.0,38.0,35.0,32.0,28.0,23.0,19.0,11.0,10.0,9.0,9.0,,9.0,7.0,6.0,3.0,,,,,,,,,,,,,,Germany,DE,CHAT,National,-,Total Number,Steamships
Steamships_Total Number_GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,8.0,12.0,14.0,19.0,24.0,35.0,60.0,87.0,103.0,118.0,156.0,235.0,260.0,280.0,295.0,304.0,331.0,359.0,395.0,439.0,513.0,573.0,637.0,692.0,738.0,787.0,809.0,850.0,876.0,919.0,936.0,983.0,1054.0,1141.0,1173.0,1211.0,1252.0,1298.0,1414.0,1555.0,1709.0,1732.0,1862.0,1966.0,1958.0,2041.0,2177.0,2274.0,2345.0,2541.0,2774.0,2889.0,2991.0,3005.0,3033.0,3244.0,3452.0,3749.0,3943.0,4116.0,4256.0,4424.0,4658.0,4926.0,5131.0,5355.0,5619.0,5934.0,6389.0,6737.0,6781.0,6790.0,6800.0,7013.0,7286.0,7563.0,7879.0,8114.0,8255.0,8433.0,,8559.0,8698.0,8767.0,9020.0,9215.0,9399.0,9680.0,10005.0,10331.0,10584.0,10739.0,11132.0,11629.0,11866.0,12040.0,12248.0,12495.0,12637.0,12862.0,12771.0,12405.0,11534.0,11334.0,11791.0,12307.0,12660.0,12787.0,10813.0,10690.0,10526.0,10262.0,10032.0,9959.0,9855.0,9729.0,9529.0,9248.0,8900.0,8622.0,8306.0,8032.0,7702.0,7441.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United Kingdom,GB,CHAT,National,-,Total Number,Steamships
Steamships_Total Number_GR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,1.0,1.0,1.0,1.0,1.0,11.0,11.0,11.0,,,,,16.0,20.0,27.0,,,,,,,,,72.0,,,83.0,98.0,82.0,97.0,105.0,162.0,161.0,,112.0,107.0,109.0,100.0,108.0,122.0,134.0,184.0,167.0,179.0,183.0,201.0,212.0,224.0,261.0,298.0,322.0,346.0,389.0,450.0,474.0,,,205.0,282.0,335.0,440.0,418.0,431.0,437.0,467.0,472.0,504.0,528.0,547.0,559.0,575.0,558.0,565.0,600.0,600.0,605.0,615.0,607.0,577.0,,,,,,,138.0,270.0,305.0,327.0,337.0,331.0,489.0,461.0,478.0,486.0,516.0,549.0,616.0,827.0,1043.0,1165.0,1232.0,1314.0,1442.0,1570.0,1739.0,1848.0,1945.0,2104.0,2319.0,2543.0,2826.0,3113.0,3145.0,3216.0,3509.0,3886.0,3732.0,3951.0,3942.0,3896.0,3556.0,3263.0,2788.0,2456.0,2138.0,2061.0,2015.0,7004.0,2031.0,2062.0,2095.0,2166.0,2189.0,2213.0,2202.0,2184.0,2136.0,,,,,,,,,,,Greece,GR,CHAT,National,-,Total Number,Steamships
Steamships_Total Number_ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,,,,,,,57.0,,,84.0,101.0,124.0,127.0,135.0,140.0,145.0,151.0,,,,,,,212.0,212.0,388.0,,339.0,,347.0,,252.0,407.0,430.0,431.0,431.0,432.0,421.0,415.0,411.0,438.0,474.0,492.0,502.0,523.0,543.0,562.0,,422.0,469.0,459.0,459.0,455.0,450.0,461.0,468.0,469.0,479.0,511.0,526.0,526.0,547.0,554.0,548.0,,,490.0,452.0,456.0,548.0,595.0,630.0,637.0,642.0,642.0,642.0,646.0,637.0,642.0,626.0,721.0,774.0,753.0,732.0,731.0,,,618.0,,682.0,708.0,710.0,720.0,746.0,759.0,831.0,847.0,872.0,888.0,895.0,884.0,902.0,906.0,901.0,911.0,912.0,912.0,907.0,896.0,894.0,893.0,897.0,880.0,820.0,727.0,682.0,618.0,567.0,513.0,456.0,418.0,382.0,341.0,1041.0,1032.0,1062.0,1082.0,1111.0,1107.0,1109.0,1115.0,1109.0,1109.0,1105.0,1058.0,1017.0,952.0,930.0,875.0,842.0,969.0,942.0,,,,,,,,,,,,,,,,,Spain,ES,CHAT,National,-,Total Number,Steamships
Steamships_Total Number_AT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,10.0,10.0,10.0,10.0,11.0,11.0,13.0,20.0,20.0,21.0,26.0,31.0,32.0,35.0,39.0,47.0,50.0,48.0,53.0,61.0,60.0,59.0,,59.0,59.0,59.0,63.0,64.0,65.0,71.0,74.0,80.0,83.0,91.0,95.0,99.0,99.0,94.0,,95.0,91.0,101.0,107.0,106.0,112.0,117.0,118.0,120.0,128.0,131.0,135.0,141.0,135.0,135.0,141.0,144.0,139.0,148.0,162.0,175.0,174.0,183.0,199.0,211.0,229.0,232.0,250.0,266.0,278.0,296.0,316.0,357.0,359.0,382.0,394.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Austria,AT,CHAT,National,-,Total Number,Steamships
Steamships_Total Number_IE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.0,150.0,150.0,150.0,152.0,155.0,152.0,140.0,147.0,144.0,136.0,141.0,137.0,111.0,87.0,83.0,88.0,85.0,85.0,82.0,76.0,75.0,78.0,78.0,82.0,82.0,76.0,70.0,68.0,69.0,67.0,64.0,63.0,62.0,58.0,56.0,53.0,48.0,47.0,41.0,40.0,39.0,38.0,38.0,38.0,38.0,37.0,37.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,Ireland,IE,CHAT,National,-,Total Number,Steamships
Steamships_Total Number_FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.0,85.0,89.0,107.0,108.0,104.0,101.0,103.0,109.0,117.0,118.0,119.0,126.0,139.0,151.0,174.0,197.0,225.0,273.0,330.0,324.0,324.0,314.0,327.0,338.0,346.0,364.0,384.0,407.0,420.0,433.0,454.0,457.0,473.0,512.0,516.0,522.0,537.0,546.0,565.0,588.0,599.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,France,FR,CHAT,National,-,Total Number,Steamships
Steamships_Total Number_NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,76.0,98.0,106.0,118.0,140.0,170.0,199.0,211.0,218.0,258.0,273.0,306.0,324.0,334.0,359.0,407.0,440.0,487.0,510.0,502.0,514.0,536.0,592.0,672.0,735.0,767.0,810.0,859.0,915.0,962.0,1004.0,1068.0,1128.0,1171.0,1223.0,1290.0,1396.0,1477.0,1734.0,1493.0,1599.0,1645.0,1671.0,1738.0,1813.0,1973.0,2052.0,2107.0,2200.0,2142.0,1837.0,1763.0,1826.0,1922.0,1950.0,1906.0,1908.0,1928.0,1966.0,1956.0,1931.0,1893.0,1938.0,1991.0,1974.0,1944.0,1874.0,1776.0,1733.0,1715.0,1680.0,1659.0,1590.0,1435.0,1307.0,1202.0,1161.0,1090.0,1078.0,1130.0,1198.0,1202.0,1172.0,1131.0,1057.0,985.0,935.0,893.0,834.0,791.0,707.0,680.0,644.0,590.0,545.0,499.0,464.0,391.0,348.0,322.0,268.0,231.0,206.0,200.0,199.0,196.0,184.0,184.0,173.0,170.0,154.0,138.0,121.0,118.0,104.0,102.0,100.0,82.0,64.0,59.0,53.0,50.0,,,,,,,,,,,,,,,,,,,,,Norway,NO,CHAT,National,-,Total Number,Steamships
Steamships_Total Number_IT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.0,82.0,90.0,95.0,99.0,98.0,101.0,105.0,118.0,121.0,118.0,133.0,138.0,141.0,142.0,151.0,152.0,151.0,158.0,176.0,192.0,201.0,215.0,225.0,237.0,254.0,266.0,279.0,,305.0,316.0,327.0,328.0,345.0,351.0,366.0,384.0,409.0,446.0,575.0,570.0,584.0,570.0,541.0,503.0,589.0,626.0,680.0,718.0,757.0,839.0,931.0,949.0,644.0,659.0,559.0,448.0,408.0,495.0,,856.0,880.0,3432.0,1370.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Italy,IT,CHAT,National,-,Total Number,Steamships
