ID,1750,1751,1752,1753,1754,1755,1756,1757,1758,1759,1760,1761,1762,1763,1764,1765,1766,1767,1768,1769,1770,1771,1772,1773,1774,1775,1776,1777,1778,1779,1780,1781,1782,1783,1784,1785,1786,1787,1788,1789,1790,1791,1792,1793,1794,1795,1796,1797,1798,1799,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,Country Name,Country Code,Data Source,Spatial Scale,Unit,Metric,Technology Name
Telegraph Traffic_Total Number_AU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4573131,0.5112878,0.5682066,0.6035355,0.5475981,0.5593744,0.6231627,0.8478938,1.004911,1.469094,1.500497,1.853786,2.189411,2.531905,2.939169,3.199229,3.245353,3.608456,4.18255,4.924458,5.246343,5.693843,6.064796,6.420048,7.061857,8.465199,8.518192,9.074623,10.64096,8.680666,7.995004,7.401641,7.349997,7.826884,7.888418,8.044451,8.822413,9.208088,8.074618,8.174717,8.904848,8.860687,9.318,10.347,11.124,11.555,11.577,12.492,13.093,13.641,13.864,14.244,,14.326,14.481,15.041,15.855,18.413,17.197,16.296,16.369,17.267,17.773,18.333,17.994,17.368,17.154,16.506,13.631,13.291,13.417,14.051,15.303,16.203,17.015,17.71,17.998,18.356,20.311,24.991,31.253,34.721,36.59,37.017,34.716,35.715,36.77,36.728,35.862,28.409,24.614,23.819,24.089,23.974,22.511,21.454,21.149,20.848,20.33,20.174,20.417,21.77,,,23.467,23.784,23.249,,21.114,20.081,20.435,20.463,18.494,15.152,12.48,10.91,8.608995,6.608544,6.158321,5.425797,4.929334,4.464509,4.329443,,,,,,,,,,,,,,,,,,,,,,,,Australia,AU,CHAT,National,-,Total Number,Telegraph Traffic
Telegraph Traffic_Total Number_NL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.046,0.103,0.105,0.192,0.227,0.266,0.392,0.417,0.483,0.532,0.659,0.809,0.974,1.097,1.123,1.51,1.646,1.854,2.056,2.036,2.082,2.104,2.215,2.377,2.405,2.413,2.705,3.109,3.282,3.365,3.38,3.184,3.183,3.213,3.375,3.553,3.695,3.798,4.014,3.924,4.021,4.034,4.237,4.259,4.459,4.724,4.923,5.067,5.392,5.503,5.671,5.608,5.919,5.974,5.97,5.943,6.171,6.173,6.404,6.544,6.477,7.348,8.195,7.982,7.256,7.814,10.259,10.165,9.804,8.458,7.915,8.692,8.416,8.443,8.113,8.03,7.808,7.191,6.521,5.529,5.314,4.901,4.547,4.715,5.306,5.429,5.888,3.807,1.802,4.722,7.991,7.077,3.703,9.447,8.219,8.722,8.609,8.476,7.748,7.233,7.178,7.071,7.15,7.198,6.725,6.323,6.329,6.292,6.006,5.903,5.864,5.906,3.7,3.527,3.196,3.051,2.868,2.771,2.508,2.134,2.031,1.989,1.806,1.617,1.47,1.36,1.272,1.202,1.066,0.968,0.879,,0.773,0.733,0.708,0.658,0.54,0.278,,,,,,,,,,,,,,,,,,,Netherlands,NL,CHAT,National,-,Total Number,Telegraph Traffic
Telegraph Traffic_Total Number_MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.160707,1.243056,1.237996,1.290902,1.251337,1.029593,1.00429,,,,0.7521825,0.8474129,0.929762,1.075138,1.18693,1.332766,1.27342,1.140005,1.094,1.571,1.312,1.309,1.294,1.326,1.35,1.336,1.248,1.265,1.412,1.172,,0.89,0.878,0.791,0.8,0.821,0.846,0.782,0.816,0.859,0.849,0.863,1.005,1.013,0.855,0.84,0.808,0.83,0.814,0.953,0.874,0.966,0.967,0.958,1.122,0.992,0.883,1.13,1.072,0.987,1.312,1.178,1.199,1.204,1.137,0.953,,,,,,,,,,,,,,,,Morocco,MA,CHAT,National,-,Total Number,Telegraph Traffic
Telegraph Traffic_Total Number_GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,9.5,12.0,13.9,15.3,16.7,17.3,17.8,19.7,21.3,24.0,25.2,25.7,26.3,26.7,31.4,40.3,42.8,46.3,50.0,53.4,56.0,56.1,56.9,57.4,63.3,63.8,66.7,69.8,72.6,71.9,72.6,74.3,72.3,71.5,71.8,71.9,69.0,68.1,69.8,69.6,71.6,71.0,69.9,73.2,67.6,63.4,64.2,71.5,81.1,71.0,67.0,64.0,63.0,63.0,62.0,60.0,59.0,58.0,57.0,53.0,49.0,46.0,47.0,44.0,52.0,58.0,57.0,58.0,63.0,61.0,67.0,76.0,71.0,71.0,74.0,63.0,58.0,54.0,52.0,65.0,62.0,58.0,56.0,48.0,43.0,39.0,37.0,35.0,35.0,35.0,34.0,33.0,31.0,32.0,31.0,31.0,31.0,29.0,29.0,26.0,27.0,27.0,28.0,26.0,21.0,19.0,17.0,17.0,16.0,14.0,12.0,7.7,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,United Kingdom,GB,CHAT,National,-,Total Number,Telegraph Traffic
Telegraph Traffic_Total Number_BE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.5,0.5,0.7,0.9,1.2,1.9,2.2,2.6,2.9,3.5,4.1,4.1,4.5,4.7,5.0,5.0,5.0,5.2,5.5,5.9,6.6,6.9,7.0,6.8,6.8,6.6,6.8,7.3,7.7,8.1,8.4,8.0,8.3,8.3,8.5,8.4,9.2,10.3,12.3,14.3,14.2,14.0,14.1,15.6,18.6,19.2,20.1,18.1,17.9,20.7,22.1,23.7,25.8,,,,,,,24.0,20.4,19.0,20.3,18.4,14.7,14.2,12.2,11.3,11.9,10.9,9.8,8.2,7.6,7.0,7.1,7.4,7.7,7.4,7.6,,1.0,2.1,3.9,2.8,5.6,9.8,10.3,9.7,9.2,9.4,9.2,8.7,8.6,8.6,8.8,8.7,8.3,7.8,7.3,7.3,7.0,7.0,7.0,7.0,7.066,7.092,6.625,6.388,6.391,6.678,4.772,4.464,4.352,4.167,3.705,3.219,2.789,2.555,2.375,2.306,2.08,1.877,1.686,1.344,1.174,1.052,0.967,0.891,0.868,0.816,0.77,0.643,,,,,,,,,,,,,,,,,Belgium,BE,CHAT,National,-,Total Number,Telegraph Traffic
Telegraph Traffic_Total Number_DZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.263,0.298,0.445,0.49,0.487,0.554,0.553,0.593,0.556,0.627,0.65,0.712,0.804,975.0,1.008,1.078,1.111,1.175,1.216,1.218,1.224,1.223,1.208,1.221,1.277,1.294,1.245,,1.516,1.575,1.674,1.883,2.146,2.297,2.396,2.456,2.549,2.581,2.726,2.903,2.916,2.742,,,2.915,3.089,,,,,,,,,,,,,,2.871,2.652,2.776,2.878,2.95,2.741,2.91,2.31,2.28,2.279,2.603,2.249,,2.2,1.8,1.7,2.7,3.2,2.9,2.5,2.2,2.2,1.965,1.619,1.651,1.722,1.694,1.718,1.773,2.032,2.401,2.489,2.493,2.27,2.246,,,1.237,1.043,0.969,1.107,1.066,1.158,1.269,1.454,1.58,1.751,1.876,2.01,2.082,2.222,2.416,2.494,3.223,3.269,3.602,3.462,3.14,3.325,2.966,2.813,2.502,2.162,2.034,1.907,1.873,1.882,1.786,,,,,,,,,,,,,,,,Algeria,DZ,CHAT,National,-,Total Number,Telegraph Traffic
Telegraph Traffic_Total Number_PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9,6.7,6.9,7.0,7.1,7.9,7.0,7.4,7.0,6.5,5.7,4.6,3.3,2.8,2.9,3.2,3.4,3.5,3.8,,,,,,,,5.5,6.9,5.5,5.7,6.5,7.2,7.9,8.5,9.0,9.0,10.0,10.0,10.0,10.0,9.9,10.0,11.0,12.0,12.0,12.0,13.0,14.0,15.0,15.0,15.0,16.0,16.0,14.0,14.0,16.0,18.0,18.0,19.0,19.0,19.0,18.0,12.0,15.0,16.0,17.0,18.0,16.0,16.0,18.0,12.0,10.0,8.0,7.0,,,,,,,,,,,,,,,,Poland,PL,CHAT,National,-,Total Number,Telegraph Traffic
Telegraph Traffic_Total Number_MM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47,0.61,0.732,0.764,0.903,0.752,1.004,0.825,1.004,0.866,0.91,0.896,0.604,,0.971,0.897,0.984,0.989,0.956,,1.311,1.695,1.461,1.537,1.614,1.196,1.576,1.357,1.289,1.349,1.358,,,,1.015,,,,,,,,,,,,,,,,,,,,,,,,,,Burma,MM,CHAT,National,-,Total Number,Telegraph Traffic
Telegraph Traffic_Total Number_TH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.175,0.173,0.166,0.16,0.158,0.158,0.177,0.223,0.242,0.237,0.229,0.214,0.244,0.235,0.242,0.235,0.319,0.368,0.334,0.382,0.277,0.349,0.37,0.426,0.453,0.44,0.457,0.463,0.52,0.569,0.664,0.906,1.276,1.179,,0.815,,0.928,,1.166,,1.893326,1.97371,2.10864,2.079931,2.377064,2.697165,2.761759,2.322518,2.58233,2.791903,3.127792,3.94742,4.332114,4.757,5.391,5.92,6.414,6.534,6.546,6.247,5.382,5.795,6.262,6.467,6.773,7.132,7.518,7.981,8.677,8.549,8.16,8.583,8.598,7.654,7.611539,6.999907,6.868482,6.7411,6.544974,6.437812,6.345814,6.358956,,,,,,,,,,,,,,,,Thailand,TH,CHAT,National,-,Total Number,Telegraph Traffic
Telegraph Traffic_Total Number_SY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.129,0.128,0.121,0.115,0.081,0.052,0.055,0.052,0.03,0.064,0.064,0.068,0.061,0.08,0.077,,0.105,0.155,0.224,0.166,0.196,0.226,0.24,0.567,0.546,0.513,0.515,0.524,0.542,0.488,0.569,0.542,0.425,0.389,0.498,0.503,0.464,0.511,,0.391,0.388,0.389,0.367,0.401,0.445,0.493,0.482,0.508,0.491,0.452,0.425,0.404,0.432,0.425,0.338,0.289,0.267,0.253,0.241,0.224,0.236,,,,,,,,,,,,,,,,,,,,,Syria,SY,CHAT,National,-,Total Number,Telegraph Traffic
