ID,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,Country Name,Country Code,Spatial Scale,Data Source,Unit,Metric,Technology Name
Primary Bauxite Production_Annual production_AL,26000.0,20000.0,4000.0,2000.0,2000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,,,Albania,AL,National,USGS,metric tons,Annual production,Primary Bauxite Production
Primary Bauxite Production_Annual production_AU,41400000.0,40500000.0,39700000.0,41300000.0,41700000.0,42700000.0,43100000.0,44500000.0,44600000.0,48400000.0,53800000.0,53800000.0,54100000.0,55600000.0,56600000.0,60000000.0,61800000.0,62400000.0,64000000.0,65200000.0,68400000.0,70000000.0,76300000.0,Australia,AU,National,USGS,metric tons,Annual production,Primary Bauxite Production
Primary Bauxite Production_Annual production_BA,,,200000.0,100000.0,75000.0,75000.0,75000.0,75000.0,75000.0,75000.0,75000.0,75000.0,113000.0,573000.0,917000.0,1030000.0,854000.0,867000.0,1020000.0,556000.0,844000.0,708000.0,700000.0,Bosnia and Herzegovina,BA,National,USGS,metric tons,Annual production,Primary Bauxite Production
Primary Bauxite Production_Annual production_BR,9680000.0,10400000.0,9370000.0,10000000.0,8670000.0,10200000.0,11000000.0,11700000.0,12000000.0,14400000.0,13900000.0,13000000.0,13300000.0,17400000.0,21000000.0,22000000.0,23200000.0,25500000.0,28100000.0,26100000.0,32000000.0,33700000.0,34000000.0,Brazil,BR,National,USGS,metric tons,Annual production,Primary Bauxite Production
Primary Bauxite Production_Annual production_CN,2400000.0,2600000.0,2700000.0,3500000.0,3700000.0,5000000.0,6200000.0,8000000.0,8200000.0,8500000.0,9000000.0,9800000.0,12000000.0,13000000.0,17000000.0,22000000.0,27000000.0,30000000.0,35000000.0,40000000.0,44000000.0,45000000.0,47000000.0,China,CN,National,USGS,metric tons,Annual production,Primary Bauxite Production
Primary Bauxite Production_Annual production_HR,,,7000.0,2000.0,1000.0,2000.0,,,,,,,,,,,,,,,,,,Croatia,HR,National,USGS,metric tons,Annual production,Primary Bauxite Production
Primary Bauxite Production_Annual production_DO,85000.0,7000.0,,,,,,,,,,,,6480.0,79500.0,535000.0,500000.0,500000.0,400000.0,,,,,Dominican Republic,DO,National,USGS,metric tons,Annual production,Primary Bauxite Production
Primary Bauxite Production_Annual production_FJ,,,,,,,,,,,,,,,,,,,,,,50000.0,500000.0,Fiji,FJ,National,USGS,metric tons,Annual production,Primary Bauxite Production
Primary Bauxite Production_Annual production_FR,490000.0,9000.0,,,,,,,,,,,,,,,,,,,,,,France,FR,National,USGS,metric tons,Annual production,Primary Bauxite Production
Primary Bauxite Production_Annual production_GH,381000.0,353000.0,338000.0,365000.0,452000.0,523000.0,473000.0,519000.0,341000.0,355000.0,504000.0,678000.0,684000.0,495000.0,498000.0,607000.0,842000.0,748000.0,796000.0,490000.0,595000.0,408000.0,790000.0,Ghana,GH,National,USGS,metric tons,Annual production,Primary Bauxite Production
