ID,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,Country Name,Country Code,Spatial Scale,Data Source,Unit,Metric,Technology Name
Cadmium Refining_Annual production_DZ,65.0,78.0,56.0,18.0,59.0,75.0,75.0,75.0,70.0,10.0,10.0,10.0,8.0,5.0,,,,,,,,,,Algeria,DZ,National,USGS,metric tons,Annual production,Cadmium Refining
Cadmium Refining_Annual production_AR,55.0,49.0,37.0,25.0,27.0,43.0,40.0,45.0,34.0,,,34.0,,25.0,39.0,3.0,6.0,35.0,38.0,36.0,32.0,31.0,30.0,Argentina,AR,National,USGS,metric tons,Annual production,Cadmium Refining
Cadmium Refining_Annual production_AU,638.0,1080.0,1000.0,951.0,910.0,838.0,639.0,632.0,585.0,462.0,552.0,378.0,370.0,560.0,347.0,358.0,329.0,351.0,350.0,370.0,350.0,390.0,380.0,Australia,AU,National,USGS,metric tons,Annual production,Cadmium Refining
Cadmium Refining_Annual production_AT,44.0,19.0,,,,,,,,,,,,,,,,,,,,,,Austria,AT,National,USGS,metric tons,Annual production,Cadmium Refining
Cadmium Refining_Annual production_BE,1960.0,1810.0,1550.0,1570.0,1560.0,1710.0,1580.0,1420.0,1320.0,1240.0,1150.0,1240.0,117.0,,,,,,,,,,,Belgium,BE,National,USGS,metric tons,Annual production,Cadmium Refining
Cadmium Refining_Annual production_BR,200.0,200.0,200.0,200.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,120.0,151.0,189.0,187.0,200.0,141.0,200.0,200.0,200.0,200.0,200.0,200.0,Brazil,BR,National,USGS,metric tons,Annual production,Cadmium Refining
Cadmium Refining_Annual production_BG,309.0,232.0,194.0,265.0,286.0,250.0,250.0,280.0,250.0,150.0,331.0,333.0,345.0,307.0,356.0,319.0,363.0,459.0,460.0,420.0,420.0,420.0,420.0,Bulgaria,BG,National,USGS,metric tons,Annual production,Cadmium Refining
Cadmium Refining_Annual production_CA,1470.0,1830.0,1960.0,1940.0,2170.0,2350.0,2540.0,2260.0,2090.0,1910.0,1940.0,1490.0,1710.0,1760.0,1880.0,1730.0,2090.0,1390.0,1410.0,1300.0,1360.0,1200.0,1100.0,Canada,CA,National,USGS,metric tons,Annual production,Cadmium Refining
Cadmium Refining_Annual production_CN,1100.0,1200.0,1150.0,1160.0,1280.0,1450.0,1570.0,1980.0,2130.0,2150.0,2370.0,2510.0,2440.0,2710.0,2800.0,4080.0,3790.0,4210.0,6960.0,7050.0,7360.0,7000.0,7300.0,China,CN,National,USGS,metric tons,Annual production,Cadmium Refining
Cadmium Refining_Annual production_CD,127.0,65.0,84.0,12.0,1.0,,,,,,,,,,,,,,,,,,,Congo (Kinshasa),CD,National,USGS,metric tons,Annual production,Cadmium Refining
Cadmium Refining_Annual production_FI,569.0,593.0,590.0,785.0,548.0,539.0,648.0,650.0,520.0,700.0,683.0,604.0,4.0,,,,,,,,,,,Finland,FI,National,USGS,metric tons,Annual production,Cadmium Refining
Cadmium Refining_Annual production_FR,187.0,271.0,252.0,137.0,6.0,,92.0,309.0,177.0,195.0,160.0,176.0,63.0,,,,,,,,,,,France,FR,National,USGS,metric tons,Annual production,Cadmium Refining
Cadmium Refining_Annual production_DE,,1050.0,961.0,1060.0,1150.0,1150.0,1150.0,1150.0,1020.0,1150.0,458.0,539.0,422.0,640.0,640.0,640.0,640.0,475.0,420.0,278.0,290.0,300.0,300.0,Germany,DE,National,USGS,metric tons,Annual production,Cadmium Refining
Cadmium Refining_Annual production_DE,17.0,,,,,,,,,,,,,,,,,,,,,,,Germany: Eastern states,DE,National,USGS,metric tons,Annual production,Cadmium Refining
Cadmium Refining_Annual production_DE,973.0,,,,,,,,,,,,,,,,,,,,,,,Germany: Western states,DE,National,USGS,metric tons,Annual production,Cadmium Refining
Cadmium Refining_Annual production_IN,277.0,271.0,313.0,255.0,216.0,254.0,271.0,298.0,304.0,269.0,314.0,436.0,466.0,477.0,489.0,409.0,457.0,580.0,599.0,627.0,632.0,616.0,620.0,India,IN,National,USGS,metric tons,Annual production,Cadmium Refining
Cadmium Refining_Annual production_IT,691.0,658.0,742.0,517.0,475.0,308.0,296.0,287.0,328.0,360.0,284.0,313.0,391.0,22.0,10.0,10.0,10.0,10.0,,,,,,Italy,IT,National,USGS,metric tons,Annual production,Cadmium Refining
Cadmium Refining_Annual production_JP,2450.0,2890.0,2990.0,2830.0,2630.0,2650.0,2340.0,2470.0,2340.0,2570.0,2470.0,2460.0,2440.0,2500.0,2230.0,2300.0,2290.0,1940.0,2130.0,1820.0,2050.0,1760.0,1800.0,Japan,JP,National,USGS,metric tons,Annual production,Cadmium Refining
Cadmium Refining_Annual production_KZ,,,1000.0,800.0,1100.0,794.0,800.0,745.0,1620.0,1250.0,1250.0,1250.0,1300.0,1350.0,1900.0,2000.0,2000.0,1300.0,1100.0,1300.0,1400.0,1300.0,1300.0,Kazakhstan,KZ,National,USGS,metric tons,Annual production,Cadmium Refining
Cadmium Refining_Annual production_KP,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,,,,,,"Korea, North",KP,National,USGS,metric tons,Annual production,Cadmium Refining
Cadmium Refining_Annual production_KR,750.0,750.0,750.0,400.0,400.0,1670.0,501.0,570.0,1180.0,1790.0,1910.0,1880.0,1830.0,2180.0,2360.0,2580.0,3320.0,2850.0,3090.0,2500.0,4170.0,3010.0,3000.0,"Korea, Republic of",KR,National,USGS,metric tons,Annual production,Cadmium Refining
Cadmium Refining_Annual production_MK,,,,,,,,,,,,73.0,111.0,75.0,,,,,,,,,,Macedonia,MK,National,USGS,metric tons,Annual production,Cadmium Refining
Cadmium Refining_Annual production_MX,882.0,688.0,602.0,797.0,646.0,689.0,784.0,1220.0,1220.0,1280.0,1270.0,1420.0,1380.0,1590.0,1620.0,1650.0,1400.0,1620.0,1550.0,1510.0,1460.0,1490.0,1620.0,Mexico,MX,National,USGS,metric tons,Annual production,Cadmium Refining
Cadmium Refining_Annual production_NA,69.0,67.0,33.0,13.0,19.0,15.0,14.0,2.0,,,,,,,,,,,,,,,,Namibia,NA,National,USGS,metric tons,Annual production,Cadmium Refining
Cadmium Refining_Annual production_NL,590.0,549.0,594.0,526.0,307.0,704.0,603.0,718.0,739.0,731.0,628.0,455.0,485.0,480.0,493.0,494.0,524.0,495.0,530.0,490.0,560.0,570.0,560.0,Netherlands,NL,National,USGS,metric tons,Annual production,Cadmium Refining
Cadmium Refining_Annual production_NO,286.0,227.0,247.0,213.0,288.0,315.0,274.0,290.0,270.0,211.0,298.0,372.0,209.0,331.0,141.0,153.0,125.0,269.0,178.0,249.0,300.0,309.0,310.0,Norway,NO,National,USGS,metric tons,Annual production,Cadmium Refining
Cadmium Refining_Annual production_PE,265.0,138.0,399.0,472.0,510.0,560.0,405.0,474.0,535.0,466.0,483.0,485.0,422.0,529.0,532.0,481.0,416.0,347.0,371.0,289.0,357.0,572.0,684.0,Peru,PE,National,USGS,metric tons,Annual production,Cadmium Refining
Cadmium Refining_Annual production_PL,373.0,364.0,132.0,149.0,61.0,,,22.0,,,6.0,330.0,440.0,375.0,356.0,408.0,373.0,421.0,603.0,534.0,451.0,526.0,530.0,Poland,PL,National,USGS,metric tons,Annual production,Cadmium Refining
Cadmium Refining_Annual production_RO,40.0,10.0,10.0,10.0,4.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,Romania,RO,National,USGS,metric tons,Annual production,Cadmium Refining
Cadmium Refining_Annual production_RU,,,800.0,700.0,600.0,725.0,730.0,790.0,800.0,900.0,925.0,950.0,950.0,629.0,532.0,621.0,690.0,810.0,800.0,700.0,700.0,700.0,700.0,Russia,RU,National,USGS,metric tons,Annual production,Cadmium Refining
Cadmium Refining_Annual production_CS,,,8.0,6.0,3.0,11.0,79.0,80.0,17.0,,,,,,,,,,,,,,,Serbia and Montenegro,CS,National,USGS,metric tons,Annual production,Cadmium Refining
Cadmium Refining_Annual production_ZA,57.0,103.0,60.0,70.0,,,,,,,,,,,,,,,,,,,,South Africa,ZA,National,USGS,metric tons,Annual production,Cadmium Refining
Cadmium Refining_Annual production_ES,355.0,344.0,361.0,365.0,387.0,397.0,307.0,301.0,196.0,,,,,,,,,,,,,,,Spain,ES,National,USGS,metric tons,Annual production,Cadmium Refining
Cadmium Refining_Annual production_TH,,373.0,635.0,449.0,643.0,365.0,385.0,238.0,238.0,,,,,,,,,,,,,,,Thailand,TH,National,USGS,metric tons,Annual production,Cadmium Refining
Cadmium Refining_Annual production_TR,46.0,22.0,23.0,31.0,22.0,23.0,42.0,89.0,69.0,64.0,,,,,,,,,,,,,,Turkey,TR,National,USGS,metric tons,Annual production,Cadmium Refining
Cadmium Refining_Annual production_UA,,,5.0,7.0,10.0,15.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,,,,,,,Ukraine,UA,National,USGS,metric tons,Annual production,Cadmium Refining
Cadmium Refining_Annual production_SU,2800.0,2500.0,,,,,,,,,,,,,,,,,,,,,,U.S.S.R.,SU,National,USGS,metric tons,Annual production,Cadmium Refining
Cadmium Refining_Annual production_GB,438.0,449.0,383.0,458.0,469.0,549.0,541.0,455.0,440.0,547.0,503.0,425.0,292.0,22.0,,,,,,,,,,United Kingdom,GB,National,USGS,metric tons,Annual production,Cadmium Refining
Cadmium Refining_Annual production_YU,362.0,250.0,,,,,,,,,,,,,,,,,,,,,,Yugoslavia,YU,National,USGS,metric tons,Annual production,Cadmium Refining
