ID,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,Country Name,Country Code,Spatial Scale,Data Source,Unit,Metric,Technology Name
Copper|Refining_Annual production_AL,10900.0,4400.0,1500.0,1500.0,1000.0,1000.0,1540.0,,1150.0,342.0,,,,,,,,,,,,,Albania,AL,National,USGS,metric tons,Annual production,Copper|Refining
Copper|Refining_Annual production_AR,10900.0,12000.0,15000.0,15000.0,16000.0,16000.0,16000.0,16000.0,16000.0,16000.0,16000.0,16000.0,16000.0,16000.0,16000.0,16000.0,16000.0,16000.0,16000.0,16000.0,16000.0,16000.0,Argentina,AR,National,USGS,metric tons,Annual production,Copper|Refining
Copper|Refining_Annual production_AU,274000.0,279000.0,303000.0,309000.0,336000.0,266000.0,311000.0,270000.0,285000.0,419000.0,487000.0,558000.0,545000.0,484000.0,498000.0,469000.0,429000.0,442000.0,503000.0,446000.0,424000.0,477000.0,Australia,AU,National,USGS,metric tons,Annual production,Copper|Refining
Copper|Refining_Annual production_AT,49700.0,52800.0,54700.0,52700.0,52500.0,53500.0,58000.0,67000.0,78000.0,77000.0,79000.0,69000.0,65000.0,65100.0,74200.0,72300.0,72600.0,81400.0,107000.0,96200.0,114000.0,113000.0,Austria,AT,National,USGS,metric tons,Annual production,Copper|Refining
Copper|Refining_Annual production_BE,332000.0,298000.0,367000.0,379000.0,375000.0,376000.0,354000.0,373000.0,368000.0,388000.0,423000.0,423000.0,423000.0,423000.0,397000.0,383000.0,391000.0,394000.0,396000.0,374000.0,381000.0,394000.0,Belgium,BE,National,USGS,metric tons,Annual production,Copper|Refining
Copper|Refining_Annual production_BR,202000.0,141000.0,158000.0,161000.0,170000.0,165000.0,172000.0,177000.0,167000.0,193000.0,185000.0,212000.0,190000.0,173000.0,208000.0,199000.0,220000.0,219000.0,234000.0,231000.0,233000.0,228000.0,Brazil,BR,National,USGS,metric tons,Annual production,Copper|Refining
Copper|Refining_Annual production_BG,24300.0,12800.0,18000.0,26300.0,26500.0,29100.0,22300.0,34500.0,36400.0,21000.0,32500.0,34400.0,41000.0,45000.0,55300.0,63500.0,65500.0,70100.0,127000.0,197000.0,215000.0,227000.0,Bulgaria,BG,National,USGS,metric tons,Annual production,Copper|Refining
Copper|Refining_Annual production_MM,,,,,,,,,6700.0,26700.0,26700.0,25800.0,27500.0,27900.0,31800.0,34500.0,19500.0,13900.0,,3500.0,12000.0,12000.0,Burma,MM,National,USGS,metric tons,Annual production,Copper|Refining
Copper|Refining_Annual production_CA,516000.0,538000.0,539000.0,562000.0,550000.0,573000.0,559000.0,560000.0,564000.0,549000.0,551000.0,568000.0,495000.0,455000.0,526000.0,515000.0,501000.0,453000.0,442000.0,336000.0,319000.0,274000.0,Canada,CA,National,USGS,metric tons,Annual production,Copper|Refining
Copper|Refining_Annual production_CL,1190000.0,1230000.0,1240000.0,1270000.0,1280000.0,1490000.0,1750000.0,2120000.0,2330000.0,2670000.0,2670000.0,2880000.0,2850000.0,2900000.0,2840000.0,2820000.0,2810000.0,2940000.0,3060000.0,3280000.0,3240000.0,3090000.0,Chile,CL,National,USGS,metric tons,Annual production,Copper|Refining
