ID,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,Country Name,Country Code,Spatial Scale,Data Source,Unit,Metric,Technology Name
Copper|Mining_Annual production_AL,11500.0,3700.0,900.0,900.0,800.0,3800.0,2500.0,220.0,3200.0,900.0,,,,,,,,,,,,,Albania,AL,National,USGS,metric tons,Annual production,Copper|Mining
Copper|Mining_Annual production_AR,400.0,400.0,300.0,,,,,30400.0,170000.0,210000.0,145000.0,192000.0,204000.0,199000.0,177000.0,187000.0,180000.0,180000.0,157000.0,143000.0,140000.0,117000.0,Argentina,AR,National,USGS,metric tons,Annual production,Copper|Mining
Copper|Mining_Annual production_AM,,,1000.0,1000.0,4900.0,7000.0,9100.0,9000.0,9160.0,9830.0,12200.0,16500.0,16600.0,18000.0,17700.0,16400.0,18000.0,17600.0,18800.0,23200.0,31100.0,33600.0,Armenia,AM,National,USGS,metric tons,Annual production,Copper|Mining
Copper|Mining_Annual production_AU,327000.0,320000.0,378000.0,402000.0,416000.0,398000.0,547000.0,558000.0,607000.0,740000.0,829000.0,871000.0,868000.0,840000.0,854000.0,916000.0,859000.0,870000.0,886000.0,854000.0,870000.0,958000.0,Australia,AU,National,USGS,metric tons,Annual production,Copper|Mining
Copper|Mining_Annual production_BO,200.0,100.0,101.0,94.0,79.0,127.0,92.0,182.0,48.0,252.0,110.0,18.0,3.0,182.0,576.0,32.0,218.0,606.0,731.0,882.0,2060.0,4180.0,Bolivia,BO,National,USGS,metric tons,Annual production,Copper|Mining
Copper|Mining_Annual production_BW,20600.0,20600.0,20400.0,20100.0,22800.0,21000.0,25300.0,22800.0,25000.0,21000.0,21000.0,19200.0,21600.0,27400.0,22500.0,26100.0,24000.0,24000.0,29000.0,27700.0,31000.0,30000.0,Botswana,BW,National,USGS,metric tons,Annual production,Copper|Mining
Copper|Mining_Annual production_BR,36400.0,37900.0,39800.0,43400.0,39700.0,48900.0,46200.0,40000.0,34400.0,31400.0,31800.0,32700.0,32700.0,26300.0,103000.0,133000.0,148000.0,207000.0,222000.0,218000.0,221000.0,221000.0,Brazil,BR,National,USGS,metric tons,Annual production,Copper|Mining
Copper|Mining_Annual production_BG,32900.0,47200.0,47400.0,60400.0,73900.0,76000.0,89000.0,93000.0,88000.0,96000.0,92000.0,88000.0,92800.0,91700.0,94000.0,95000.0,110000.0,110000.0,105000.0,105000.0,105000.0,105000.0,Bulgaria,BG,National,USGS,metric tons,Annual production,Copper|Mining
Copper|Mining_Annual production_MM,4630.0,4590.0,3730.0,3580.0,5030.0,5280.0,4840.0,2930.0,6700.0,26800.0,26800.0,25800.0,27500.0,27900.0,31800.0,34500.0,19500.0,13900.0,,3500.0,12000.0,12000.0,Burma,MM,National,USGS,metric tons,Annual production,Copper|Mining
Copper|Mining_Annual production_CA,794000.0,811000.0,769000.0,733000.0,617000.0,726000.0,688000.0,660000.0,706000.0,620000.0,634000.0,634000.0,603000.0,557000.0,563000.0,595000.0,603000.0,596000.0,607000.0,495000.0,525000.0,566000.0,Canada,CA,National,USGS,metric tons,Annual production,Copper|Mining
Copper|Mining_Annual production_CL,1590000.0,1810000.0,1930000.0,2060000.0,2220000.0,2490000.0,3120000.0,3390000.0,3690000.0,4390000.0,4600000.0,4740000.0,4580000.0,4900000.0,5410000.0,5320000.0,5360000.0,5560000.0,5330000.0,5390000.0,5420000.0,5260000.0,Chile,CL,National,USGS,metric tons,Annual production,Copper|Mining
Copper|Mining_Annual production_CN,285000.0,304000.0,334000.0,345000.0,396000.0,445000.0,439000.0,511000.0,504000.0,533000.0,613000.0,605000.0,593000.0,620000.0,752000.0,777000.0,889000.0,946000.0,1090000.0,1070000.0,1200000.0,1310000.0,China,CN,National,USGS,metric tons,Annual production,Copper|Mining
Copper|Mining_Annual production_CO,300.0,3640.0,3940.0,,2580.0,2750.0,2220.0,1800.0,1400.0,2300.0,2060.0,2190.0,1850.0,1580.0,1700.0,2190.0,725.0,1050.0,1310.0,1420.0,1000.0,1000.0,Colombia,CO,National,USGS,metric tons,Annual production,Copper|Mining
Copper|Mining_Annual production_CD,356000.0,238000.0,133000.0,46300.0,30000.0,29400.0,50000.0,39700.0,35000.0,32000.0,21000.0,37800.0,34000.0,59800.0,73300.0,97500.0,144000.0,149000.0,230000.0,345000.0,430000.0,520000.0,Congo (Kinshasa),CD,National,USGS,metric tons,Annual production,Copper|Mining
Copper|Mining_Annual production_CU,2000.0,2000.0,1500.0,1500.0,2900.0,2000.0,2000.0,2210.0,1350.0,1090.0,1350.0,1000.0,,,,,,,,,,,Cuba,CU,National,USGS,metric tons,Annual production,Copper|Mining
Copper|Mining_Annual production_CY,,,,,,,1690.0,3900.0,4940.0,5000.0,5200.0,5180.0,3700.0,2550.0,1240.0,,,300.0,300.0,300.0,300.0,300.0,Cyprus,CY,National,USGS,metric tons,Annual production,Copper|Mining
Copper|Mining_Annual production_CSK,3300.0,2600.0,2500.0,,,,,,,,,,,,,,,,,,,,Czechoslovakia,CSK,National,USGS,metric tons,Annual production,Copper|Mining
Copper|Mining_Annual production_DO,,,,,,,,,,,,,,,,,,,2600.0,11500.0,9200.0,11700.0,Dominican Republic,DO,National,USGS,metric tons,Annual production,Copper|Mining
Copper|Mining_Annual production_EC,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,242.0,,,,,,,,Ecuador,EC,National,USGS,metric tons,Annual production,Copper|Mining
Copper|Mining_Annual production_FI,12600.0,11700.0,10200.0,11100.0,13200.0,9790.0,9260.0,8500.0,9000.0,10500.0,14400.0,13700.0,14400.0,14900.0,15500.0,15100.0,13300.0,13600.0,13400.0,14600.0,14700.0,14700.0,Finland,FI,National,USGS,metric tons,Annual production,Copper|Mining
Copper|Mining_Annual production_FR,300.0,166.0,149.0,72.0,174.0,172.0,,,,,,,,,,,,,,,,,France,FR,National,USGS,metric tons,Annual production,Copper|Mining
Copper|Mining_Annual production_GE,,,5000.0,3000.0,1600.0,3000.0,5100.0,4100.0,6000.0,7000.0,8000.0,8000.0,10000.0,12000.0,12000.0,10000.0,9000.0,11000.0,11000.0,11000.0,6100.0,8000.0,Georgia,GE,National,USGS,metric tons,Annual production,Copper|Mining
Copper|Mining_Annual production_DE,3600.0,,,,,,,,,,,,,,,,,,,,,,Germany,DE,National,USGS,metric tons,Annual production,Copper|Mining
Copper|Mining_Annual production_HN,1400.0,1000.0,1600.0,1000.0,500.0,,,,,,,,,,,,,,,,,,Honduras,HN,National,USGS,metric tons,Annual production,Copper|Mining
Copper|Mining_Annual production_IN,58200.0,50400.0,49000.0,49400.0,45900.0,47000.0,47800.0,37200.0,39900.0,34100.0,31900.0,32400.0,31500.0,28500.0,29500.0,26900.0,27400.0,33900.0,30600.0,29500.0,33000.0,32000.0,India,IN,National,USGS,metric tons,Annual production,Copper|Mining
Copper|Mining_Annual production_ID,164000.0,212000.0,281000.0,299000.0,322000.0,444000.0,507000.0,529000.0,781000.0,766000.0,1010000.0,1080000.0,1170000.0,1010000.0,840000.0,1060000.0,818000.0,797000.0,633000.0,999000.0,878000.0,543000.0,Indonesia,ID,National,USGS,metric tons,Annual production,Copper|Mining
Copper|Mining_Annual production_IR,65800.0,84300.0,105000.0,86600.0,118000.0,102000.0,109000.0,117000.0,138000.0,141000.0,135000.0,133000.0,133000.0,142000.0,151000.0,160000.0,217000.0,245000.0,248000.0,263000.0,256000.0,259000.0,Iran,IR,National,USGS,metric tons,Annual production,Copper|Mining
Copper|Mining_Annual production_JP,12900.0,12400.0,12100.0,10300.0,6040.0,2380.0,1150.0,932.0,1070.0,1040.0,1210.0,744.0,,,,,,,,,,,Japan,JP,National,USGS,metric tons,Annual production,Copper|Mining
Copper|Mining_Annual production_KZ,,,270000.0,265000.0,210000.0,200000.0,250000.0,316000.0,338000.0,374000.0,430000.0,470000.0,490000.0,485000.0,462000.0,422000.0,434000.0,440000.0,465000.0,455000.0,427000.0,417000.0,Kazakhstan,KZ,National,USGS,metric tons,Annual production,Copper|Mining
