ID,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,Country Name,Country Code,Spatial Scale,Data Source,Unit,Metric,Technology Name
Iron Ore_Annual production_AL,930000.0,750000.0,200000.0,150000.0,,,,,,,,,,,,,,,,,,,Albania,AL,National,USGS,metric tons,Annual production,Iron Ore
Iron Ore_Annual production_DZ,2940000.0,2340000.0,2520000.0,2310000.0,2050000.0,2200000.0,2250000.0,1640000.0,1780000.0,1340000.0,1650000.0,1290000.0,1200000.0,1380000.0,1550000.0,1580000.0,2340000.0,1980000.0,2080000.0,1310000.0,1470000.0,1500000.0,Algeria,DZ,National,USGS,metric tons,Annual production,Iron Ore
Iron Ore_Annual production_AR,992000.0,259000.0,5000.0,3000.0,80000.0,,,,,,,,,,,,,,,,,,Argentina,AR,National,USGS,metric tons,Annual production,Iron Ore
Iron Ore_Annual production_AU,111000000.0,117000000.0,112000000.0,121000000.0,128000000.0,143000000.0,147000000.0,158000000.0,156000000.0,154000000.0,168000000.0,182000000.0,187000000.0,213000000.0,234000000.0,262000000.0,275000000.0,299000000.0,342000000.0,394000000.0,433000000.0,488000000.0,Australia,AU,National,USGS,metric tons,Annual production,Iron Ore
Iron Ore_Annual production_AT,2310000.0,2130000.0,1630000.0,1440000.0,1660000.0,,1850000.0,1800000.0,1800000.0,1750000.0,1800000.0,1800000.0,1900000.0,2120000.0,1890000.0,2050000.0,2090000.0,2150000.0,2030000.0,2000000.0,2070000.0,2050000.0,Austria,AT,National,USGS,metric tons,Annual production,Iron Ore
Iron Ore_Annual production_AZ,,,400000.0,300000.0,200000.0,150000.0,150000.0,2000.0,6600.0,,,,,3100.0,19100.0,7300.0,11300.0,17600.0,28100.0,,57800.0,60000.0,Azerbaijan,AZ,National,USGS,metric tons,Annual production,Iron Ore
Iron Ore_Annual production_BO,125000.0,102000.0,55000.0,51000.0,3000.0,,,,,,,,,,,,,,,,,,Bolivia,BO,National,USGS,metric tons,Annual production,Iron Ore
Iron Ore_Annual production_BA,,,500000.0,250000.0,200000.0,150000.0,150000.0,150000.0,150000.0,150000.0,363000.0,264000.0,212000.0,127000.0,281000.0,3180000.0,1890000.0,1610000.0,1480000.0,1610000.0,1400000.0,1850000.0,Bosnia and Herzegovina,BA,National,USGS,metric tons,Annual production,Iron Ore
Iron Ore_Annual production_BR,152000000.0,152000000.0,146000000.0,150000000.0,177000000.0,184000000.0,174000000.0,185000000.0,198000000.0,194000000.0,213000000.0,201000000.0,215000000.0,231000000.0,262000000.0,281000000.0,318000000.0,355000000.0,351000000.0,299000000.0,372000000.0,373000000.0,Brazil,BR,National,USGS,metric tons,Annual production,Iron Ore
Iron Ore_Annual production_BG,1080000.0,600000.0,800000.0,428000.0,462000.0,483000.0,475000.0,479000.0,895000.0,699000.0,559000.0,464000.0,373000.0,466000.0,83000.0,,,,,,,,Bulgaria,BG,National,USGS,metric tons,Annual production,Iron Ore
