ID,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,Country Name,Country Code,Spatial Scale,Data Source,Unit,Metric,Technology Name
Lead_Annual production_DZ,1100.0,1150.0,900.0,1540.0,1100.0,1380.0,1020.0,845.0,730.0,1220.0,818.0,891.0,1110.0,,,,,,,,,,,Algeria,DZ,National,USGS,metric tons,Annual production,Lead
Lead_Annual production_AR,23400.0,23700.0,18000.0,11800.0,9980.0,10500.0,11300.0,13800.0,15000.0,15300.0,14100.0,12300.0,12000.0,12100.0,9550.0,10700.0,12100.0,17000.0,20800.0,24800.0,22600.0,26100.0,25000.0,Argentina,AR,National,USGS,metric tons,Annual production,Lead
Lead_Annual production_AU,570000.0,579000.0,577000.0,519000.0,537000.0,455000.0,522000.0,526000.0,618000.0,681000.0,739000.0,714000.0,694000.0,688000.0,674000.0,767000.0,686000.0,641000.0,645000.0,566000.0,625000.0,621000.0,648000.0,Australia,AU,National,USGS,metric tons,Annual production,Lead
Lead_Annual production_AT,1490.0,1150.0,920.0,1340.0,,,,,,,,,,,,,,,,,,,,Austria,AT,National,USGS,metric tons,Annual production,Lead
Lead_Annual production_BO,19900.0,20800.0,20000.0,21200.0,19700.0,20400.0,16500.0,18600.0,13800.0,10200.0,9520.0,8860.0,9890.0,9740.0,10300.0,11200.0,12000.0,22800.0,81600.0,84500.0,72800.0,100000.0,100000.0,Bolivia,BO,National,USGS,metric tons,Annual production,Lead
Lead_Annual production_BA,,,800.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,,850.0,1000.0,1000.0,2600.0,3300.0,2100.0,3200.0,3700.0,3700.0,Bosnia and Herzegovina,BA,National,USGS,metric tons,Annual production,Lead
Lead_Annual production_BR,9290.0,7270.0,2520.0,117.0,1330.0,11600.0,13200.0,8730.0,7570.0,10300.0,8830.0,10700.0,9250.0,10700.0,14700.0,23600.0,15800.0,24600.0,25300.0,15900.0,19700.0,15100.0,16500.0,Brazil,BR,National,USGS,metric tons,Annual production,Lead
Lead_Annual production_BG,57000.0,43600.0,39000.0,34000.0,32000.0,33000.0,28000.0,27000.0,24200.0,17000.0,10500.0,18500.0,21800.0,17000.0,19000.0,13000.0,10000.0,15000.0,15000.0,12000.0,12000.0,12000.0,12000.0,Bulgaria,BG,National,USGS,metric tons,Annual production,Lead
Lead_Annual production_MM,2700.0,2750.0,2800.0,2200.0,2300.0,2400.0,2200.0,1900.0,2200.0,1800.0,1200.0,900.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,1000.0,5000.0,7000.0,8700.0,8800.0,Burma,MM,National,USGS,metric tons,Annual production,Lead
Lead_Annual production_CA,241000.0,277000.0,344000.0,182000.0,168000.0,211000.0,257000.0,186000.0,190000.0,162000.0,149000.0,154000.0,97200.0,81300.0,76700.0,79300.0,83100.0,75100.0,99800.0,68800.0,64800.0,59800.0,59400.0,Canada,CA,National,USGS,metric tons,Annual production,Lead
Lead_Annual production_CL,1120.0,1050.0,298.0,344.0,1010.0,944.0,1370.0,1260.0,337.0,608.0,785.0,1190.0,2900.0,1700.0,2290.0,878.0,672.0,1310.0,3990.0,1510.0,695.0,841.0,1000.0,Chile,CL,National,USGS,metric tons,Annual production,Lead
Lead_Annual production_CN,315000.0,352000.0,330000.0,338000.0,462000.0,520000.0,643000.0,712000.0,580000.0,549000.0,660000.0,676000.0,641000.0,955000.0,998000.0,1140000.0,1330000.0,1410000.0,1500000.0,1600000.0,1850000.0,2400000.0,2800000.0,China,CN,National,USGS,metric tons,Annual production,Lead
Lead_Annual production_CO,331.0,611.0,620.0,447.0,290.0,300.0,300.0,311.0,272.0,166.0,226.0,220.0,,,,,,,,,,,,Colombia,CO,National,USGS,metric tons,Annual production,Lead
Lead_Annual production_CZ,,,,1000.0,500.0,,,,,,,,,,,,,,,,,,,Czech Republic,CZ,National,USGS,metric tons,Annual production,Lead
Lead_Annual production_CSK,3040.0,3430.0,2800.0,,,,,,,,,,,,,,,,,,,,,Czechoslovakia,CSK,National,USGS,metric tons,Annual production,Lead
