ID,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,Country Name,Country Code,Spatial Scale,Data Source,Unit,Metric,Technology Name
Primary Aluminum Production_Annual production_AR,166000.0,165000.0,156000.0,173000.0,175000.0,186000.0,184000.0,187000.0,187000.0,206000.0,262000.0,245000.0,269000.0,272000.0,272000.0,271000.0,273000.0,271000.0,394000.0,410000.0,412000.0,440000.0,450000.0,Argentina,AR,National,USGS,metric tons,Annual production,Primary Aluminum Production
Primary Aluminum Production_Annual production_AU,1230000.0,1230000.0,1240000.0,1380000.0,1320000.0,1300000.0,1370000.0,1500000.0,1630000.0,1720000.0,1770000.0,1800000.0,1840000.0,1860000.0,1890000.0,1900000.0,1930000.0,1960000.0,1970000.0,1940000.0,1930000.0,1950000.0,1860000.0,Australia,AU,National,USGS,metric tons,Annual production,Primary Aluminum Production
Primary Aluminum Production_Annual production_AT,89000.0,80000.0,33000.0,,,,,,,,,,,,,,,,,,,,,Austria,AT,National,USGS,metric tons,Annual production,Primary Aluminum Production
Primary Aluminum Production_Annual production_AZ,,,25000.0,20000.0,5000.0,4000.0,1000.0,5000.0,,,,,,18600.0,29500.0,31800.0,31900.0,38500.0,61600.0,,,20000.0,54000.0,Azerbaijan,AZ,National,USGS,metric tons,Annual production,Primary Aluminum Production
Primary Aluminum Production_Annual production_BH,213000.0,227000.0,292000.0,448000.0,447000.0,451000.0,461000.0,490000.0,501000.0,503000.0,509000.0,523000.0,519000.0,532000.0,532000.0,751000.0,872000.0,865000.0,872000.0,848000.0,851000.0,881000.0,890000.0,Bahrain,BH,National,USGS,metric tons,Annual production,Primary Aluminum Production
Primary Aluminum Production_Annual production_BA,,,30000.0,15000.0,10000.0,10000.0,10000.0,15000.0,28000.0,70000.0,95000.0,95100.0,102000.0,113000.0,121000.0,131000.0,121000.0,122000.0,123000.0,96000.0,118000.0,131000.0,126000.0,Bosnia and Herzegovina,BA,National,USGS,metric tons,Annual production,Primary Aluminum Production
Primary Aluminum Production_Annual production_BR,931000.0,1140000.0,1190000.0,1170000.0,1190000.0,1190000.0,1200000.0,1200000.0,1210000.0,1250000.0,1280000.0,1140000.0,1320000.0,1380000.0,1460000.0,1500000.0,1610000.0,1660000.0,1660000.0,1540000.0,1540000.0,1440000.0,1440000.0,Brazil,BR,National,USGS,metric tons,Annual production,Primary Aluminum Production
Primary Aluminum Production_Annual production_CM,93000.0,83000.0,83000.0,87000.0,89000.0,79000.0,82000.0,91000.0,82000.0,90400.0,86400.0,80900.0,67000.0,77200.0,85900.0,90400.0,88000.0,87000.0,91000.0,73000.0,76000.0,69000.0,52000.0,Cameroon,CM,National,USGS,metric tons,Annual production,Primary Aluminum Production
Primary Aluminum Production_Annual production_CA,1570000.0,1820000.0,1970000.0,2310000.0,2260000.0,2170000.0,2280000.0,2330000.0,2370000.0,2390000.0,2370000.0,2580000.0,2710000.0,2790000.0,2590000.0,2890000.0,3050000.0,3080000.0,3120000.0,3030000.0,2960000.0,2980000.0,2780000.0,Canada,CA,National,USGS,metric tons,Annual production,Primary Aluminum Production
Primary Aluminum Production_Annual production_CN,850000.0,963000.0,1100000.0,1220000.0,1450000.0,1680000.0,1770000.0,1960000.0,2340000.0,2530000.0,2800000.0,3250000.0,4300000.0,5450000.0,6670000.0,7800000.0,9360000.0,12600000.0,13200000.0,12900000.0,16200000.0,18100000.0,20300000.0,China,CN,National,USGS,metric tons,Annual production,Primary Aluminum Production
Primary Aluminum Production_Annual production_HR,,,20000.0,26000.0,26000.0,31000.0,38000.0,18000.0,16000.0,14500.0,15100.0,16000.0,,,,,,,,,,,,Croatia,HR,National,USGS,metric tons,Annual production,Primary Aluminum Production
Primary Aluminum Production_Annual production_CSK,70000.0,68000.0,68000.0,,,,,,,,,,,,,,,,,,,,,Czechoslovakia,CSK,National,USGS,metric tons,Annual production,Primary Aluminum Production
Primary Aluminum Production_Annual production_EG,179000.0,178000.0,178000.0,178000.0,188000.0,180000.0,179000.0,178000.0,195000.0,193000.0,189000.0,191000.0,195000.0,195000.0,216000.0,244000.0,252000.0,258000.0,260000.0,265000.0,266000.0,265000.0,265000.0,Egypt,EG,National,USGS,metric tons,Annual production,Primary Aluminum Production
Primary Aluminum Production_Annual production_FR,326000.0,286000.0,418000.0,426000.0,438000.0,372000.0,380000.0,399000.0,424000.0,455000.0,441000.0,462000.0,463000.0,443000.0,451000.0,442000.0,442000.0,428000.0,389000.0,345000.0,356000.0,334000.0,349000.0,France,FR,National,USGS,metric tons,Annual production,Primary Aluminum Production
Primary Aluminum Production_Annual production_DE,740000.0,690000.0,603000.0,552000.0,505000.0,575000.0,576000.0,572000.0,612000.0,634000.0,644000.0,652000.0,653000.0,661000.0,668000.0,648000.0,516000.0,551000.0,606000.0,292000.0,402000.0,432000.0,410000.0,Germany,DE,National,USGS,metric tons,Annual production,Primary Aluminum Production
Primary Aluminum Production_Annual production_GH,174000.0,175000.0,180000.0,175000.0,141000.0,135000.0,137000.0,152000.0,56000.0,104000.0,137000.0,144000.0,117000.0,16000.0,,13400.0,8000.0,,,,,35000.0,100000.0,Ghana,GH,National,USGS,metric tons,Annual production,Primary Aluminum Production
Primary Aluminum Production_Annual production_GR,150000.0,152000.0,153000.0,148000.0,144000.0,144000.0,141000.0,133000.0,146000.0,170000.0,168000.0,166000.0,165000.0,165000.0,167000.0,165000.0,163000.0,166000.0,160000.0,130000.0,130000.0,132000.0,135000.0,Greece,GR,National,USGS,metric tons,Annual production,Primary Aluminum Production
Primary Aluminum Production_Annual production_HU,75000.0,63000.0,27000.0,28000.0,31000.0,25000.0,30000.0,35000.0,35000.0,34000.0,33900.0,34000.0,35000.0,34000.0,34400.0,31000.0,34400.0,,,,,,,Hungary,HU,National,USGS,metric tons,Annual production,Primary Aluminum Production
Primary Aluminum Production_Annual production_IS,87000.0,89000.0,89000.0,94000.0,99000.0,100000.0,104000.0,123000.0,173000.0,220000.0,224000.0,242000.0,285000.0,286000.0,271000.0,272000.0,320000.0,398000.0,761000.0,805000.0,806000.0,781000.0,820000.0,Iceland,IS,National,USGS,metric tons,Annual production,Primary Aluminum Production
Primary Aluminum Production_Annual production_IN,433000.0,504000.0,496000.0,466000.0,472000.0,537000.0,531000.0,484000.0,542000.0,614000.0,644000.0,624000.0,671000.0,799000.0,861000.0,942000.0,1110000.0,1030000.0,1400000.0,1600000.0,1610000.0,1670000.0,1700000.0,India,IN,National,USGS,metric tons,Annual production,Primary Aluminum Production
