ID,Country Name,Technology Name,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Country Code,Unit,Data Source,Spatial Scale,Metric
Nitrogen Fertilizer_Annual Production_AF,Afghanistan,Nitrogen Fertilizer,,,,,,,,,,,,,,19117,14774,26203,37689,48300,48300,48900,48300,48300,48300,48760,55200,56100,56700,55200,55200,57500,48800,42000,40000,14000,10000,5000,5000,5000,5000,5000,18400,23414,16206,19458,15631,17636,16973,15324,13606,12022,17555,15776,15694,14416,14416,14416,14416,14416,14416,14416,AF,metric tons,FAOSTAT,National,Annual Production
Phosphate Fertilizer_Annual Production_AF,Afghanistan,Phosphate Fertilizer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,1563,460,1539,1541,1541,1541,1541,1541,1541,1541,AF,metric tons,FAOSTAT,National,Annual Production
Potash Fertilizer_Annual Production_AF,Afghanistan,Potash Fertilizer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,0,0,0,0,0,0,0,0,AF,metric tons,FAOSTAT,National,Annual Production
Nitrogen Fertilizer_Annual Production_AL,Albania,Nitrogen Fertilizer,,,,,,,5000,17000,20000,22900,36000,36000,36000,36000,36000,45000,50000,71900,72700,73000,73000,70800,73000,75000,75000,75000,66100,69300,79900,72400,22300,5700,9200,3650,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AL,metric tons,FAOSTAT,National,Annual Production
Phosphate Fertilizer_Annual Production_AL,Albania,Phosphate Fertilizer,,,,500,2000,3000,5000,14000,15800,20700,21000,21000,20800,24000,24900,22400,21200,23700,22600,21000,6000,29000,25000,18000,18000,18000,26700,25000,24300,25500,7700,4000,1570,1130,1000,3000,3000,2000,2000,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AL,metric tons,FAOSTAT,National,Annual Production
Potash Fertilizer_Annual Production_AL,Albania,Potash Fertilizer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AL,metric tons,FAOSTAT,National,Annual Production
Nitrogen Fertilizer_Annual Production_DZ,Algeria,Nitrogen Fertilizer,,,,,,,,,15000,22300,39000,50000,52000,78700,31000,33003,41831,42200,20700,23800,23700,50990,47000,101788,105828,112490,117000,105500,88000,80000,87900,64500,104500,82900,12000,8300,28400,40700,54400,90700,118200,72600,99660,153790,83100,27440,137780,11040,13400,20800,19500,24500,68000,438300,777600,1043200,1043200,1043200,1043200,1043200,DZ,metric tons,FAOSTAT,National,Annual Production
Phosphate Fertilizer_Annual Production_DZ,Algeria,Phosphate Fertilizer,15000,10000,10000,10000,15293,14800,15200,17600,16000,16000,16400,38400,72900,61800,64500,63690,70317,96600,53500,30800,22700,47960,53000,77503,71147,53800,55100,70600,45300,50000,30500,33500,40900,29600,12300,,,23400,8700,20300,35800,23000,5980,53550,20430,24310,42610,11580,17400,22800,25000,31200,27800,31900,28200,32400,32400,32400,32400,32400,DZ,metric tons,FAOSTAT,National,Annual Production
Potash Fertilizer_Annual Production_DZ,Algeria,Potash Fertilizer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DZ,metric tons,FAOSTAT,National,Annual Production
Nitrogen Fertilizer_Annual Production_AO,Angola,Nitrogen Fertilizer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AO,metric tons,FAOSTAT,National,Annual Production
Phosphate Fertilizer_Annual Production_AO,Angola,Phosphate Fertilizer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AO,metric tons,FAOSTAT,National,Annual Production
Potash Fertilizer_Annual Production_AO,Angola,Potash Fertilizer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AO,metric tons,FAOSTAT,National,Annual Production
Nitrogen Fertilizer_Annual Production_AG,Antigua and Barbuda,Nitrogen Fertilizer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AG,metric tons,FAOSTAT,National,Annual Production
Phosphate Fertilizer_Annual Production_AG,Antigua and Barbuda,Phosphate Fertilizer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AG,metric tons,FAOSTAT,National,Annual Production
Potash Fertilizer_Annual Production_AG,Antigua and Barbuda,Potash Fertilizer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AG,metric tons,FAOSTAT,National,Annual Production
Nitrogen Fertilizer_Annual Production_AR,Argentina,Nitrogen Fertilizer,2100,5000,4000,4000,4000,2667,10713,24878,20438,34209,39450,38000,28577,25000,18000,20700,27160,27943,25360,30437,25124,46900,50100,49300,52000,35983,43800,51100,49500,52500,42130,32688,47838,58186,58300,80700,97100,98600,119600,147000,433300,523700,607492,627693,574741,659115,468938,405948,514223,433113,533256,542503,630491.64,470858.26,431740,542945.76,617126.54,436101.01,510238.18,559953.7,AR,metric tons,FAOSTAT,National,Annual Production
Phosphate Fertilizer_Annual Production_AR,Argentina,Phosphate Fertilizer,1000,1000,1000,1000,1000,1051,618,575,408,1085,4200,5000,5000,5000,6600,8100,960,960,960,500,89,100,,3300,,,,,,,,,6800,7000,,,,,,,,,,,,,,,,,,,51600,68400,71000,80000,82800,82618,86540,90000,AR,metric tons,FAOSTAT,National,Annual Production
Potash Fertilizer_Annual Production_AR,Argentina,Potash Fertilizer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,400,400,600,660,660,600,480,AR,metric tons,FAOSTAT,National,Annual Production
Nitrogen Fertilizer_Annual Production_AM,Armenia,Nitrogen Fertilizer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000,,,,,,,,,,,0,0,0,0,0,0,0,0,AM,metric tons,FAOSTAT,National,Annual Production
Phosphate Fertilizer_Annual Production_AM,Armenia,Phosphate Fertilizer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,AM,metric tons,FAOSTAT,National,Annual Production
Potash Fertilizer_Annual Production_AM,Armenia,Potash Fertilizer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,AM,metric tons,FAOSTAT,National,Annual Production
Nitrogen Fertilizer_Annual Production_AU,Australia,Nitrogen Fertilizer,24421,20500,19100,26000,35500,44000,55000,95000,160000,145000,176000,182000,197200,198000,180000,220000,215000,206000,209966,214000,206000,212000,232200,235000,215700,226200,249700,235900,230000,224500,229500,224100,232300,228900,281000,278700,250800,299000,316000,383000,379500,354464,314751,326123,338588,337240,392912,330489,543309,285633,317961,237495,716831.6,342300,413300,423400,423400,423400,423400,423400,AU,metric tons,FAOSTAT,National,Annual Production
Phosphate Fertilizer_Annual Production_AU,Australia,Phosphate Fertilizer,584844,644027,749009,831897,939732,967120,960146,880261,804135,685303,813212,1081912,1168900,728005,480700,690140,745360,802120,919380,829400,784960,620000,564000,568000,523000,610800,747100,723000,511300,269600,274200,319000,312600,425400,407300,333400,383400,357000,428620,588000,722850,637312,625824,637634,596768,585820,747920,538752,540088,412475,572887,582856,305343.99,321334.69,451251.16,524512.42,464767.39,513407.15,424297.17,482509.14,AU,metric tons,FAOSTAT,National,Annual Production
Potash Fertilizer_Annual Production_AU,Australia,Potash Fertilizer,,,,,,,,,,,,,,,,,,,,,,,,,,700,500,700,300,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AU,metric tons,FAOSTAT,National,Annual Production
Nitrogen Fertilizer_Annual Production_AT,Austria,Nitrogen Fertilizer,172380,173422,169812,184900,211070,234520,252550,255080,248050,218900,231600,229700,230450,226190,256000,239000,285000,295000,275000,300000,238100,254800,209000,253000,222000,193000,247000,234500,230000,229500,265000,184000,220000,223000,222000,240000,227000,254000,236000,186000,216000,,,,,,,,,,,,,,,,,,,,AT,metric tons,FAOSTAT,National,Annual Production
Phosphate Fertilizer_Annual Production_AT,Austria,Phosphate Fertilizer,38560,52686,58177,59924,55276,63372,75335,77172,90950,102200,123073,138639,142774,144600,90200,105000,107500,104000,107800,105000,95500,88025,95100,99100,75300,49800,64400,49700,61000,70000,77000,79000,77000,58000,44000,72000,64000,62000,57000,51000,74200,,,,,,,,,,,,,,,,,,,,AT,metric tons,FAOSTAT,National,Annual Production
Nitrogen Fertilizer_Annual Production_AZ,Azerbaijan,Nitrogen Fertilizer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,AZ,metric tons,FAOSTAT,National,Annual Production
Phosphate Fertilizer_Annual Production_AZ,Azerbaijan,Phosphate Fertilizer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61000,40000,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,AZ,metric tons,FAOSTAT,National,Annual Production
