ID,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Unit,Metric,Spatial Scale,Technology Name,Data Source,Country Name,Country Code
Cotton Seed Production_Price_AZ,,,,138.315737874097,109.02391640866873,67.57781217750258,,,,,,,,61.86529927760578,64.29615583075335,69.40095459236326,,,,,,,,,,,,,,,,2022 USD/tonne,Price,National,Cotton Seed Production,FAOSTAT,Azerbaijan,AZ
Cotton Seed Production_Price_BO,54.69427244582043,42.41844685242518,61.01449948400413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022 USD/tonne,Price,National,Cotton Seed Production,FAOSTAT,Bolivia (Plurinational State of),BO
Cotton Seed Production_Price_BI,,,,,,,53.11421568627451,68.91478328173375,73.29032507739937,70.8594685242518,69.7655830753354,62.229927760577915,73.04723942208463,80.21826625386997,65.39004127966976,83.01375128998967,79.85363777089783,,,,,,,,,,,,,,,2022 USD/tonne,Price,National,Cotton Seed Production,FAOSTAT,Burundi,BI
Cotton Seed Production_Price_CN,101.36671826625387,115.4656862745098,127.01225490196079,142.81282249742003,402.428302373581,520.6894736842105,355.1481424148607,355.39122807017543,359.28059855521155,441.68663570691433,543.9041537667698,648.0663570691435,,,,,,405.70995872033023,428.92463880288955,502.7011351909185,474.01702786377706,539.1639834881321,264.84182146542827,,,,,438.64806501547986,434.15098039215684,487.87291021671825,,2022 USD/tonne,Price,National,Cotton Seed Production,FAOSTAT,"China, mainland",CN
Cotton Seed Production_Price_CI,85.32306501547988,101.00208978328172,98.69277605779153,78.75975232198142,102.21751805985551,71.22409700722395,49.95410216718266,49.46793085655315,45.45701754385965,51.16953044375645,49.7110165118679,,,,,,,,,,,,,,,,,,,,,2022 USD/tonne,Price,National,Cotton Seed Production,FAOSTAT,Côte d'Ivoire,CI
Cotton Seed Production_Price_DO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.385706914344684,30.021078431372548,2022 USD/tonne,Price,National,Cotton Seed Production,FAOSTAT,Dominican Republic,DO
Cotton Seed Production_Price_EG,,,,,,,,20.783823529411766,15.679024767801858,13.977425180598555,12.275825593395252,8.386455108359133,6.806398348813209,6.68485552115583,7.535655314757482,7.6571981424148605,13.36971104231166,24.43010835913313,,,,,,,1249.2171826625386,769.7307275541795,307.86798245614034,312.0004385964912,,,,2022 USD/tonne,Price,National,Cotton Seed Production,FAOSTAT,Egypt,EG
Cotton Seed Production_Price_SV,,,,,,,,,,,,,,,329.3810629514964,277.11764705882354,133.6971104231166,133.6971104231166,588.267285861713,543.9041537667698,514.733875128999,453.23320433436527,,,,,,,,,,2022 USD/tonne,Price,National,Cotton Seed Production,FAOSTAT,El Salvador,SV
Cotton Seed Production_Price_GM,403.6437306501548,396.2296181630547,386.7492776057791,367.9101393188854,432.93555211558305,,,,373.2580237358101,427.70921052631576,387.356991744066,335.5797471620227,340.80608875128996,323.7900928792569,425.39989680082556,433.0570949432405,,,,,,,,,,,,,,,,2022 USD/tonne,Price,National,Cotton Seed Production,FAOSTAT,Gambia,GM
Cotton Seed Production_Price_IN,,,,,,,,,,,145.60830753353972,,,,,,,,,,,,,,,,,,,,,2022 USD/tonne,Price,National,Cotton Seed Production,FAOSTAT,India,IN
Cotton Seed Production_Price_IR,,324.6408926728586,307.26026831785344,248.6766253869969,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022 USD/tonne,Price,National,Cotton Seed Production,FAOSTAT,Iran (Islamic Republic of),IR
Cotton Seed Production_Price_IL,,,229.71594427244582,219.62788957688338,224.00343137254902,210.14754901960785,101.48826109391125,169.55224458204333,,209.1752063983488,201.1533797729618,190.45761093911247,232.1468008255934,208.93212074303406,230.32365841073272,196.17012383900928,306.16638286893703,412.63789989680083,273.59290505675955,358.18671310629514,367.9101393188854,458.58108875129,420.78126934984516,366.93779669762637,293.8905572755418,314.9174664602683,336.1874613003096,414.7041279669762,438.16189370485034,494.31468008255933,550.4674664602683,2022 USD/tonne,Price,National,Cotton Seed Production,FAOSTAT,Israel,IL
Cotton Seed Production_Price_KE,39.74450464396285,38.893704850361196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022 USD/tonne,Price,National,Cotton Seed Production,FAOSTAT,Kenya,KE
Cotton Seed Production_Price_ML,,,,,,,,,,,,,,,,,74.8703818369453,160.19344685242518,88.60472136222911,246.36731166150668,,,,,,,,,,,,2022 USD/tonne,Price,National,Cotton Seed Production,FAOSTAT,Mali,ML
Cotton Seed Production_Price_MA,293.1613003095975,298.9953560371517,274.4437048503612,277.3607327141383,298.8738132094943,292.7966718266254,267.88039215686274,265.6926212590299,260.34473684210525,240.16862745098038,225.8265737874097,231.66062951496386,266.5434210526316,,,,,,,,,,,,,,,,,,,2022 USD/tonne,Price,National,Cotton Seed Production,FAOSTAT,Morocco,MA
Cotton Seed Production_Price_NI,,,,,,,204.55657894736842,,,,,,,,,,,,,,,,,,,,,,,,,2022 USD/tonne,Price,National,Cotton Seed Production,FAOSTAT,Nicaragua,NI
Cotton Seed Production_Price_NG,,,,,,,,,,,,,,,,,,,,666.5408668730649,738.6157636738907,746.2729618163055,745.5437048503611,,,,,,,,,2022 USD/tonne,Price,National,Cotton Seed Production,FAOSTAT,Nigeria,NG
