Country Name,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Country Code,Technology Name,Data Source,Unit,Metric,Spatial Scale,ID
Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AF,Natural Gas Pipelines,Roberts et al (in preparation),km,Cumulative Length,National,Natural Gas Pipelines_Cumulative Length_AF
Albania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AL,Natural Gas Pipelines,Roberts et al (in preparation),km,Cumulative Length,National,Natural Gas Pipelines_Cumulative Length_AL
Algeria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,509.0,254.5,254.5,254.5,254.5,254.5,254.5,254.5,254.5,254.5,254.5,254.5,254.5,254.5,254.5,404.5,329.5,904.5,1124.0,870.5,1306.5,1599.5,1344.0,1344.0,1344.0,1344.0,1857.0,1600.5,2117.5,1859.0,1859.0,1859.0,1859.0,1859.0,1859.0,1859.0,1859.0,1859.0,1859.0,1859.0,2434.0,2146.5,2976.5,2561.5,2640.5,2601.0,2601.0,2601.0,2601.0,2601.0,2601.0,2601.0,3385.0,2993.0,2993.0,3502.0,3782.5,5194.0,4354.5,4884.5,4816.5,4827.0,4772.5,DZ,Natural Gas Pipelines,Roberts et al (in preparation),km,Cumulative Length,National,Natural Gas Pipelines_Cumulative Length_DZ
Angola,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,AO,Natural Gas Pipelines,Roberts et al (in preparation),km,Cumulative Length,National,Natural Gas Pipelines_Cumulative Length_AO
Argentina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1454.0,727.0,727.0,727.0,727.0,5317.0,3022.0,3022.0,3022.0,3022.0,4289.0,3655.5,3655.5,3655.5,3655.5,3655.5,3655.5,3655.5,3655.5,3655.5,3655.5,5056.5,4356.0,4356.0,4356.0,4356.0,5296.0,4826.0,6784.0,5805.0,5805.0,5805.0,5805.0,5805.0,5805.0,5805.0,5805.0,5805.0,5805.0,5805.0,5805.0,5805.0,5805.0,5805.0,6485.0,6145.0,6926.0,6721.5,6628.5,6806.9,6754.7,6736.2,6736.2,6736.2,6736.2,6736.2,6813.2,6774.7,6774.7,7468.7,7121.7,7121.7,7121.7,7121.7,AR,Natural Gas Pipelines,Roberts et al (in preparation),km,Cumulative Length,National,Natural Gas Pipelines_Cumulative Length_AR
Armenia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,90.0,90.0,148.0,174.0,146.5,146.5,146.5,146.5,146.5,146.5,146.5,146.5,146.5,146.5,146.5,146.5,146.5,146.5,146.5,146.5,146.5,146.5,146.5,233.10000000000002,189.8,189.8,189.8,189.8,189.8,189.8,189.8,189.8,251.6,220.7,220.7,220.7,220.7,220.7,220.7,220.7,220.7,220.7,220.7,220.7,220.7,220.7,220.7,220.7,220.7,220.7,220.7,220.7,220.7,220.7,220.7,220.7,220.7,220.7,220.7,220.7,220.7,220.7,220.7,AM,Natural Gas Pipelines,Roberts et al (in preparation),km,Cumulative Length,National,Natural Gas Pipelines_Cumulative Length_AM
Australia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1622.0,811.0,811.0,1256.0,1033.5,1033.5,1033.5,2333.5,1736.5,1811.0,1760.5,1760.5,1760.5,1760.5,1900.5,3618.5,2724.5,4382.5,3553.5,3553.5,3553.5,4182.5,3950.0,3997.6000000000004,3953.3,3953.3,5193.5,7453.700000000001,6013.55,7132.55,7074.05,7894.55,7444.05,8135.55,7768.55,9376.55,9267.55,9341.05,9327.55,9516.05,10145.55,9759.05,9842.05,9800.55,9800.55,10775.55,11554.05,10921.05,11183.49,11991.27,12643.77,12082.77,12162.07,12702.42,12412.42,AU,Natural Gas Pipelines,Roberts et al (in preparation),km,Cumulative Length,National,Natural Gas Pipelines_Cumulative Length_AU
Austria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,383.0,191.5,191.5,191.5,191.5,191.5,191.5,191.5,191.5,191.5,191.5,191.5,191.5,191.5,191.5,191.5,191.5,191.5,191.5,191.5,436.6,314.05,314.05,314.05,314.05,314.05,314.05,314.05,314.05,314.05,314.05,314.05,314.05,314.05,314.05,314.05,359.05,336.55,336.55,431.55,384.05,384.05,384.05,384.05,384.05,384.05,384.05,384.05,384.05,384.05,384.05,384.05,384.05,384.05,384.05,384.05,384.05,384.05,384.05,384.05,384.05,384.05,384.05,384.05,AT,Natural Gas Pipelines,Roberts et al (in preparation),km,Cumulative Length,National,Natural Gas Pipelines_Cumulative Length_AT
Azerbaijan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.6,33.3,78.0,55.65,55.65,55.65,55.65,55.65,55.65,55.65,55.65,55.65,55.65,55.65,55.65,55.65,55.65,AZ,Natural Gas Pipelines,Roberts et al (in preparation),km,Cumulative Length,National,Natural Gas Pipelines_Cumulative Length_AZ
Bahrain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BH,Natural Gas Pipelines,Roberts et al (in preparation),km,Cumulative Length,National,Natural Gas Pipelines_Cumulative Length_BH
