ID,Spatial Scale,Country Code,Country Name,Technology Name,Metric,Unit,Data Source,1700,1701,1702,1703,1704,1705,1706,1707,1708,1709,1710,1711,1712,1713,1714,1715,1716,1717,1718,1719,1720,1721,1722,1723,1724,1725,1726,1727,1728,1729,1730,1731,1732,1733,1734,1735,1736,1737,1738,1739,1740,1741,1742,1743,1744,1745,1746,1747,1748,1749,1750,1751,1752,1753,1754,1755,1756,1757,1758,1759,1760,1761,1762,1763,1764,1765,1766,1767,1768,1769,1770,1771,1772,1773,1774,1775,1776,1777,1778,1779,1780,1781,1782,1783,1784,1785,1786,1787,1788,1789,1790,1791,1792,1793,1794,1795,1796,1797,1798,1799,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Washing Machines_Cumulative Total Capacity_US,National,US,US,Washing Machines,Cumulative Total Capacity,MW,Wilson & Grubler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.795447595,45.860542005,96.19528323,164.79967127,251.673706125,356.81738779500006,480.2307162800001,621.9136915800001,781.8663136950001,960.0885826250002,1125.4475287975,1277.9431522125,1448.98805989375,1638.58225184125,1845.9800281850005,2071.181388925,2322.9483075337503,2601.28078401125,2870.29201211375,3129.98199184125,3453.8720697515623,3993.6632353627047,4799.545980583183,5921.710797321506,7410.348177486179,9315.64861298571,11687.802595728605,14577.000617623373,17718.899772977016,21104.110002427034,24723.241246610924,28566.90344616618,32625.70654173029,36890.26047394077,41351.17518343509,46170.10272146522,51357.13584030603,56922.36729223241,62875.889829519256,69198.49723606395,75897.56414385364,82980.46518487546,90454.57499111652,98327.268194564,106686.52673593878,115545.79547296444,124918.51926336452,134818.1429648627,145045.49132740428,155600.0934866788,166481.4785783757,177689.1757381845,189222.71410179467,201081.62280489568,213265.430983177,225773.66777232816,238605.86230803857,251761.54372599776,265240.2411618952,278953.3628402169,292590.0628402169,305228.34992355027,318477.84992355027,332421.7427806931,347846.74320086115,364985.00202439056,380617.3641296537,397109.6207499781,414526.9823537517,431768.9991735134,449157.5158103886,466484.2521923813,484252.51978920354,502644.3739558702,521409.0239558703,539576.2502716597,554410.4752716597,568988.6752716596,585838.5661807505,603788.4033465259,621861.4974641729,639826.4022770071,659972.1750042798,681411.828212836,704146.2795497343,728176.4466620338,753503.2471967932,780127.5988010713,808626.8988010713,,,,,,,,,,,,,,,,,
Washing Machines_Cumulative Total Capacity_World,Global,World,World,Washing Machines,Cumulative Total Capacity,MW,Wilson & Grubler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.20824183015786,174.28147267993467,277.4034912316847,392.9001520096448,522.25641208096,667.1354233608331,829.399915994291,1011.1361477437638,1214.6807273031734,1442.6506564097122,1697.9769770090356,1983.942456080278,2304.2237926400694,2662.938889587036,3064.6997981676386,3514.6720157779137,4018.6408995014217,4583.08604927175,5215.264617014518,5923.304612886419,6716.309408262948,7951.650703416637,9724.069989240585,12144.677068845434,15343.514175022745,19472.499772203595,24708.80624389988,31141.770225904897,38958.36015556344,48370.97158258615,59620.64290714928,72980.65999449069,88043.32549803724,104945.50421669109,123833.49080820408,144863.6106130655,167758.29991235875,192610.50576792532,219517.07395277236,248578.89922138653,279901.0810874276,313574.7872834435,349710.7953984512,388424.2852082015,429834.99760355125,474067.3988902351,521250.85063254414,571519.7852187693,625013.8873316987,681878.2815131246,741475.1359886262,800728.4513355241,864177.6348473158,933911.9088024072,1002900.6169734646,1074849.2952416877,1154468.123551113,1238388.8113665655,1325197.61581101,1412027.943083737,1500699.431972626,1587511.856972626,1690686.356972626,1795064.6284011975,1911124.3898726264,2044405.415319685,2164446.4347554743,2290716.8777684686,2425830.739437666,2552405.001567197,2676807.556855512,2799216.728640269,2915858.66721872,3041716.0984687195,3167689.77386872,3291859.7841666145,3394999.957724948,3506453.684024948,3623582.8511976753,3738574.6632407233,3859579.279734841,3979107.440925482,4117114.574000349,4264253.395581632,4415848.706209183,4571863.305674163,4732423.732170246,4897660.081508818,5066480.081508818,,,,,,,,,,,,,,,,,
Bicycles_Cumulative Total Capacity_World,Global,World,World,Bicycles,Cumulative Total Capacity,MW,Wilson & Grubler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0002,0.0144,0.0372,0.0686,0.1086,0.4537666666666666,1.1041,2.1280999999999994,3.692938668118804,7.235832758323267,12.757576837661896,20.259012969041912,29.74103355033052,41.20458432316564,54.65066756162055,70.08034545147332,87.5015436714746,108.55385518868836,136.25954428070204,168.02289197473763,203.9053182121537,243.90832781239268,287.9935155466323,336.1625715147184,388.76402585575113,445.48110607942414,506.6944863142275,581.5357618566811,670.0147299972222,776.5921233242099,920.2676806391968,1101.0543032058365,1279.2994808073474,1455.018755546556,1628.2291997948505,1885.1874385854192,2188.266619010986,2451.964437858587,2706.100875968268,2952.748440631039,3156.1849343865715,3316.423753072845,3483.854216268198,3666.0819335774,3845.356710547546,4020.702998356228,4233.0153917920525,4433.07392215499,4642.250183558544,4860.31774864737,5093.447913051462,5325.850516863205,5579.9298500955765,5819.020649417732,6073.441336588601,6343.325934887873,6628.822528436445,6930.0947005547805,7247.323101166054,7564.807149636681,7882.766878270135,8230.557777110833,8597.447212650002,8970.714561314464,9334.416265284464,9708.198087801951,10074.462903285434,10438.138427806189,10830.77499677876,11225.928343183848,11677.215179802308,12145.452557319342,12631.295586940212,13165.668353942148,13780.846035782464,14507.019899269828,15285.577179422948,16111.118307485169,16964.75724616612,17824.856189580085,18655.404459653324,19373.647269503075,20039.00577042949,20779.87923899271,21596.442282201388,22521.82039301781,23608.60739637669,24784.9539505322,26059.97168478986,27279.75212401092,28530.32130838237,29855.666828796657,31155.66682879665,32555.666828796657,34055.66682879665,35655.66682879665,37355.66682879665,39155.666828796646,41055.66682879665,43055.666828796646,45055.666828796646,47176.36682879665,49097.76682879665,51170.76682879665,53328.76682879666,55560.76682879666,57893.16682879665,60459.066828796655,63078.46682879666,66686.56682879665,70562.46682879666,75208.96682879666,80147.46682879666,85067.26682879665,89219.66682879666,93727.86682879666,98649.16682879666,103712.86682879666,109235.46682879663,115152.16682879665,121421.26682879664,128214.66682879665,135388.10722879664,142736.05412879665,150455.80382879666,158719.25552879664,167413.10122879667,176962.40612879666,184755.52382879663,192119.97242879664,200707.39172879665,209693.63762879663,218788.23262879663,228125.62862879664,237278.69762879668,244976.59902879663,252989.56072879667,259840.5733287967,267101.27782879665,275049.2272287967,282779.46692879667,291605.43922879663,301948.1511287966,313959.9609287967,324039.08322879666,335286.0035287966,345545.8508887966,,,,,,,,,,,,,,,,,,
Refrigerators_Cumulative Total Capacity_US,National,US,US,Refrigerators,Cumulative Total Capacity,MW,Wilson & Grubler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.253082196940078,2.6453957490957203,4.192410807046434,5.911316426991671,7.821211560264157,9.943317263900251,12.30121249016258,14.9210960748985,17.83207783571619,21.066502014402516,24.66030665738732,28.65342292737043,33.09021878290722,38.01999195572588,43.497517703302165,49.58365742283137,56.34603488897493,63.859787629134445,72.20840178486723,81.48463973568144,91.79157079214168,103.24371641043084,115.96832265297434,130.10677403357823,145.81616445647143,163.2710427041306,182.6653518681963,204.21458427271372,228.15817583328868,254.7621664561497,284.3221560371064,317.1665889048361,353.6604032023135,398.3455379596371,452.61877815011087,518.0591455396531,596.478183947929,689.9521367199698,800.8584041044112,931.916834375959,1086.2364727763868,1267.3684713556709,1479.3659516547864,1726.851712098149,2015.0947843190595,2350.096968953972,2738.690623425489,3188.649133812918,3708.8116822399006,4309.22412271045,5001.298004710449,5797.990038203598,6714.004579299483,7738.59636765564,8912.517381354271,10211.671600532354,11328.42768957345,12159.722702130526,13024.596893911348,14001.4124863771,14926.494897336006,15825.783326559753,16576.90396582916,17313.744373363406,17947.5398037287,18730.0062124045,19551.30274665108,20331.74616331774,21184.81159710769,21996.53014356888,22877.20062028121,23755.66050487025,24514.43685875153,25263.681776902216,26120.38112028121,26935.823370052894,27796.55868032687,28605.90733500724,29398.177874733265,30229.159853957008,30976.64982781545,31726.41812331912,32482.012435204026,33170.65658205483,33794.3328685618,34418.202919339514,,,,,,,,,,,,,,,,,,,,,,
Refrigerators_Cumulative Total Capacity_World,Global,World,World,Refrigerators,Cumulative Total Capacity,MW,Wilson & Grubler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.723708920932466,16.305607721968542,25.841050834230845,36.4359876256334,48.20813961608069,61.28830849435546,75.82182947021631,91.9701861100617,109.9128045987788,129.84904736402,152.00042821428804,176.61307360347473,203.96045736923773,234.3464393311966,268.1086415111509,305.62219948887787,347.3039305752412,393.61696511564486,445.07589238276006,502.2524782351103,565.782018071055,636.370395666549,714.8019263282091,801.9480715078314,898.7771217074118,1006.3649552625012,1125.9069925459337,1258.7314784164143,1406.3142404947262,1570.295087248406,1752.496028085828,1954.9415179051855,2179.880951037805,2455.309789465963,2789.8374927967598,3193.196786089692,3676.5536065791857,4252.7054381694925,4936.306026284378,5744.119886798561,6695.310455700605,7811.766213119719,9118.469663060909,10643.91466611649,12420.578314954591,14485.45432094598,16880.655755447668,19654.095972869465,22860.257648002236,26561.061102097567,30826.844487577564,35737.46996877344,41383.57179676428,47492.82140986469,54399.94958159072,62068.921760860125,69579.3510184172,76477.67568711583,83661.9577124309,90908.29328092062,98156.93168603478,105089.97003444002,111522.14194380074,117497.80213020027,123286.8285057117,129251.7657545142,135176.0002394868,140982.73063257014,147129.8160351432,153208.3919794756,160353.21938881167,167315.69247015208,174019.64607541508,179690.3147671509,184718.54493349796,189450.67269894335,194402.64919307383,199159.5197564341,204042.1724937341,208872.8613727701,213439.7424599077,218017.6718438304,222705.00950553425,227122.98614692717,231789.1205371044,236870.9491519103,242295.12317189705,247607.57406705324,253126.60339405265,258676.11182113757,264133.2456875823,269772.0303674103,,,,,,,,,,,,,,,,
Jet Aircraft_Cumulative Total Capacity_US,National,US,Boeing,Jet Aircraft,Cumulative Total Capacity,MW,Wilson & Grubler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,677.2591542857143,7195.878514285715,14899.701394285716,21672.292937142854,27428.99574857143,30620.227110593743,38791.14073499467,49743.52097812176,63809.88372076669,82063.63365621498,104567.00655761277,121750.20672418058,152572.7785582004,174956.4051946743,186474.7943463784,201290.6261879782,216207.43417748075,229489.46684481716,242531.56108874697,253199.21089486612,270847.56598486844,299904.75822802767,330736.4240929057,354917.2550455816,370753.6263592283,390316.03996658896,403757.1765215791,421832.3777743445,444265.2451344589,466432.6018448901,490882.006637736,518919.5217396424,559880.6572383108,602443.7963448506,645404.5828874728,679680.9642623672,706994.3968080918,728625.3992893128,754472.1094077571,792300.7749855191,844955.5996414869,900943.512143514,942444.574563484,987861.3722035488,1022535.1280609404,1048144.3474511256,1071349.8043944305,1094650.6253482103,1127160.1214244822,1164968.9585929231,,,,,,,,,,,,,,,,,,
Motorcycles_Cumulative Total Capacity_World,Global,World,World,Motorcycles,Cumulative Total Capacity,MW,Wilson & Grubler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3527118765147508,5.507541435632319,16.098488185701285,32.982154575583934,57.49085369676875,89.42462777875633,130.3652841955527,181.5104322425324,244.2558184591847,320.2354337139749,416.1693928329851,531.1658329568679,668.2530499617025,831.003968692682,1023.611678674273,1250.957772895768,1518.665390871255,1833.1291802470275,2201.517605573596,2635.8937222797977,3210.1131469517745,3783.60620892827,4357.881173793862,5060.323226136973,5972.986693017487,6965.510447445287,8141.885774075362,9670.64158159616,11366.032695858736,13313.24599810258,15096.011461985954,16588.586555850616,17867.693387178566,18901.154451732837,20180.855378587665,21709.02344877652,23438.592800156974,25569.110752971184,27885.694361196805,30518.53887433304,33551.496172122526,37026.78581404586,41007.73985395416,45543.38091130935,50625.68612379368,56301.02337641647,62783.04702868802,70844.1408269211,80650.95889159793,92256.81736327463,106965.18493291512,123960.29976818876,143418.18534908534,166339.6410965375,191804.41425920316,218906.6988848728,252073.1596864073,285795.4186253155,322951.6135010633,362880.011842043,415017.33012294833,470825.8626584992,533490.1100273967,599145.6381805401,659927.5813214994,727904.0214586202,800634.6807214301,870561.7972651182,942733.2059835264,1020757.8106515808,1107570.3769762744,1201719.407432676,1300082.1424215117,1405077.4771260684,1524737.5170634547,1630249.1420777591,1744479.955438071,1879727.2813367888,2020456.880560608,2139020.77368392,2290620.7929594894,2451834.6601009704,2608325.459880676,2729495.468666561,2841252.705985629,2962887.532212808,3069811.6841720087,3166801.995150675,3279249.961736248,3394994.642589885,3515446.534187423,3639223.938315339,3771509.130037344,3936811.538919475,4111266.725982256,4311937.663741006,4524103.203300344,4761417.807530387,4981592.999286465,5215064.142922822,5455877.888512135,5690156.966272175,5923854.049899797,6187413.7014656775,6481174.013074755,6805235.854704336,7156277.195258761,7525628.363650641,7901861.028184822,,,,,,,,,,,,,,,,,
Natural Gas Power_Cumulative Total Capacity_World,Global,World,World,Natural Gas Power,Cumulative Total Capacity,MW,Wilson & Grubler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,10.0,10.0,16.0,16.0,19.1,19.1,19.1,28.700000000000003,37.5,37.5,42.5,42.5,42.5,62.5,111.5,171.5,248.5,276.0,331.0,372.3,551.8,633.3,785.3,979.3,1273.3,1548.675,2001.075,2139.075,2183.075,2187.075,2193.075,2204.075,2629.375,2773.775,3151.3250000000003,3283.3199900000004,3935.91999,4573.91999,4823.17799,5299.97799,5316.95799,5519.96799,5609.81998,6039.1149700000005,7875.679970000001,10342.23997,12340.81997,15539.11197,17357.69397,21214.57397,25435.86997,28331.71797,32341.72397,35603.88997,40739.02197,45681.18797,50607.08697,55368.58697,59160.51093,63395.79793,68942.80393,75314.80393,83527.39893,94517.51293,103079.49093,114405.30293,126957.45393,140389.90892999998,158589.56392,173847.79192,190884.96792,206408.38792,220437.56792,232929.33492,241706.88592,254310.63292,263119.97292000003,271713.79892000003,278860.33592000004,291266.65792,299888.53292,307435.75892000005,314576.87091000006,322355.49890000006,330808.9689000001,341515.5078900001,350022.9848900001,359444.16776000004,373114.5735600001,393295.49448000005,414634.51985,436831.45785000006,459089.9808500001,478159.65685,495682.88385,521080.21285,565132.50785,,,,,,,,,,,,,,,,,,,,,,,,,
Laundry Dryers_Cumulative Total Capacity_US,National,US,US,Laundry Dryers,Cumulative Total Capacity,MW,Wilson & Grubler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.30500834971608,413.4557679518895,667.7791414943891,960.2510210682634,1296.5936825782192,1683.387743314668,2128.200913161584,2639.7360584855383,3228.0014756080845,3904.506705299013,4682.48771944358,5538.266835002605,6479.623862117533,7515.116591943953,8654.158594753015,9907.104797842983,11285.345621241948,12801.41052698081,14469.081923293556,16303.52045923758,18321.402848776004,20541.073477268277,22982.711168609767,25668.512629085417,28622.894235608623,31872.71400278416,35447.51574667724,39201.05757776498,43142.276500407104,47280.55636918134,51625.75023139429,56188.20378671788,60978.78001980766,66008.88506455193,71290.4953615334,76836.18617336394,82659.16152578601,88773.2856458292,95193.11597187452,101933.93781422212,109011.80074868712,116443.55682987536,124246.900715123,132440.411794633,141043.59842811854,150076.94439327833,159561.95765669615,169102.93899816158,178696.28528770615,188388.84037381024,197510.62110939,207844.15131537872,219854.54695011547,232877.7937836033,243832.4985918472,252614.62227890317,262339.2177762773,273211.3033024479,284340.4265950689,295270.6516160319,304854.4883365403,313927.309497558,322235.1373060447,332336.10953286407,343498.8925329964,355573.5476093458,367740.0018879988,381139.6254509319,394756.5071259838,408370.3288276255,421182.4374958148,433927.2267489812,447684.8672008988,462317.6600481118,477654.24677965336,492501.2377655751,507593.0266243068,522641.9758552966,535512.2240182782,554334.120463951,573829.2110598511,593890.3967366241,614612.5366699839,636659.6450899275,,,,,,,,,,,,,,,,,,,,,,
