ID,Spatial Scale,Country Code,Country Name,Technology Name,Metric,Unit,Data Source,1700,1701,1702,1703,1704,1705,1706,1707,1708,1709,1710,1711,1712,1713,1714,1715,1716,1717,1718,1719,1720,1721,1722,1723,1724,1725,1726,1727,1728,1729,1730,1731,1732,1733,1734,1735,1736,1737,1738,1739,1740,1741,1742,1743,1744,1745,1746,1747,1748,1749,1750,1751,1752,1753,1754,1755,1756,1757,1758,1759,1760,1761,1762,1763,1764,1765,1766,1767,1768,1769,1770,1771,1772,1773,1774,1775,1776,1777,1778,1779,1780,1781,1782,1783,1784,1785,1786,1787,1788,1789,1790,1791,1792,1793,1794,1795,1796,1797,1798,1799,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Tin_Annual Production_ID,National,ID,Indonesia,Tin,Annual Production,thousand metric tons,Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,12.0,16.0,16.0,16.0,15.0,16.0,16.0,14.0,14.0,15.0,13.0,8.0,9.0,10.0,8.0,12.0,14.0,10.0,14.0,22.0,20.0,10.0,15.0,6.0,1.0,,,,,,,,1.0,1.0,2.0,,,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,5.0,8.0,5.0,9.0,12.0,15.0,15.0,18.0,23.0,24.0,26.0,28.0,30.0,33.0,30.0,28.0,22.0,20.0,22.0,24.0,28.0,30.0,38.0,38.0,38.0,36.0,39.0,44.0,49.0,53.0,54.0,49.0,46.0,53.0,67.0,65.0,,,,,,,,,,,,,,,,,,,,,,
Sulphuric Acid_Annual Production_CA,National,CA,Canada,Sulphuric Acid,Annual Production,thousand metric tons,Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.0,62.0,40.0,52.0,74.0,61.0,70.0,91.0,83.0,81.0,94.0,91.0,101.0,116.0,125.0,174.0,190.0,204.0,239.0,227.0,216.0,273.0,304.0,421.0,474.0,580.0,603.0,538.0,607.0,616.0,642.0,686.0,745.0,741.0,746.0,838.0,862.0,954.0,1170.0,1439.0,1578.0,1518.0,1464.0,1559.0,1625.0,1761.0,1964.0,2268.0,2495.0,2587.0,2175.0,2475.0,2661.0,2749.0,2980.0,2821.0,2723.0,2842.0,3140.0,3261.0,3666.0,4295.0,4117.0,3085.0,3679.0,4043.0,3890.0,3536.0,3437.0,3805.0,3719.0,3830.0,3676.0,3776.0,3713.0,4059.0,3844.0,4278.0,4100.0,4333.0,4194.0,3804.0,3846.0,3887.0,,,,,,,,,,,,,,,,,,,,,,,
Beer_Annual Production_TM,National,TM,Turkmenistan,Beer Production,Annual Production,thousand hectolitres,Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,4.0,3.0,218.0,113.0,17.0,44.0,29.0,37.0,52.0,79.0,84.0,,,,,,,,,,,,,,,,,,,,,,,
Crude Petroleum_Annual Production_MM,National,MM,Myanmar,Crude Petroleum,Annual Production,thousand metric tons,Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1029.0,994.0,1006.0,957.0,971.0,977.0,973.0,960.0,1014.0,1049.0,1007.0,1053.0,1034.0,,,,,,,14.0,43.0,39.0,70.0,114.0,116.0,141.0,180.0,211.0,231.0,395.0,462.0,529.0,545.0,563.0,584.0,636.0,556.0,545.0,568.0,587.0,729.0,794.0,801.0,875.0,968.0,981.0,894.0,955.0,1159.0,1343.0,1352.0,1415.0,1559.0,1478.0,1385.0,1438.0,1585.0,1451.0,1430.0,979.0,762.0,889.0,825.0,700.0,750.0,720.0,680.0,473.0,401.0,395.0,436.0,444.0,420.0,430.0,505.0,967.0,1011.0,1098.0,1049.0,1046.0,993.0,,,,,,,,,,,,,,,,,
Beer_Annual Production_CL,National,CL,Chile,Beer Production,Annual Production,thousand hectolitres,Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,430.0,430.0,,450.0,394.0,355.0,531.0,613.0,515.0,,412.0,418.0,508.0,552.0,371.0,367.0,392.0,444.0,578.0,623.0,699.0,619.0,675.0,781.0,726.0,635.0,664.0,642.0,684.0,790.0,852.0,880.0,920.0,915.0,914.0,1072.0,1240.0,1203.0,1332.0,1421.0,1416.0,1199.0,1118.0,1307.0,1199.0,1309.0,1253.0,1093.0,1649.0,1774.0,1761.0,1727.0,1563.0,1776.0,2192.0,2293.0,2058.0,1054.0,1833.0,1083.0,1361.0,1404.0,1591.0,1808.0,1904.0,1797.0,1760.0,1781.0,1892.0,2050.0,2548.0,2650.0,2765.0,2657.0,2788.0,3349.0,3631.0,3303.0,3551.0,3459.0,3640.0,3666.0,3343.0,3221.0,3374.0,3401.0,3490.0,,4754.0,4518.0,5501.0,,,,,,,,,,,,,,,,,,
Synthetic Filaments_Annual Production_ID,National,ID,Indonesia,Artificial and Synthetic Fibers,Annual Production,thousand metric tons,Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,8.0,36.0,54.0,61.0,68.0,95.0,101.0,140.0,155.0,181.0,188.0,210.0,240.0,254.0,227.0,332.0,308.0,375.0,412.0,429.0,437.0,409.0,432.0,445.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Synthetic Filaments_Annual Production_DD,National,DD,West Germany,Artificial and Synthetic Fibers,Annual Production,thousand metric tons,Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.8,28.7,103.0,129.0,163.0,185.0,144.0,175.0,196.0,229.0,243.0,258.0,228.0,262.0,282.0,296.0,337.0,373.0,422.0,456.0,493.0,496.0,622.0,715.0,723.0,785.0,801.0,980.0,940.0,767.0,915.0,847.0,881.0,924.0,879.0,913.0,844.0,908.0,934.0,963.0,951.0,983.0,997.0,105.0,116.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beer_Annual Production_RO,National,RO,Romania,Beer Production,Annual Production,thousand hectolitres,Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,20.0,20.0,24.0,18.0,18.0,24.0,28.0,23.0,26.0,30.0,,32.0,36.0,42.0,42.0,53.0,63.0,91.0,81.0,53.0,48.0,60.0,78.0,86.0,112.0,135.0,178.0,186.0,186.0,176.0,265.0,324.0,299.0,325.0,329.0,,,41.0,169.0,314.0,792.0,786.0,737.0,642.0,872.0,929.0,985.0,771.0,595.0,419.0,358.0,342.0,510.0,514.0,506.0,596.0,605.0,637.0,770.0,1274.0,1062.0,1003.0,,,,,418.0,,871.0,954.0,1184.0,1245.0,1362.0,1308.0,1312.0,1557.0,1512.0,1480.0,1633.0,1927.0,2128.0,2256.0,2384.0,2665.0,3028.0,3311.0,3511.0,3707.0,4375.0,4951.0,5051.0,5621.0,6480.0,7449.0,7625.0,7918.0,8980.0,9842.0,9897.0,9730.0,9911.0,9928.0,9845.0,9847.0,10603.0,10364.0,10655.0,11513.0,10527.0,9803.0,10014.0,9929.0,9047.0,8768.0,8118.0,7651.0,9989.0,11133.0,12664.0,12087.0,11602.0,13087.0,14159.0,14713.0,17554.0,18865.0,,,,,,,,,,,,,,,,,,
Sulphuric Acid_Annual Production_IT,National,IT,Italy,Sulphuric Acid,Annual Production,thousand metric tons,Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.0,72.0,96.0,111.0,129.0,139.0,165.0,230.0,235.0,252.0,263.0,278.0,302.0,365.0,425.0,524.0,590.0,645.0,596.0,635.0,645.0,630.0,626.0,,,624.0,365.0,352.0,420.0,485.0,767.0,632.0,800.0,823.0,820.0,704.0,835.0,831.0,633.0,562.0,678.0,774.0,804.0,957.0,1026.0,1076.0,1284.0,1255.0,1136.0,766.0,547.0,175.0,122.0,525.0,845.0,975.0,1160.0,1276.0,1460.0,1505.0,1601.0,1824.0,1943.0,2046.0,2064.0,2031.0,2145.0,2299.0,2446.0,2551.0,2711.0,2890.0,2979.0,3369.0,3524.0,3489.0,3465.0,3327.0,3097.0,3033.0,3036.0,3219.0,3006.0,2896.0,2946.0,2945.0,2955.0,2827.0,2544.0,2221.0,2540.0,2636.0,2724.0,2605.0,2724.0,2499.0,2212.0,2038.0,1853.0,1733.0,1430.0,1975.0,2161.0,2214.0,2214.0,2013.0,1017.0,1048.0,988.0,1043.0,1058.0,,,,,,,,,,,,,,,,,,,,,,
