Country Name,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Data Source,Technology Name,Spatial Scale,Metric,Unit,Country Code,ID
Brunei Darussalam,3470000.0,1697000.0,2586000.0,3280000.0,4000000.0,4000000.0,5555000.0,5507000.0,5349000.0,5336000.0,5072000.0,5001000.0,5055000.0,4689000.0,4322000.0,,ASEAN Stats Data Portal,Motorcycles,National,Cumulative Number of Units,-,BN,Motorcycles_Cumulative Number of Units_BN
Cambodia,188915000.0,275471000.0,236614000.0,218217000.0,233497000.0,244971000.0,303180000.0,342076000.0,464970000.0,381400000.0,502701000.0,540000000.0,370000000.0,432000000.0,467000000.0,310000000.0,ASEAN Stats Data Portal,Motorcycles,National,Cumulative Number of Units,-,KH,Motorcycles_Cumulative Number of Units_KH
Indonesia,,,,,,,,,,135000000.0,389000000.0,6528000000.0,5815000000.0,7174000000.0,5341000000.0,6479000000.0,ASEAN Stats Data Portal,Motorcycles,National,Cumulative Number of Units,-,ID,Motorcycles_Cumulative Number of Units_ID
Lao PDR,623310000.0,711800000.0,804187000.0,818340000.0,1005000000.0,1111960000.0,1218000000.0,1318000000.0,1413000000.0,1504000000.0,1593000000.0,1697381000.0,1766383000.0,1841618000.0,2299116000.0,,ASEAN Stats Data Portal,Motorcycles,National,Cumulative Number of Units,-,LA,Motorcycles_Cumulative Number of Units_LA
Malaysia,8487451000.0,8940230000.0,9441907000.0,9985308000.0,10589818000.0,11087878000.0,11629263000.0,12094790000.0,12677220000.0,13173069000.0,13725946000.0,14322226000.0,14891585000.0,15506689000.0,16225394000.0,16867912000.0,ASEAN Stats Data Portal,Motorcycles,National,Cumulative Number of Units,-,MY,Motorcycles_Cumulative Number of Units_MY
Myanmar,1609000000.0,1674000000.0,1881000000.0,1934000000.0,3153201000.0,3419000000.0,4162000000.0,4505000000.0,5122701000.0,5640070000.0,5997520000.0,6069300000.0,6330530000.0,6243040000.0,5814990000.0,,ASEAN Stats Data Portal,Motorcycles,National,Cumulative Number of Units,-,MM,Motorcycles_Cumulative Number of Units_MM
Philippines,2983000000.0,3201000000.0,3482149000.0,3881000000.0,4117000000.0,4251000000.0,4489000000.0,4623000000.0,5330000000.0,6174000000.0,7162000000.0,8014000000.0,7328116000.0,3577609000.0,8473000000.0,,ASEAN Stats Data Portal,Motorcycles,National,Cumulative Number of Units,-,PH,Motorcycles_Cumulative Number of Units_PH
Singapore,146000000.0,147000000.0,148000000.0,147000000.0,144000000.0,144000000.0,144000000.0,143000000.0,143000000.0,142000000.0,137000000.0,141000000.0,141000000.0,142000000.0,142000000.0,143000000.0,ASEAN Stats Data Portal,Motorcycles,National,Cumulative Number of Units,-,SG,Motorcycles_Cumulative Number of Units_SG
Thailand,16448526999.999998,16729447000.0,17322538000.0,18174922000.0,19169418000.0,19987190000.0,20327755000.0,20519498000.0,20497296000.0,20717645000.0,21099526000.0,21425044000.0,21588423000.0,21864326000.0,22300719000.0,22719693000.0,ASEAN Stats Data Portal,Motorcycles,National,Cumulative Number of Units,-,TH,Motorcycles_Cumulative Number of Units_TH
Viet Nam,25273000000.0,28195000000.0,31155000000.0,33774000000.0,36894000000.0,38643000000.0,41197000000.0,44128000000.0,47131000000.0,54063000000.0,58169432000.0,61728249000.0,72061323000.0,,,,ASEAN Stats Data Portal,Motorcycles,National,Cumulative Number of Units,-,VN,Motorcycles_Cumulative Number of Units_VN
