Country Name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Data Source,Technology Name,Spatial Scale,Metric,Unit,Country Code,ID
Belgium,,,,,,,,,,110000.0,113000.0,117000.0,122000.0,126000.0,129000.0,130000.0,130000.0,131000.0,131000.0,134000.0,139000.0,149000.0,162000.0,175000.0,187000.0,200000.0,212000.0,225000.0,241000.0,261000.0,278000.0,294000.0,306000.0,319000.0,322000.0,346000.0,360000.0,374000.0,388000.0,404000.0,419000.0,434000.0,441000.0,422164.0,430092.0,439422.0,448746.0,456284.0,466779.0,475640.0,490039.0,503974.0,515215.0,Eurostat,Motorcycles,National,Total Number,-,BE,Motorcycles_Total Number_BE
Bulgaria,246470.0,,,,,250870.0,,,,,221180.0,,,,,201881000.0,,,,,225533.0,226853.0,228334.0,230600.0,232400.0,233400.0,234950.0,236260.0,233952.0,235000.0,236300.0,238000.0,239600.0,243000.0,93000.0,98000.0,43000.0,51000.0,60000.0,67000.0,70000.0,74000.0,78000.0,82000.0,88035.0,93869.0,99797.0,105988.0,112388.0,118738.0,124311.0,129524.0,136919.0,Eurostat,Motorcycles,National,Total Number,-,BG,Motorcycles_Total Number_BG
Czechia,709000.0,,,,,574000.0,,,,,542000.0,,,,,465000.0,,,,,454000.0,,,400968.0,402882.0,404000.0,918200.0,929600.0,927000.0,800000.0,748100.0,755500.0,760000.0,752000.0,757000.0,794000.0,823000.0,860000.0,893000.0,903000.0,924000.0,944000.0,977000.0,977197.0,998816.0,1046467.0,1074880.0,1102392.0,1132085.0,1163140.0,1196354.0,1217894.0,1266945.0,Eurostat,Motorcycles,National,Total Number,-,CZ,Motorcycles_Total Number_CZ
Denmark,,,,,,,,,,35000.0,34000.0,35000.0,37000.0,39000.0,40000.0,41000.0,42000.0,42000.0,42000.0,43000.0,44000.0,45000.0,46000.0,47000.0,49000.0,52000.0,56000.0,60000.0,64000.0,69000.0,74000.0,78000.0,83000.0,,,,119000.0,133914.0,143546.0,,,,,150360.0,151542.0,153411.0,156311.0,158377.0,160823.0,162032.0,165527.0,168418.0,169237.0,Eurostat,Motorcycles,National,Total Number,-,DK,Motorcycles_Total Number_DK
Germany,229000.0,,,,,455000.0,,,,479000.0,572000.0,738000.0,970000.0,1166000.0,1300000.0,1365000.0,1380000.0,1367000.0,1353000.0,1363000.0,1400000.0,1468000.0,,1894000.0,2083000.0,2267000.0,2470000.0,2717000.0,2926000.0,3177000.0,3410000.0,3557000.0,3657000.0,3745000.0,3828000.0,3903000.0,3969000.0,3566000.0,3659000.0,3763000.0,3828000.0,3908000.0,3983000.0,4055000.0,4145000.0,4228000.0,4314493.0,4218982.0,4284918.0,4353128.0,4507485.0,4626490.0,4757613.0,Eurostat,Motorcycles,National,Total Number,-,DE,Motorcycles_Total Number_DE
Estonia,,,,,,,,,,,110800.0,,,,,,,,,,105700.0,100196.0,99952.0,97133.0,2200.0,3300.0,4680.0,5300.0,6100.0,6700.0,6700.0,6800.0,7200.0,8100.0,9000.0,10200.0,12600.0,14800.0,17600.0,18510.0,19540.0,21100.0,22800.0,24828.0,26975.0,,31255.0,32978.0,34629.0,36782.0,38707.0,40778.0,46095.0,Eurostat,Motorcycles,National,Total Number,-,EE,Motorcycles_Total Number_EE
Ireland,41000.0,,,,,36700.0,,,,,28000.0,,,,,26000.0,,,,,22744.0,24652.0,24649.0,23921.0,23632.0,23452.0,23847.0,24424.0,24398.0,26700.0,31000.0,33000.0,33000.0,35000.0,35000.0,34000.0,35000.0,37000.0,35640.0,36380.0,38140.0,34210.0,32870.0,34520.0,34520.0,34960.0,36010.0,37940.0,38260.0,40560.0,42980.0,44800.0,45430.0,Eurostat,Motorcycles,National,Total Number,-,IE,Motorcycles_Total Number_IE
Greece,,,,,,,,,,110000.0,120000.0,130000.0,146000.0,150000.0,155000.0,169000.0,179000.0,189000.0,198000.0,220000.0,257000.0,296000.0,340000.0,388000.0,429000.0,476000.0,518000.0,571000.0,634000.0,711000.0,781000.0,853000.0,911000.0,970000.0,1042605.0,1124172.0,1205816.0,1298688.0,1388607.0,1448851.0,1499133.0,1534902.0,1556435.0,1568596.0,1592929.0,1619621.0,1653528.0,1656657.0,1583491.0,1609923.0,1637608.0,1675804.0,1724438.0,Eurostat,Motorcycles,National,Total Number,-,GR,Motorcycles_Total Number_GR
Spain,,,,,,,,,,1204000.0,1231000.0,1257000.0,1283000.0,1310000.0,706000.0,739000.0,775000.0,821000.0,885000.0,976000.0,1073000.0,1174000.0,1252000.0,1279000.0,1288000.0,1301000.0,1308000.0,1326000.0,1361000.0,1404000.0,1446000.0,1483000.0,1517000.0,1514000.0,1612000.0,,2058000.0,2311000.0,2501000.0,2607000.0,2708000.0,2798000.0,2852000.0,2891000.0,2972165.0,3079463.0,3275077.0,3327048.0,3520005.0,3665480.0,3792477.0,3921516.0,4061665.0,Eurostat,Motorcycles,National,Total Number,-,ES,Motorcycles_Total Number_ES
France,,,,,,,,,,545000.0,625000.0,637000.0,650000.0,653000.0,645000.0,629000.0,618000.0,648000.0,,,,,847000.0,763000.0,744000.0,893000.0,738000.0,779000.0,839000.0,912000.0,968000.0,1019000.0,1054000.0,1091000.0,1131000.0,1177000.0,1248000.0,,,,,,,,,,,,,,,,,Eurostat,Motorcycles,National,Total Number,-,FR,Motorcycles_Total Number_FR
