ID,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Metric,Technology Name,Spatial Scale,Data Source,Unit,Country Name,Country Code
Onshore Wind Energy_Total Installed Cost_DK,4331.93259208227,4313.694129281475,4162.550672180934,3935.5034246223213,3537.5783830674222,3405.379712250563,3679.8038655596924,3642.5408239923945,3433.992520840205,3339.6480536879535,,2884.455395683269,2790.1110590561075,2714.793733764794,2677.4889242179975,2526.0216550765626,2393.5816583211554,2280.210179831986,1957.5410545406362,1901.2091031318319,1721.1274635050377,1900.9938675145713,2170.426048655066,,2799.1012249978317,,2664.6163999483497,2865.94297238941,2309.334213289354,2514.2136075961594,,2131.6931199593214,2131.6931199593214,1964.1141305276699,2134.1025970334204,2131.1279394325375,2131.1279394325375,,Total Installed Cost,Onshore Wind Energy,National,IRENA,2022 USD/kW,Denmark,DK
Onshore Wind Energy_Total Installed Cost_US,5552.220677243105,5485.179593324376,4875.715194066111,4753.822314214459,3512.9527973245476,3220.699980376659,3644.0388016165584,3510.5149397284563,,,,,,,2437.8575970330553,2315.964717181403,2069.741099880936,2049.616573156685,2026.9973690517334,1747.8171899726847,2130.742383882841,1843.667287252252,1897.2245142225584,2215.0774724991006,2557.613941961712,2678.902217387325,2684.0347580469784,2657.950732376115,2432.6786660164116,2250.882665280316,2135.4753687078482,2042.4006797362606,2087.8700977608432,1890.4281133619072,1843.2164910229585,1742.09673866951,1540.0768278048204,1478.130310270794,Total Installed Cost,Onshore Wind Energy,National,IRENA,2022 USD/kW,United States,US
Onshore Wind Energy_Total Installed Cost_DE,4331.93259208227,,,,,,3863.7940588379447,3824.667865191961,3605.6921468832315,3506.630456372993,3247.697740154047,2742.589796662188,2626.7915608034386,2602.412984832894,2712.1165766998092,2579.916769111914,2551.4730903614923,2517.6236944850402,2546.0012511961922,2520.1637570380094,2529.360352419191,2501.2310401642108,2453.341468248839,2446.584809607297,2640.39396140088,2590.197121479457,2547.373278350956,2547.373278350956,2314.2834934441694,2286.239663561825,2255.4860605436606,2213.4772114581574,2171.2776067722893,2170.9395386082424,2135.21319621227,1976.4416413634424,1967.5069167214103,1831.0688604761453,Total Installed Cost,Onshore Wind Energy,National,IRENA,2022 USD/kW,Germany,DE
Onshore Wind Energy_Total Installed Cost_SE,4331.93259208227,,,,,,3863.7940588379447,3824.667865191961,3605.6921468832315,3506.630456372993,3247.697740154047,3028.6781654675933,2929.61661200811,2850.53342045298,2811.363370429272,2652.322737830391,,2394.2206888238525,2376.9111571072294,1996.2695582891724,2406.165448272097,2376.9111571072294,2376.9111571072294,2401.680931649096,2620.6969168105347,2753.7959905469115,2611.844927478548,2402.89185577572,2613.7010429346815,2252.756033497898,2406.5344259147796,2151.8946896957254,1979.296649167831,1793.7658947349116,1431.5991153047585,1502.4774291245242,1505.3405334950853,1412.4106241509496,Total Installed Cost,Onshore Wind Energy,National,IRENA,2022 USD/kW,Sweden,SE
Onshore Wind Energy_Total Installed Cost_IT,,,,,,3575.6486978636794,,3824.667865191961,3605.6921468832315,3506.630456372993,3247.697740154047,3028.6781654675933,2929.61661200811,2850.53342045298,2811.363370429272,2652.322737830391,2513.2607412373736,2394.2206888238525,2303.7754291966658,2425.6683090483184,2256.5939401126484,2290.831747541499,2287.9180977736382,2428.9384632931788,2612.614865259967,3094.546370238636,2865.470257385865,3515.117923506831,3288.820949816936,2268.935739037711,2224.0664884911525,2380.409363753076,2005.894514778321,2870.222810582474,1971.9188458687938,1873.149294133316,1918.72676228549,1473.3563351555927,Total Installed Cost,Onshore Wind Energy,National,IRENA,2022 USD/kW,Italy,IT
Onshore Wind Energy_Total Installed Cost_GB,,,,,,3575.6486978636794,3863.7940588379447,3824.667865191961,3918.011536438828,3361.6504099367226,3247.697740154047,3028.6781654675933,2929.61661200811,2850.53342045298,2811.363370429272,2652.322737830391,2171.8403370761966,2250.4250733400154,2032.6851520766036,2425.6683090483184,3012.7846483327407,2435.2645255603893,2413.4790210625115,2394.832323083612,2693.8326447221684,1723.8009471934074,2492.616020073473,2646.3481628630975,2587.928525686531,2600.522074598899,2540.5802337858736,2502.5456846967336,2346.3404384748346,2370.1299903146128,2070.428925431467,2127.1204211019863,1928.2292994458674,2075.1511491795277,Total Installed Cost,Onshore Wind Energy,National,IRENA,2022 USD/kW,United Kingdom,GB
Onshore Wind Energy_Total Installed Cost_IN,,,,,,,4022.465035104542,4022.465035104542,3656.7863955495836,3656.7863955495836,3656.7863955495836,3413.0006358462783,3291.107755994625,3169.214876142972,3047.32199629132,2925.429116439667,2778.767273864686,2246.954379267267,2002.7556718974745,2300.3331767304244,2093.3198623489384,1795.8992105703535,2016.1658920431707,1812.0475667021453,1671.3413935700655,1411.3508734095662,1513.727623006186,1355.5139620526234,1626.7913645942062,1672.2808626881952,1587.7258404885736,1428.9083045158352,1314.4044102141456,1299.560254264878,1300.838930341047,1182.6250331563854,1150.9098926882702,990.5576906465056,Total Installed Cost,Onshore Wind Energy,National,IRENA,2022 USD/kW,India,IN
Onshore Wind Energy_Total Installed Cost_ES,,,,,,,3863.7940588379447,3824.667865191961,3605.6921468832315,3506.630456372993,3247.697740154047,3028.6781654675933,2929.61661200811,2850.53342045298,2811.363370429272,2652.322737830391,2513.2607412373736,2375.287191111313,2055.418107267989,1996.2695582891724,2118.7474314457318,2092.07317225524,2156.595451266113,2429.2985726732995,2378.4363136311363,2662.2023907199764,2747.5155768364116,2672.9063176375835,2344.8624319553605,2334.2039663549167,1966.139319034751,1859.0947862136081,1831.4536300468021,2010.1826243387566,2623.6857857118034,1740.482061200821,1365.806496732632,1253.3034271239858,Total Installed Cost,Onshore Wind Energy,National,IRENA,2022 USD/kW,Spain,ES
Onshore Wind Energy_Total Installed Cost_CA,,,,,,,3644.0388016165584,,3108.268436217146,,1612.8009992224906,,2323.2782899728873,,,2315.964717181403,2194.07183732975,1905.729881897185,2238.143007430217,1952.1576172614523,1978.3959368600651,1885.9969631624078,2234.1338419370272,2449.9229755499573,2477.711425090707,2483.125475971616,3021.0468211415823,2786.4051038544703,3035.5426179427955,2929.9423957372965,2740.347763061465,2830.7559730717053,2651.2574426156384,2327.587991031512,2082.030572254879,2725.853551787438,1562.1016710732176,1463.5149179152797,Total Installed Cost,Onshore Wind Energy,National,IRENA,2022 USD/kW,Canada,CA
Onshore Wind Energy_Total Installed Cost_FR,,,,,,,,3824.667865191961,,3506.630456372993,,,2929.61661200811,2850.53342045298,2811.363370429272,2652.322737830391,2009.753166140083,2394.2206888238525,2055.418107267989,1990.926851395739,2194.07183732975,2064.1049297100594,2194.5561148133893,2001.6847362135954,3012.192773309618,2659.7107073084667,2778.341154850429,2490.9879394728423,2260.347470778242,2130.3382987117243,2012.8686264220944,2007.6041602722692,1986.4375590527902,2262.804961098631,2185.478221680587,1979.4534998665374,1717.5688661691115,1902.6815684022577,Total Installed Cost,Onshore Wind Energy,National,IRENA,2022 USD/kW,France,FR
