Country Name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Data Source,Technology Name,Spatial Scale,Metric,Unit,Country Code
Belgium,58544.332878,,,,,76037.16927,,,,76394.457595,75651.91925,76623.122123,77891.961705,80000.273508,80046.87633300001,81902.91151,83314.666422,84054.097912,84627.001974,85404.337095,86106.486325,86477.444812,86973.920241,86973.920241,87467.288815,87929.588839,88312.974746,89002.075185,89581.81432800001,89968.928461,90359.149449,91024.016419,91527.326929,91969.12171,92472.43222,92972.635875,93511.98590300001,94028.966575,94344.001672,94516.121439,95347.515837,,,,,,,,,,,,,Eurostat,Public Roads,National,Total Length,miles,BE
Bulgaria,,,,,,,,,,,20132.4204,,,,,20878.0656,,,,,22772.625779,22775.732634,22776.975376,22778.218118,22763.305214,22644.623353,22621.632626,22977.678209,22954.687482,22968.357644,22976.435467,22970.843128,11776.223192,11766.902627,11771.873595000001,11779.330047,11793.000209,11810.398597,11816.612307,11816.612307,11817.855049,11839.603034,11843.952631,11851.409083,11879.370778,11879.992149,11906.711102,11884.963117,11879.992149,11861.351019,11875.021181,11879.992149,11878.749407,Eurostat,Public Roads,National,Total Length,miles,BG
Czechia,,,,,,,,,,,90409.4805,,,,,90409.4805,,,,,94181.20247,86991.94,80778.23,77239.522155,77547.1008,75518.324485,78049.168568,79043.362168,79035.28434500001,79058.896443,79043.98353900001,79044.60491,79040.876684,79446.010576,79460.92348,79455.952512,80698.073141,80682.538866,80704.908222,80721.685239,80739.083627,80726.034836,80706.150964,80718.57838400001,80710.50056100001,80703.66548,80438.707914632,80427.776756,80412.242481,80412.242481,80412.863852,80411.62111000001,80416.592078,Eurostat,Public Roads,National,Total Length,miles,CZ
Denmark,38946.291538,,,,,40881.240832,,,,42085.45783,42504.883255,42820.539723,42964.697795,43066.602639,43266.684101,43218.838534,43245.557487,43426.997819000004,43426.997819000004,,43603.467183,43663.118799,43709.721624,43722.149044,43781.179289,43822.189775,43809.140984,43857.607922,43861.957519,43930.308329,43937.14341,44065.767207,44080.680111,,,,44324.878914,44792.149906,44864.850313,,,,,45478.764861,45509.21204,45521.63946,45548.358413,45621.05882,45629.758014,45672.632613,45716.749954,45696.866082,45727.313261,Eurostat,Public Roads,National,Total Length,miles,DK
Germany,273603.321462,,,,,287572.362913,,,,295293.518959,296924.617834,298075.396926,299534.376034,300849.19707,301269.865237,300053.84219,300769.040211,301968.907612,303186.173401,304496.023469,305736.901356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eurostat,Public Roads,National,Total Length,miles,DE
Estonia,,,,,,,,,,,,,,,,,,,,,24854.84,24854.84,24854.84,27203.62238,27192.437702,27188.088105,27404.325213,27416.9390443,30699.3934889,31285.3463419,31887.082018300003,32276.7437724,32859.962593000004,33330.34044,33347.738828,35367.194578,35716.40508,35987.322836,36222.822445,36225.9293,36224.065187,36270.668012,36439.680924,36553.391817,36650.947064,36554.013188,36621.121256,36644.733354,36665.859968,36702.520857,36652.189806,55408.273441,55399.574247000004,Eurostat,Public Roads,National,Total Length,miles,EE
Ireland,,,,,,,,,,,,,,,,,,,,,57329.552573,57349.436445,56838.048112000004,56824.999321,56813.193272000004,57389.82556,57520.31347,59434.13615,59421.70873,59419.844617,59342.794613,59333.474048000004,59331.609935,59424.815585000004,59851.076091,59812.551089,59805.716008,59495.030508,59402.446229,59260.15227,59093.624842,59093.624842,59093.624842,59093.624842,59093.624842,60883.173322,60883.173322,60883.173322,60883.173322,60883.173322,60883.173322,63496.038377,63520.893217,Eurostat,Public Roads,National,Total Length,miles,IE
Greece,21907.677347,,,,,22668.856822,,,,23077.097569,23218.770157,23254.188304,23161.604025,23226.226609,24978.492829,25077.912189,25100.281545,25156.204935,25368.713817,25196.59405,25197.215421,25108.980739,25108.980739,23776.761315,23776.761315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eurostat,Public Roads,National,Total Length,miles,GR
Spain,76876.02012,,,,,81489.078424,,,,,86378.646823,,93113.065721,94172.503276,93217.456049,91561.502334,91715.602342,94721.79524,93950.673829,96744.979216,97084.869153,97494.974013,98266.716795,95221.377524,96746.843329,96719.503005,96191.337655,96340.466695,96314.990484,96235.454996,96006.790468,95832.806588,95939.6824,95870.088848,95942.789255,95824.107394,95856.418686,95068.520258,94186.173438,94140.191984,94153.240775,94046.364963,93761.155674,93441.77098,93973.043185,93620.104457,93229.88346900001,93307.554844,93230.50484,93048.593508782,93218.698791,93274.00081,,Eurostat,Public Roads,National,Total Length,miles,ES
France,486533.493,,,,,481430.794348,,,,484669.38,495232.687,495232.687,494692.09423,494692.09423,494692.09423,494819.475285,494771.008347,497963.612545,497813.240763,497837.474232,497888.426654,547651.54456,564355.861153,564336.598652,593565.269121,590984.0939870001,596864.749131,599403.0496660001,603391.008744,606021.893558,608527.26143,613301.876194,611510.463601,613679.669762,616400.032,,623345.095667,631452.744475,631778.342879,640018.34371,645433.591975,645669.712955,654887.130369,665481.287196408,665262.234656407,669539.266086914,677397.5524989039,678495.6331163939,678650.155035303,678795.508003736,680002.2191849301,679425.619208222,677331.027276902,Eurostat,Public Roads,National,Total Length,miles,FR
