ID,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Metric,Technology Name,Spatial Scale,Data Source,Unit,Country Name,Country Code
Solar Photovoltaic_Total Installed Cost_AU,7747.1759397701735,7600.8416519623415,5505.558573932023,3231.4239368705094,3372.861447399192,2508.008944635056,2159.4593016925046,2210.4670547922983,1704.4790339098781,1398.9499723138701,1175.3977829997616,1094.4050779991492,Total Installed Cost,Solar Photovoltaic,National,IRENA,2022 USD/kW,Australia,AU
Solar Photovoltaic_Total Installed Cost_CN,4061.050315983694,3814.6111555080715,3075.663473372044,2374.106474485112,1977.8215349051766,1528.1074352603493,1383.2730667369065,1297.716807928212,986.3052916396997,891.1112210056813,721.2381590936911,671.981088755211,Total Installed Cost,Solar Photovoltaic,National,IRENA,2022 USD/kW,China,CN
Solar Photovoltaic_Total Installed Cost_FR,6135.443146571546,6272.431212801401,5547.507480123496,3639.854054093295,2657.125520708948,1748.9729066880575,1480.3424444160355,1390.947513706946,1204.4408335441924,1098.0596311392444,1044.4694703953066,864.5880439256076,Total Installed Cost,Solar Photovoltaic,National,IRENA,2022 USD/kW,France,FR
Solar Photovoltaic_Total Installed Cost_DE,4155.584704105185,3305.1751440447956,2626.153002418878,2251.1574946675405,1794.6865438989307,1435.3507996386115,1303.0886704893385,1249.6057554985166,1248.4175835114718,1008.0459482772584,775.4075494411263,741.9335569813403,Total Installed Cost,Solar Photovoltaic,National,IRENA,2022 USD/kW,Germany,DE
Solar Photovoltaic_Total Installed Cost_IN,5665.635843326205,3490.401089491567,3062.1296125018084,3151.9664687048544,2139.1225031130834,1457.669211580962,1254.6971827269306,1251.2321992293478,888.9151995050303,693.4797321667721,660.4792793130891,630.7071793326871,Total Installed Cost,Solar Photovoltaic,National,IRENA,2022 USD/kW,India,IN
Solar Photovoltaic_Total Installed Cost_IT,5809.281632639451,5444.363438407999,2883.2998478531354,2283.0996918865026,2211.712846457184,,,1090.5076868174683,976.1150736114212,931.106621432325,865.3254639348099,839.6091122008238,Total Installed Cost,Solar Photovoltaic,National,IRENA,2022 USD/kW,Italy,IT
Solar Photovoltaic_Total Installed Cost_JP,,6091.443119615843,4394.769620705858,3754.7502616908905,3442.0838005114465,2490.7522333040256,2732.964880089605,2479.0740217381303,2356.5872430532977,2321.687124494545,2030.5805727148797,1811.3774616154085,Total Installed Cost,Solar Photovoltaic,National,IRENA,2022 USD/kW,Japan,JP
Solar Photovoltaic_Total Installed Cost_NL,,,,,,,1286.4115776064748,1736.0167948299154,1309.957659061254,1257.6795452246797,1204.4679890654488,1093.414701605332,Total Installed Cost,Solar Photovoltaic,National,IRENA,2022 USD/kW,Netherlands,NL
Solar Photovoltaic_Total Installed Cost_KR,10085.963706049233,6619.364118662913,2568.958486526972,2986.4783457150143,2480.1567851585423,2345.7137920731097,2314.8686207318274,1773.4816515117998,1487.2221629098178,1404.2918448527926,1051.6070362513028,1006.0345266737702,Total Installed Cost,Solar Photovoltaic,National,IRENA,2022 USD/kW,Republic of Korea,KR
Solar Photovoltaic_Total Installed Cost_ES,5240.029789538789,3660.407489805649,3015.1140333207873,2590.733524191702,2597.731412117226,1339.9829693869303,,,,859.5099648887885,843.8801105639881,872.7858318013485,Total Installed Cost,Solar Photovoltaic,National,IRENA,2022 USD/kW,Spain,ES
Solar Photovoltaic_Total Installed Cost_TR,,,,,,,1756.9440118211285,1409.2057158140174,1352.35785255074,1033.0952614977573,916.3256741447075,866.5228763666946,Total Installed Cost,Solar Photovoltaic,National,IRENA,2022 USD/kW,Türkiye,TR
Solar Photovoltaic_Total Installed Cost_UA,,5520.334362848978,,4500.241031024749,,,,1374.1943060503115,1507.1025423891713,976.8867825589591,948.0850039002008,1107.1801463240624,Total Installed Cost,Solar Photovoltaic,National,IRENA,2022 USD/kW,Ukraine,UA
Solar Photovoltaic_Total Installed Cost_GB,6631.9341509838405,5271.25156418387,3118.901350937553,2586.1692240169837,2179.4646894031694,1714.937817134771,1642.7120435768065,1420.943527858612,1527.6192467861194,1141.2910901709208,937.2272398944112,907.1815204415474,Total Installed Cost,Solar Photovoltaic,National,IRENA,2022 USD/kW,United Kingdom,GB
Solar Photovoltaic_Total Installed Cost_US,5140.745509007114,5036.267072103241,4953.790839820674,4390.622876043572,3236.399633625042,2883.9161286080925,2491.1399485421452,2100.5620307964623,1736.904732006153,1369.0501571964744,1226.796173038142,1161.2354472262132,Total Installed Cost,Solar Photovoltaic,National,IRENA,2022 USD/kW,United States,US
Solar Photovoltaic_Total Installed Cost_VN,,,,,,,2523.044478808875,3217.9898884011327,,1182.7610327561506,1052.0010446518534,738.5588203926059,Total Installed Cost,Solar Photovoltaic,National,IRENA,2022 USD/kW,Viet Nam,VN
