ID,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Metric,Technology Name,Spatial Scale,Data Source,Unit,Country Name,Country Code
Solar Photovoltaic_Levelized Cost of Energy_AU,0.4535409439180815,0.46074565118918837,0.2792452658529237,0.1606350413564484,0.13224787379124783,0.11405217202498819,0.08775300536339954,0.09620306363300005,0.07923815793526294,0.07564209133910177,0.05730157858264515,0.045235852016057086,Levelized Cost of Energy,Solar Photovoltaic,National,IRENA,2022 USD/kWh,Australia,AU
Solar Photovoltaic_Levelized Cost of Energy_CN,0.3298692786027848,0.28849498972388876,0.2117329799963255,0.1662742150646144,0.12430158262062674,0.09261272634140359,0.08033548135890038,0.07034349164392142,0.053933065746713846,0.0499839756041065,0.04266221722131996,0.03658457655377706,Levelized Cost of Energy,Solar Photovoltaic,National,IRENA,2022 USD/kWh,China,CN
Solar Photovoltaic_Levelized Cost of Energy_FR,0.4238741393572228,0.4305765707149882,0.43784449715706086,0.26025627498993337,0.17358764391235723,0.12216921940590902,0.09631041089456427,0.08641446388062313,0.07303955104246393,0.06710141904836842,0.05935743968169238,0.05282504227120544,Levelized Cost of Energy,Solar Photovoltaic,National,IRENA,2022 USD/kWh,France,FR
Solar Photovoltaic_Levelized Cost of Energy_DE,0.4027769827823437,0.3410045694189886,0.27533459472969113,0.21801551294015253,0.1611059995547313,0.1286729272258775,0.11297840663798024,0.1031076067936396,0.09889782137989186,0.08182314897739808,0.0705223388194645,0.06476535183366197,Levelized Cost of Energy,Solar Photovoltaic,National,IRENA,2022 USD/kWh,Germany,DE
Solar Photovoltaic_Levelized Cost of Energy_IN,0.3768669589639218,0.23982231469747736,0.2040243397809315,0.20354910854221214,0.132847524770677,0.08712993786695519,0.08214695632400666,0.07501161895888384,0.054545551963776216,0.04324750455921,0.04104116043525912,0.0371663515269917,Levelized Cost of Energy,Solar Photovoltaic,National,IRENA,2022 USD/kWh,India,IN
Solar Photovoltaic_Levelized Cost of Energy_IT,0.4488104843914132,0.42245967593550465,0.21543057872148183,0.19055791710997363,0.1570079379847858,,,0.07785138574460063,0.06822572222762954,0.06306434166402036,0.05944891584116996,0.05424818517714479,Levelized Cost of Energy,Solar Photovoltaic,National,IRENA,2022 USD/kWh,Italy,IT
Solar Photovoltaic_Levelized Cost of Energy_JP,,0.46934116215363364,0.33578106846304406,0.2786523310962291,0.24695102239146574,0.1767441808382509,0.17767164195203414,0.1404088842944805,0.12987690160123755,0.11935834639773524,0.11143427462927065,0.09251386260245878,Levelized Cost of Energy,Solar Photovoltaic,National,IRENA,2022 USD/kWh,Japan,JP
Solar Photovoltaic_Levelized Cost of Energy_NL,,,,,,,0.12773095481346586,0.14214324379616533,0.10831078968280744,0.10337762298266803,0.09766904598673216,0.08355644249106554,Levelized Cost of Energy,Solar Photovoltaic,National,IRENA,2022 USD/kWh,Netherlands,NL
Solar Photovoltaic_Levelized Cost of Energy_KR,0.48247107397707745,0.5050670898823637,0.2038761330619413,0.24098947198243637,0.18576393449161002,0.17074876831710026,0.16363805885230534,0.11037834072854823,0.09098891807211981,0.08359378452395433,0.06378555634296401,0.05968528340900703,Levelized Cost of Energy,Solar Photovoltaic,National,IRENA,2022 USD/kWh,Republic of Korea,KR
Solar Photovoltaic_Levelized Cost of Energy_ES,0.34877967425809103,0.24292582850510483,0.19598829965619363,0.14985196756081484,0.14404202349314682,0.08437626402435343,,,,0.05374550852630464,0.049252932202827955,0.05111502676025978,Levelized Cost of Energy,Solar Photovoltaic,National,IRENA,2022 USD/kWh,Spain,ES
Solar Photovoltaic_Levelized Cost of Energy_TR,,,,,,,0.13538765262380606,0.12887004048712167,0.10256532044168615,0.09314064804839532,0.07173067987090388,0.0684923190397646,Levelized Cost of Energy,Solar Photovoltaic,National,IRENA,2022 USD/kWh,Türkiye,TR
Solar Photovoltaic_Levelized Cost of Energy_UA,,0.5550554700490693,,0.4319068824031053,,,,0.14518981210835974,0.14858217472253907,0.10213655457628727,0.09982534643108039,0.12491514611961191,Levelized Cost of Energy,Solar Photovoltaic,National,IRENA,2022 USD/kWh,Ukraine,UA
Solar Photovoltaic_Levelized Cost of Energy_GB,0.5712717149800682,0.5271117846838347,0.3102745379832127,0.2511458062730545,0.20554161639160548,0.16014431458535058,0.15167739214078227,0.1244683732887142,0.12641520406767637,0.09430456893496744,0.08003254604483431,0.07376915622950558,Levelized Cost of Energy,Solar Photovoltaic,National,IRENA,2022 USD/kWh,United Kingdom,GB
Solar Photovoltaic_Levelized Cost of Energy_US,0.2361207136524427,0.2810525327881119,0.24303747262975506,0.24217580328061816,0.16583373708563529,0.15341357616450763,0.13942682306971918,0.10143172016344183,0.07882216169136734,0.06643282266855889,0.06425185100327718,0.05915158940033827,Levelized Cost of Energy,Solar Photovoltaic,National,IRENA,2022 USD/kWh,United States,US
Solar Photovoltaic_Levelized Cost of Energy_VN,,,,,,,0.18849538798740428,0.2720067982230177,,0.07881847363640163,0.07038280596289648,0.048961098063381114,Levelized Cost of Energy,Solar Photovoltaic,National,IRENA,2022 USD/kWh,Viet Nam,VN
