Country Name,Technology Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Data Source,Unit,Metric,Country Code,Spatial Scale,ID
World,Aquaculture Production,2047815.0,1955924.0,2031135.0,2278131.0,2464211.0,2664490.0,2878194.0,2996726.0,3172722.0,3353912.0,3607571.0,4058721.0,4435236.0,4605380.0,5054032.0,5333828.0,5509795.0,6501285.5,6862791.0,6947785.0,7604596.0,7986865.0,8356278.0,9236094.5,10330986.45,11476786.66,12672402.09,13905034.23,15878678.96,16933265.060000002,17244868.04,18903686.6,22057053.89,25526788.049999997,28915410.0,32365967.2,35098898.129999995,35591912.7,37721636.1,41004304.61,43012663.75,45557275.72,48672234.76,51533393.120000005,55811023.099999994,59155618.71,62950523.120000005,66320808.769999996,70216715.73,73845170.32,77993683.31,81623172.05,88183649.43,94952730.05000001,99626234.79,104003294.61000001,108215372.44,112236485.78000002,115911560.78,119799127.67000003,122580059.71,,World Bank,metric tons,Annual production,World,Global,Aquaculture Production_Annual production_World
Afghanistan,Aquaculture Production,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,450.0,450.0,450.0,450.0,450.0,450.0,1050.0,1050.0,1650.0,2250.0,2850.0,3480.0,4110.0,4760.0,5450.0,6150.0,7000.0,7950.0,8000.0,8050.0,,World Bank,metric tons,Annual production,AF,National,Aquaculture Production_Annual production_AF
Albania,Aquaculture Production,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,45.0,85.0,123.0,164.0,193.0,260.0,339.0,455.0,699.0,1162.0,1197.0,1208.0,2165.0,2368.0,3732.0,2604.0,4961.0,859.0,397.0,389.0,395.0,340.0,323.0,97.0,124.0,310.0,307.0,286.0,860.0,1473.0,1569.0,1473.0,2057.0,2092.0,2000.0,2317.0,2720.0,2545.0,3650.0,3900.0,4200.0,3695.0,4950.0,4630.0,6458.0,6500.0,9284.0,,World Bank,metric tons,Annual production,AL,National,Aquaculture Production_Annual production_AL
Algeria,Aquaculture Production,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,95.0,141.0,250.0,274.0,304.0,368.0,407.0,150.0,147.0,300.0,389.0,369.0,322.0,322.0,283.0,250.0,351.0,454.0,476.0,417.0,586.0,368.0,288.0,405.0,2779.91,2163.23,1758.75,2245.77,2644.0,2192.75,2479.89,1332.29,1959.59,4467.31,5108.42,4835.47,5435.99,,World Bank,metric tons,Annual production,DZ,National,Aquaculture Production_Annual production_DZ
American Samoa,Aquaculture Production,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,10.0,10.0,10.0,10.0,10.0,18.0,18.0,18.0,18.0,18.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,,World Bank,metric tons,Annual production,AS,National,Aquaculture Production_Annual production_AS
Angola,Aquaculture Production,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,11.0,51.0,72.0,92.0,126.0,156.0,190.0,190.0,260.0,310.0,310.0,310.0,57.0,305.0,872.0,655.0,1339.0,1762.0,1934.0,2062.0,,World Bank,metric tons,Annual production,AO,National,Aquaculture Production_Annual production_AO
Antigua and Barbuda,Aquaculture Production,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,8.0,8.0,8.0,12.0,18.0,19.0,21.0,20.0,20.0,20.0,20.0,20.0,20.0,,World Bank,metric tons,Annual production,AG,National,Aquaculture Production_Annual production_AG
Argentina,Aquaculture Production,0.0,0.0,1.0,2.0,4.0,5.0,5.0,8.0,11.0,15.0,19.0,23.0,27.0,31.0,36.0,42.0,49.0,57.0,67.0,78.0,90.0,105.0,123.0,143.0,150.0,270.0,270.0,353.0,353.0,300.0,300.0,350.0,402.0,707.0,763.0,1474.0,1322.0,1314.0,1040.0,1218.0,1784.0,1340.0,1457.0,1647.0,1848.0,2057.0,2528.0,2957.0,2700.0,2582.95,2654.35,3193.25,2958.42,3825.12,4002.71,3662.65,3673.48,3567.76,3205.31,2592.19,2084.5,,World Bank,metric tons,Annual production,AR,National,Aquaculture Production_Annual production_AR
Armenia,Aquaculture Production,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4598.0,4604.0,5057.0,2637.0,2565.0,2250.0,1570.0,1120.0,650.0,670.0,437.0,889.0,893.0,1331.0,1020.0,1064.0,813.0,739.0,1056.0,3650.0,5100.0,5240.0,5000.0,6300.0,8850.0,11700.0,13925.0,15130.0,16381.0,16690.0,17000.0,17560.0,18350.0,,World Bank,metric tons,Annual production,AM,National,Aquaculture Production_Annual production_AM
Aruba,Aquaculture Production,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.5,1.5,,World Bank,metric tons,Annual production,AW,National,Aquaculture Production_Annual production_AW
