,ID,technology,country,Country Name,Exponential Fit,exponential goodness,Logistic Fit,Logistic Inflection Year,logistic goodness,Gompertz Fit,gompertz goodness,Delta T Wilson Fit,Vintage,Number of Points,lendingrate_Average,rdspending_Average,goodsservices_Average,oresmetals_Average,fdi_Average,hightech_Average,polity_Average,direction_scitech_Average,easier_scitech_Average,gdppc_Average,Capacity_Average,gee_Average,regime_Mode,IncomeGroup_Mode,WTO_Mode,OECD_Mode,IncomeGroup,dem,Log_GDPavg,Material Use Numerical,Final Material Use,Year of Invention,Year of First Embodiment of Tech,FirstCommercialYr,Need for Customization,Complexity,Type of Adopter,Granularity Numerical,Granularity,Average lifetime,Technology Lifetime,Strict replacement,Broad replacement,Feedstock,Category Type,Patent Category Name,Metric,Unit,First Year of Data,Country_Timing
0,Beer_Annual Production_GB,Beer Production,GBR,UK,err,,0.2918319500873288,1875.207966104338,0.899740088949368,0.2842535756459211,0.8997270365532565,15.058149573264437,1750,202,,,,,,,0.5657894736842105,,,3663.873015873016,,,,,,,err,Not Democracy,8.206276067953548,0.156463688,Medium Material Use,,,n/d,Mass-customized [2],Design-Intensive [2],Individuals [2],Expensive,Low,14.0,Years,No,No,No,Food and Health,Human Necessities,Annual Production,thousand hectolitres,1750,Early
2840,Canals_Total Length_US,Canals,USA,United States,0.11887180067259656,-1.1710782283816504e+166,0.17962192100817034,1843.27072337913,0.997530054102064,0.0942741308772172,0.9980461806964528,24.464993637789632,1794,68,,,,,,,6.84,,,2917.1432727272727,,,,,,,err,Democracy,7.978360085126159,,High Material Use,n/d,,n/d,Customized [3],Complex [3],Firms [1],1460317460,Low,,,No,No,,Transportation,Fixed Constructions,Cumulative Calculation,miles,1794,NaN
147,Steamships_Total Number_GB,Steamships,GBR,United Kingdom,0.1079936754714811,-6.952036802672208e+154,0.05653677146617124,1914.6773313076365,0.99967018820204,0.019834199072572917,0.9991721011601408,77.7272744925284,1814,125,,,,,,,3.4313725490196076,,,5386.1274509803925,,,,,,,err,Not Democracy,8.591581936474489,3.986446951,High Material Use,1707,1776,1807,Standardized [1],Design-Intensive [2],Firms [1],1183350,Low,30.0,Decades,Yes,Yes,Yes,Transportation,Performing Operations; Transporting,Cumulative Calculation,-,1814,Early
86,Beer_Annual Production_DE,Beer Production,DEU,Germany,0.0027614229908811583,0.7985726262826245,2.3265675573839935,1980.976949742185,-0.5717411059920832,2.4403030992042876,-0.5717411059949213,1.8888121863151843,1819,140,,,,,,,,,,7813.307692307692,,,0.0,,,,err,,8.96358367331622,0.156463688,Medium Material Use,,,n/d,Mass-customized [2],Design-Intensive [2],Individuals [2],Expensive,Low,14.0,Years,No,No,No,Food and Health,Human Necessities,Annual Production,thousand hectolitres,1819,Late
13,Railroad_Total Length_GB,Railroad,GBR,United Kingdom,0.03412894958864377,-1.126598896904458e+31,0.1263874362716133,1857.375853419176,0.7502974668954947,0.09239952478887267,0.7476791464954577,34.76966765295037,1825,168,,,,,,,1.181818181818182,,,4065.727272727273,,,,,,,err,Not Democracy,8.310347916859286,0.081088492,Low Material Use,,,1825,Customized [3],Design-Intensive [2],Firms [1],29520,Low,55.0,Decades,No,Yes,Yes,Infrastructure,Fixed Constructions,Total Length,kilometers,1825,Early
2,Railroad_Total Length_FR,Railroad,FRA,France,0.043827731269681314,-5.492535568395406e+46,0.1069184437466387,1873.2535682095772,0.9687311979144312,0.07509555132421417,0.9633620652226134,41.10094573660115,1828,173,,,,,,,-2.9210526315789473,,,2570.9347826086955,,,,,,,err,Not Democracy,7.852024840397555,0.081088492,Low Material Use,,,1825,Customized [3],Design-Intensive [2],Firms [1],29520,Low,55.0,Decades,No,Yes,Yes,Infrastructure,Fixed Constructions,Total Length,kilometers,1828,Late
26,Postal Traffic_Total Number_FR,Postal Traffic,FRA,France,0.053542850634388225,-3.9472896057242957e+64,0.030995773985599658,1993.1379196882299,0.9937201518177072,0.007432444749318455,0.9961330162892958,141.77575164646828,1830,164,,,18.219128485294117,5.413585171875,3263029560.127757,,5.36986301369863,,,7986.416025609757,1.5868823529411764,,1.0,,,,H,Not Democracy,8.985497380632664,,Medium Material Use,,,1830,Customized [3],Complex [3],Both [3],Expensive,Low,,Years,No,No,Yes,Infrastructure,Performing Operations; Transporting,Cumulative Calculation,Number (millions),1830,Early
16,Railroad_Total Length_US,Railroad,USA,United States,0.05313123670140176,-4.318556804151699e+65,-0.4885457411556947,2000.5006099887487,0.0001096947745065,-0.486328137422208,0.0001092034960125,-8.994959498115799,1830,166,8.291130911904762,2.5434316666666668,9.83639945,5.182301435897436,-6569656250.0,,9.095808383233534,,,13644.919168604652,1.5854047619047615,1.6494448333333331,2.0,,,,H,Democracy,9.521122509241026,0.081088492,Low Material Use,,,1825,Customized [3],Design-Intensive [2],Firms [1],29520,Low,55.0,Decades,No,Yes,Yes,Infrastructure,Fixed Constructions,Total Length,kilometers,1830,Late
67,Postal Traffic_Total Number_AT,Postal Traffic,AUT,Austria,0.05603704708079187,-1.555604696479654e+70,0.031157553116023445,1957.904611570121,0.964597107513883,0.013404817485544507,0.974039388329548,141.03961046968413,1830,164,,,,,,,-2.440677966101695,,,4689.89247311828,,,1.0,,,,err,Not Democracy,8.45316493433705,,Medium Material Use,,,1830,Customized [3],Complex [3],Both [3],Expensive,Low,,Years,No,No,Yes,Infrastructure,Performing Operations; Transporting,Cumulative Calculation,Number (millions),1830,Early
9,Beer_Annual Production_BE,Beer Production,BEL,Belgium,err,,0.04633851756215564,1854.1426180566486,0.572217330989762,0.032325421003388755,0.56237980233579,94.83361544266054,1831,171,,,,,,,-1.3333333333333333,,,2955.777777777778,,,,,,,err,Not Democracy,7.991517102577022,0.156463688,Medium Material Use,,,n/d,Mass-customized [2],Design-Intensive [2],Individuals [2],Expensive,Low,14.0,Years,No,No,No,Food and Health,Human Necessities,Annual Production,thousand hectolitres,1831,Late
