,ID,technology,country,Country Name,Exponential Fit,exponential goodness,Logistic Fit,Logistic Inflection Year,logistic goodness,Gompertz Fit,gompertz goodness,Delta T Wilson Fit,Vintage,Number of Points,lendingrate_Average,rdspending_Average,goodsservices_Average,oresmetals_Average,fdi_Average,hightech_Average,polity_Average,direction_scitech_Average,easier_scitech_Average,gdppc_Average,Capacity_Average,gee_Average,regime_Mode,IncomeGroup_Mode,WTO_Mode,OECD_Mode,IncomeGroup,dem,Log_GDPavg,Material Use Numerical,Final Material Use,Year of Invention,Year of First Embodiment of Tech,FirstCommercialYr,Need for Customization,Complexity,Type of Adopter,Granularity Numerical,Granularity,Average lifetime,Technology Lifetime,Strict replacement,Broad replacement,Feedstock,Category Type,Patent Category Name,Metric,Unit
0,Beer_Annual Production_GB,Beer Production,GBR,UK,err,,0.29183195,1875.207966,0.899740089,0.284253576,0.899727037,15.05814957,1750,202,,,,,,,0.565789474,,,3663.873016,,,,,,,err,Not Democracy,8.206276068,0.156463688,Medium Material Use,,,n/d,Mass-customized [2],Design-Intensive [2],Individuals [2],Expensive,Low,14,Years,No,No,No,Food and Health,Human Necessities,Annual Production,thousand hectolitres
1,Railroad_Total Length_FI,Railroad,FIN,Finland,0.028805244,-1.50E+22,0.063036299,1904.297749,0.972187936,0.040436479,0.977053084,69.71299455,1861,140,,,,,,,,,,2023.75,,,,,,,err,,7.612707505,0.081088492,Low Material Use,,,1825,Customized [3],Design-Intensive [2],Firms [1],29520,Low,55,Decades,No,Yes,Yes,Infrastructure,Fixed Constructions,Total Length,kilometers
2,Railroad_Total Length_FR,Railroad,FRA,France,0.043827731,-5.49E+46,0.106918444,1873.253568,0.968731198,0.075095551,0.963362065,41.10094574,1828,173,,,,,,,-2.921052632,,,2570.934783,,,,,,,err,Not Democracy,7.85202484,0.081088492,Low Material Use,,,1825,Customized [3],Design-Intensive [2],Firms [1],29520,Low,55,Decades,No,Yes,Yes,Infrastructure,Fixed Constructions,Total Length,kilometers
3,Railroad_Total Length_NO,Railroad,NOR,Norway,0.027928339,-3.4566E+15,0.068133372,1899.852071,0.988064352,0.045182188,0.985060556,64.49774983,1854,147,,,,,,,-3.723404255,,,2411.531915,,,,,,,err,Not Democracy,7.788017474,0.081088492,Low Material Use,,,1825,Customized [3],Design-Intensive [2],Firms [1],29520,Low,55,Decades,No,Yes,Yes,Infrastructure,Fixed Constructions,Total Length,kilometers
4,Railroad_Total Length_DK,Railroad,DNK,Denmark,0.028239484,-2.67E+17,0.105077098,1886.324026,0.731164716,0.079034268,0.721582384,41.82118888,1847,153,,,,,,,-0.975,,,3068.875,,,,,,,err,Not Democracy,8.029066324,0.081088492,Low Material Use,,,1825,Customized [3],Design-Intensive [2],Firms [1],29520,Low,55,Decades,No,Yes,Yes,Infrastructure,Fixed Constructions,Total Length,kilometers
5,Railroad_Total Length_SE,Railroad,SWE,Sweden,0.036591562,-8.62E+34,-1.674461733,2026.651554,1.11E-16,-1.984765211,1.11E-16,-2.624395093,1856,144,7.36083556,3.353141429,31.2251097,4.114445992,4116329760,16.905136,5.241830065,7.2700985,7.05011985,13612.81962,2.31075,1.852482413,0,,,,H,Not Democracy,9.518767247,0.081088492,Low Material Use,,,1825,Customized [3],Design-Intensive [2],Firms [1],29520,Low,55,Decades,No,Yes,Yes,Infrastructure,Fixed Constructions,Total Length,kilometers
6,Radio_Total Number_RU,Radio,RUS,Russia,0.152210216,-3.37E+239,0.110070897,1981.374891,0.998349409,0.046712426,0.997524023,39.92380614,1928,72,,,,,,,,,,9210.727273,,,3,,,,err,,9.128124092,0.027719511,Low Material Use,1888,1906,1910,Standardized [1],Simple [1],Individuals [2],139.7624039,High,10,Years,No,Yes,No,Appliances,Human Necessities,Cumulative Calculation,-
7,Railroad_Total Length_IT,Railroad,ITA,Italy,0.04840545,-5.33E+55,0.08383089,1882.340234,0.982537887,0.057933194,0.980300406,52.42040431,1839,159,,,,,,,-4,,,2653.022284,,,,,,,err,Not Democracy,7.883454754,0.081088492,Low Material Use,,,1825,Customized [3],Design-Intensive [2],Firms [1],29520,Low,55,Decades,No,Yes,Yes,Infrastructure,Fixed Constructions,Total Length,kilometers
8,Railroad_Total Length_PT,Railroad,PRT,Portugal,0.029754496,-3.91E+21,-1.804263452,2086.670978,0,0.050227216,0.969088199,-2.435591737,1854,143,,1.0842484,34.80975991,2.948640174,-2051288195,5.757776387,-0.981012658,,,7648.51346,1.287832143,1.080734139,1,,,,H,Not Democracy,8.942266589,0.081088492,Low Material Use,,,1825,Customized [3],Design-Intensive [2],Firms [1],29520,Low,55,Decades,No,Yes,Yes,Infrastructure,Fixed Constructions,Total Length,kilometers
9,Beer_Annual Production_BE,Beer Production,BEL,Belgium,err,,0.046338518,1854.142618,0.572217331,0.032325421,0.562379802,94.83361544,1831,171,,,,,,,-1.333333333,,,2955.777778,,,,,,,err,Not Democracy,7.991517103,0.156463688,Medium Material Use,,,n/d,Mass-customized [2],Design-Intensive [2],Individuals [2],Expensive,Low,14,Years,No,No,No,Food and Health,Human Necessities,Annual Production,thousand hectolitres
10,Radio_Total Number_SE,Radio,SWE,Sweden,0.143796005,-1.01E+224,0.069674873,1990.953684,0.998223211,0.019511872,0.999342149,63.07078785,1923,77,,,24.92834578,5.047568493,1999895511,,10,,,14682.47876,2.22221875,,0,,,,H,Democracy,9.594410141,0.027719511,Low Material Use,1888,1906,1910,Standardized [1],Simple [1],Individuals [2],139.7624039,High,10,Years,No,Yes,No,Appliances,Human Necessities,Cumulative Calculation,-
11,Railroad_Total Length_ES,Railroad,ESP,Spain,0.041876191,-2.13E+44,0.079963388,1882.959133,0.973798839,-1.990164889,0,54.95576511,1848,145,,,,,,,-2.677419355,,,2049.588235,,,,,,,err,Not Democracy,7.625394191,0.081088492,Low Material Use,,,1825,Customized [3],Design-Intensive [2],Firms [1],29520,Low,55,Decades,No,Yes,Yes,Infrastructure,Fixed Constructions,Total Length,kilometers
12,Radio_Total Number_CH,Radio,CHE,Switzerland,0.119321198,-9.47E+181,0.078424549,1984.803449,0.996820983,0.027823651,0.99927354,56.03410176,1925,75,,,45.65802183,4.012130329,1172375961,,10,,,16246.66138,1.453261538,,2,,,,err,Democracy,9.695642713,0.027719511,Low Material Use,1888,1906,1910,Standardized [1],Simple [1],Individuals [2],139.7624039,High,10,Years,No,Yes,No,Appliances,Human Necessities,Cumulative Calculation,-
13,Railroad_Total Length_GB,Railroad,GBR,United Kingdom,0.03412895,-1.13E+31,0.126387436,1857.375853,0.750297467,0.092399525,0.747679146,34.76966765,1825,168,,,,,,,1.181818182,,,4065.727273,,,,,,,err,Not Democracy,8.310347917,0.081088492,Low Material Use,,,1825,Customized [3],Design-Intensive [2],Firms [1],29520,Low,55,Decades,No,Yes,Yes,Infrastructure,Fixed Constructions,Total Length,kilometers
14,Radio_Total Number_NO,Radio,NOR,Norway,0.109429267,-6.77E+164,0.082712078,1983.255637,0.996079633,0.031575937,0.99900584,53.12947371,1926,74,,,37.28810593,6.467438509,-229752305.1,,10,,,11658.56897,1.933208333,,0,,,,err,Democracy,9.363796722,0.027719511,Low Material Use,1888,1906,1910,Standardized [1],Simple [1],Individuals [2],139.7624039,High,10,Years,No,Yes,No,Appliances,Human Necessities,Cumulative Calculation,-
15,Radio_Total Number_PT,Radio,PRT,Portugal,0.128793214,-1.29E+199,0.086934417,1988.278572,0.996941351,0.029166045,0.999271486,50.54901534,1933,67,,,29.71712968,3.550404263,-209293173.9,,-4.537037037,,,6779.892857,0.913158621,,3,,,,err,Not Democracy,8.821716578,0.027719511,Low Material Use,1888,1906,1910,Standardized [1],Simple [1],Individuals [2],139.7624039,High,10,Years,No,Yes,No,Appliances,Human Necessities,Cumulative Calculation,-
16,Railroad_Total Length_US,Railroad,USA,United States,0.053131237,-4.32E+65,-0.488545741,2000.50061,0.000109695,-0.486328137,0.000109203,-8.994959498,1830,166,8.291130912,2.543431667,9.83639945,5.182301436,-6569656250,,9.095808383,,,13644.91917,1.585404762,1.649444833,2,,,,H,Democracy,9.521122509,0.081088492,Low Material Use,,,1825,Customized [3],Design-Intensive [2],Firms [1],29520,Low,55,Decades,No,Yes,Yes,Infrastructure,Fixed Constructions,Total Length,kilometers
17,Radio_Total Number_FR,Radio,FRA,France,0.106738514,-2.35E+157,0.07503111,1997.411889,0.999517983,0.015385151,0.99922073,58.56836143,1933,67,,2.184895,18.53745962,5.168912181,3632697654,,8.327586207,,,15946.39262,1.615394737,1.2518574,1,,,,H,Democracy,9.676987915,0.027719511,Low Material Use,1888,1906,1910,Standardized [1],Simple [1],Individuals [2],139.7624039,High,10,Years,No,Yes,No,Appliances,Human Necessities,Cumulative Calculation,-
18,Railroad_Total Length_DE,Railroad,DEU,Germany,0.053164548,-3.56E+61,-0.600226783,2059.24642,-2.22E-16,0.101176444,0.747260488,-7.321314674,1835,155,,2.6504792,28.200487,5.78764141,24001779464,16.455023,-0.320895522,7.2875537,5.543578,12814.32998,1.988307692,1.573651917,0,,,,H,Not Democracy,9.458319353,0.081088492,Low Material Use,,,1825,Customized [3],Design-Intensive [2],Firms [1],29520,Low,55,Decades,No,Yes,Yes,Infrastructure,Fixed Constructions,Total Length,kilometers
19,Railroad_Total Length_PA,Railroad,PAN,Panama,0.052204665,0.802440633,5.000837486,1985.242226,0.056773974,17.37704733,0.056723426,0.878742644,1855,140,,,62.10479131,0.82346077,-106411111.1,,-2.506024096,,,3574.5125,-0.530953846,,4,,,,err,Not Democracy,8.181584082,0.081088492,Low Material Use,,,1825,Customized [3],Design-Intensive [2],Firms [1],29520,Low,55,Decades,No,Yes,Yes,Infrastructure,Fixed Constructions,Total Length,kilometers
20,Railroad_Total Length_BE,Railroad,BEL,Belgium,0.032523641,-2.65E+26,0.114404038,1864.025749,0.929949505,0.080378638,0.92221074,38.41166137,1835,154,,,,,,,0.8,,,3303.473684,,,,,,,err,Not Democracy,8.102729825,0.081088492,Low Material Use,,,1825,Customized [3],Design-Intensive [2],Firms [1],29520,Low,55,Decades,No,Yes,Yes,Infrastructure,Fixed Constructions,Total Length,kilometers
21,Railroad_Total Length_CH,Railroad,CHE,Switzerland,0.036900563,-6.30E+33,0.076087531,1884.634041,0.985529709,0.052153708,0.982996796,57.75518107,1847,142,,,,,,,10,,,3168.682331,,,,,,,err,Democracy,8.061071112,0.081088492,Low Material Use,,,1825,Customized [3],Design-Intensive [2],Firms [1],29520,Low,55,Decades,No,Yes,Yes,Infrastructure,Fixed Constructions,Total Length,kilometers
22,Railroad_Total Length_NL,Railroad,NLD,Netherlands,0.03304341,-1.94E+26,0.106639275,1875.482359,0.954483417,0.077584211,0.951678479,41.20854295,1839,147,,,,,,,-3.972972973,,,3910.432432,,,,,,,err,Not Democracy,8.271403243,0.081088492,Low Material Use,,,1825,Customized [3],Design-Intensive [2],Firms [1],29520,Low,55,Decades,No,Yes,Yes,Infrastructure,Fixed Constructions,Total Length,kilometers
23,Railroad_Total Length_RU,Railroad,RUS,Russia,0.05421541,-1.22E+66,0.041189195,1928.18226,0.987842133,0.02208391,0.990458237,106.6893679,1838,148,,,,,,,-8.833333333,,,,,,,,,,err,Not Democracy,,0.081088492,Low Material Use,,,1825,Customized [3],Design-Intensive [2],Firms [1],29520,Low,55,Decades,No,Yes,Yes,Infrastructure,Fixed Constructions,Total Length,kilometers
24,Railroad_Total Length_GR,Railroad,GRC,Greece,0.043098011,-3.26E+43,0.117900894,1902.758451,0.976095062,0.079650025,0.970167841,37.27239883,1869,119,,,,,,,9.628571429,,,2132.542857,,,,,,,err,Democracy,7.665070376,0.081088492,Low Material Use,,,1825,Customized [3],Design-Intensive [2],Firms [1],29520,Low,55,Decades,No,Yes,Yes,Infrastructure,Fixed Constructions,Total Length,kilometers
