,Technology Name,Country Name,num values,num years,First Year of Data,First Value,Last Year of Data,Last Value
5676,Air-Source Heat Pumps,NOR,13,13,2011,86950.0,2023,151260.0
5546,Air-Source Heat Pumps,POL,14,14,2010,3560.0,2023,116330.0
5745,Air-Source Heat Pumps,CZE,12,12,2010,4199.0,2021,28380.0
5029,Air-Source Heat Pumps,USA,20,20,2003,1626365.0,2022,4334479.0
5662,Air-Source Heat Pumps,CHE,13,13,2010,20740.0,2022,51750.0
3824,Air-Source Heat Pumps,NLD,27,27,1995,100.0,2021,368100.0
4337,Air-Source Heat Pumps,AUT,23,23,2000,4720.0,2022,60339.99999999999
4257,Air-Source Heat Pumps,DEU,23,23,2001,15000.0,2023,438500.0
314,Ammonia Synthesis,USA,92,92,1929,162.77,2020,13261.50663
307,Ammonia Synthesis,CAN,90,90,1931,1.23,2020,2726.16507
313,Ammonia Synthesis,,65,65,1928,8.2,1992,413.7
311,Ammonia Synthesis,RUS,64,64,1928,4.715,1991,12102.0
312,Ammonia Synthesis,NLD,91,91,1930,19.27,2020,1553.0
310,Ammonia Synthesis,BEL,93,93,1928,9.225,2020,787.6
318,Ammonia Synthesis,POL,93,93,1928,8.2,2020,2098.027
317,Ammonia Synthesis,SWE,80,80,1928,2.87,2007,79.281
316,Ammonia Synthesis,DEU,93,93,1928,362.235,2020,1408.09008
315,Ammonia Synthesis,FRA,92,92,1928,45.715,2019,512.49336
320,Ammonia Synthesis,JPN,93,93,1928,41.82,2020,525.46304
319,Ammonia Synthesis,ITA,93,93,1928,25.42,2020,287.3882
693,Aquaculture Production,PRK,61,61,1960,5236.0,2020,680300.0
698,Aquaculture Production,PLW,32,32,1989,3.0,2020,22.0
697,Aquaculture Production,PAK,61,61,1960,1170.0,2020,162462.0
696,Aquaculture Production,KIR,37,37,1984,13.0,2020,2.0
695,Aquaculture Production,PRI,34,34,1987,97.0,2020,18.0
694,Aquaculture Production,OMN,23,23,1998,13.0,2020,1307.0
685,Aquaculture Production,PNG,33,33,1988,7.0,2020,6102.0
691,Aquaculture Production,PHL,61,61,1960,60769.0,2020,2322831.42
690,Aquaculture Production,MKD,29,29,1992,899.0,2020,1633.91
689,Aquaculture Production,NGA,61,61,1960,2005.0,2020,261710.74
688,Aquaculture Production,KAZ,33,33,1988,7034.0,2020,6795.06
687,Aquaculture Production,NER,37,37,1984,9.0,2020,649.0
686,Aquaculture Production,NOR,61,61,1960,1900.0,2020,1490412.05
699,Aquaculture Production,PAN,46,46,1975,2.0,2020,3879.1
692,Aquaculture Production,MNP,15,15,2006,6.0,2020,41.0
700,Aquaculture Production,PER,53,53,1968,5.0,2020,143829.72
1012,Aquaculture Production,LCA,36,36,1985,100.0,2020,91.89
702,Aquaculture Production,PRY,34,34,1987,22.0,2020,14100.0
722,Aquaculture Production,PRT,56,56,1965,1.0,2020,14551.75
721,Aquaculture Production,MDA,33,33,1988,7146.0,2020,12600.0
720,Aquaculture Production,LVA,33,33,1988,2926.0,2020,717.45
719,Aquaculture Production,MEX,61,61,1960,100.0,2020,278693.81
718,Aquaculture Production,MUS,44,44,1977,1.0,2020,3298.0
717,Aquaculture Production,MLT,31,31,1990,3.0,2020,19829.44
716,Aquaculture Production,LAO,58,58,1963,16.0,2020,130020.0
715,Aquaculture Production,MLI,37,37,1984,3.0,2020,7686.0
714,Aquaculture Production,MYS,61,61,1960,7841.0,2020,400017.01
713,Aquaculture Production,MWI,47,47,1974,2.0,2020,9393.0
712,Aquaculture Production,MDG,45,45,1976,4.0,2020,13550.45
710,Aquaculture Production,LBN,46,46,1975,5.0,2020,828.0
709,Aquaculture Production,LBY,34,34,1987,30.0,2020,10.0
964,Aquaculture Production,VEN,54,54,1967,2.0,2020,53609.0
707,Aquaculture Production,POL,61,61,1960,8100.0,2020,47700.0
706,Aquaculture Production,JOR,39,39,1982,15.0,2020,2055.0
705,Aquaculture Production,NZL,61,61,1960,2800.0,2020,118582.0
704,Aquaculture Production,KGZ,33,33,1988,1108.0,2020,2550.0
703,Aquaculture Production,NIC,38,38,1983,17.0,2020,29410.0
701,Aquaculture Production,KEN,61,61,1960,380.0,2020,20831.0
708,Aquaculture Production,LBR,39,39,1982,35.0,2020,255.0
974,Aquaculture Production,USA,61,61,1960,104421.0,2020,448534.61
966,Aquaculture Production,ZMB,44,44,1977,3.0,2020,45670.0
1008,Aquaculture Production,SEN,51,51,1970,100.0,2020,1100.0
1009,Aquaculture Production,SAU,35,35,1986,28.0,2020,99906.61
1010,Aquaculture Production,WSM,24,24,1997,1.0,2020,10.01
1011,Aquaculture Production,KNA,32,32,1989,3.0,2020,2.0
1013,Aquaculture Production,SDN,37,37,1984,10.0,2020,9850.0
1014,Aquaculture Production,SUR,29,29,1992,3.0,2020,37.0
1015,Aquaculture Production,SWE,61,61,1960,510.0,2020,12090.3
1016,Aquaculture Production,CHE,49,49,1972,5.0,2020,2048.1
1007,Aquaculture Production,SRB,15,15,2006,5013.05,2020,6010.26
1017,Aquaculture Production,SYR,53,53,1968,1.0,2020,2300.0
1019,Aquaculture Production,TZA,39,39,1982,13.0,2020,108568.01
1020,Aquaculture Production,THA,61,61,1960,31545.0,2020,962466.91
1021,Aquaculture Production,TLS,17,17,2004,15.0,2020,835.0
1022,Aquaculture Production,TGO,37,37,1984,40.0,2020,730.0
1023,Aquaculture Production,TON,23,23,1998,6.0,2020,105.2
1024,Aquaculture Production,TTO,32,32,1989,2.0,2020,4.2
1025,Aquaculture Production,TUN,46,46,1975,2.0,2020,23486.1
1026,Aquaculture Production,TUR,61,61,1960,60.0,2020,421411.0
1018,Aquaculture Production,TJK,33,33,1988,3227.0,2020,775.0
1006,Aquaculture Production,SYC,29,29,1989,7.0,2017,0.1
1005,Aquaculture Production,SLE,42,42,1979,1.0,2020,85.0
1004,Aquaculture Production,TKM,33,33,1988,2380.0,2020,150.0
968,Aquaculture Production,VIR,37,37,1984,6.0,2020,8.0
969,Aquaculture Production,VNM,61,61,1960,37660.0,2020,4614692.0
970,Aquaculture Production,VUT,17,17,2004,1.0,2020,3.08
972,Aquaculture Production,UZB,33,33,1988,20471.0,2020,98003.0
973,Aquaculture Production,URY,34,34,1987,3.0,2020,103.0
723,Aquaculture Production,MNE,15,15,2006,354.0,2020,885.0
975,Aquaculture Production,GBR,61,61,1960,35.0,2020,220999.85
976,Aquaculture Production,ARE,37,37,1984,7.0,2020,3047.78
977,Aquaculture Production,UKR,33,33,1988,96182.0,2020,18567.8
994,Aquaculture Production,UGA,37,37,1984,31.0,2020,123897.0
995,Aquaculture Production,TUV,18,18,2003,5.0,2020,2.5
996,Aquaculture Production,TCA,32,32,1987,360.0,2018,0.5
997,Aquaculture Production,SVK,28,28,1993,1588.0,2020,2296.0
998,Aquaculture Production,LKA,50,50,1971,5.0,2020,42118.9
999,Aquaculture Production,ESP,61,61,1960,6300.0,2020,276570.61
1000,Aquaculture Production,ZAF,47,47,1974,9.0,2020,9753.01
1001,Aquaculture Production,SLB,37,37,1984,28.0,2020,5504.0
1002,Aquaculture Production,SVN,29,29,1992,868.0,2020,1672.6
1003,Aquaculture Production,SGP,51,51,1970,10.0,2020,4828.85
965,Aquaculture Production,ZWE,49,49,1972,2.0,2020,15425.11
724,Aquaculture Production,KWT,36,36,1985,2.0,2020,450.0
711,Aquaculture Production,LTU,33,33,1988,3752.0,2020,4477.45
726,Aquaculture Production,MOZ,35,35,1986,5.0,2020,3162.0
797,Aquaculture Production,IRN,50,50,1971,60.0,2020,480500.0
796,Aquaculture Production,IDN,61,61,1960,80639.0,2020,14845014.0
795,Aquaculture Production,IND,61,61,1960,44843.0,2020,8641286.0
794,Aquaculture Production,ISL,46,46,1975,2.0,2020,40595.06
793,Aquaculture Production,HUN,61,61,1960,10000.0,2020,18373.33
792,Aquaculture Production,GEO,33,33,1988,1273.0,2020,2026.9
791,Aquaculture Production,HKG,61,61,1960,600.0,2020,3834.7
790,Aquaculture Production,HTI,21,21,2000,12.0,2020,1560.0
789,Aquaculture Production,GUY,38,38,1983,14.0,2020,137.63
788,Aquaculture Production,GIN,37,37,1984,3.0,2020,1135.0
787,Aquaculture Production,GTM,40,40,1981,8.0,2020,33651.0
786,Aquaculture Production,GUM,42,42,1979,2.0,2020,118.0
798,Aquaculture Production,IRQ,52,52,1969,2.0,2020,22704.0
785,Aquaculture Production,GRD,22,22,1999,1.0,2020,22.5
783,Aquaculture Production,GHA,55,55,1966,4.0,2020,64010.0
782,Aquaculture Production,HND,47,47,1974,2.0,2020,71151.1
781,Aquaculture Production,CIV,37,37,1984,21.0,2020,4620.0
780,Aquaculture Production,CRI,46,46,1975,2.0,2020,16268.95
779,Aquaculture Production,COG,38,38,1983,48.0,2020,900.0
778,Aquaculture Production,BRB,15,15,2006,2.0,2020,25.5
777,Aquaculture Production,BGD,61,61,1960,49237.0,2020,2583866.0
776,Aquaculture Production,BHR,26,26,1995,4.0,2020,5.5
775,Aquaculture Production,BHS,37,37,1984,10.0,2020,6.0
725,Aquaculture Production,MAR,55,55,1966,4.0,2020,1618.0
773,Aquaculture Production,AUT,61,61,1960,650.0,2020,4527.37
772,Aquaculture Production,AUS,61,61,1960,5700.0,2020,106088.35
784,Aquaculture Production,GRC,61,61,1960,330.0,2020,131737.18
771,Aquaculture Production,ABW,10,10,2011,2.0,2020,1.5
799,Aquaculture Production,IRL,61,61,1960,2100.0,2020,37750.7
801,Aquaculture Production,ITA,61,61,1960,2794.0,2020,122778.26
832,Aquaculture Production,RWA,43,43,1978,18.0,2020,7058.6
826,Aquaculture Production,RUS,33,33,1988,151377.0,2020,291194.0
825,Aquaculture Production,PSE,16,16,2005,10.0,2020,600.0
824,Aquaculture Production,QAT,25,25,1996,1.0,2020,22.8
823,Aquaculture Production,PYF,45,45,1976,2.0,2020,1371.0
822,Aquaculture Production,FRA,61,61,1960,111100.0,2020,191350.0
821,Aquaculture Production,FIN,56,56,1965,50.0,2020,15052.9
820,Aquaculture Production,FJI,37,37,1984,6.0,2020,322.3
819,Aquaculture Production,FRO,50,50,1971,5.0,2020,89055.0
818,Aquaculture Production,ETH,33,33,1988,1.0,2020,534.0
817,Aquaculture Production,SWZ,37,37,1984,8.0,2020,100.0
816,Aquaculture Production,EST,33,33,1988,401.0,2020,1090.15
