Size - Min (BTUH),Size - Max (BTUH),2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,16.4,"38,770","43,828","53,021","60,539","60,193","67,369","72,815","83,396","118,106","114,400","117,478","154,538","184,391","207,609","209,411","224,538","253,836","303,780","357,759","471,334"
16.5,21.9,"445,652","436,104","481,430","587,710","431,085","401,711","418,492","381,021","344,293","397,363","422,275","498,143","586,544","750,670","845,818","945,049","676,927","739,928","864,142","923,568"
22,26.9,"1,317,113","1,275,565","1,389,382","1,701,764","1,290,818","1,133,258","1,093,538","1,013,373","989,327","1,055,636","1,062,592","1,176,723","1,331,295","1,246,265","1,325,381","1,427,227","1,581,830","1,635,309","1,830,740","2,010,320"
27,32.9,"1,188,902","1,192,033","1,270,549","1,488,750","1,129,590","1,013,060","942,696","815,566","807,755","864,379","885,497","973,840","1,078,573","1,032,520","1,102,404","1,166,972","1,307,088","1,332,524","1,483,746","1,593,104"
33,38.9,"1,462,674","1,473,499","1,605,513","1,853,926","1,475,273","1,360,215","1,224,416","1,126,923","1,144,010","1,180,003","1,194,792","1,293,780","1,421,812","1,366,353","1,489,505","1,568,896","1,781,400","1,793,488","1,984,554","2,176,774"
39,43.9,"605,444","639,255","699,742","783,513","685,391","574,230","478,735","407,814","433,370","452,949","452,301","501,692","546,790","522,866","561,360","585,987","663,503","651,503","717,084","774,881"
44,53.9,"748,138","784,273","862,007","987,337","895,182","804,675","684,467","604,135","615,603","640,635","647,883","701,698","766,135","762,438","815,446","860,709","967,998","948,059","1,040,749","1,109,675"
54,64.9,"681,068","703,932","768,420","861,277","792,212","733,793","631,805","515,523","504,408","573,570","584,835","617,350","670,896","649,546","687,471","713,686","773,391","757,653","787,593","854,472"
65,96.9,"97,780","98,686","102,082","105,425","114,906","117,995","105,719","77,922","76,265","83,501","89,474","93,187","96,993","103,487","108,890","111,040","109,986","109,606","92,770","101,238"
97,134.9,"69,901","70,080","74,540","78,005","87,795","93,074","82,683","61,408","60,502","65,657","69,364","71,045","74,469","76,469","80,254","86,051","84,261","83,717","69,076","79,196"
135,184.9,"43,006","42,782","44,687","47,997","50,639","51,025","46,876","35,588","39,098","42,376","44,473","44,819","48,244","50,120","53,238","57,765","57,590","56,986","46,644","49,948"
185,249.9,"22,637","22,580","23,671","25,380","26,557","26,569","23,957","16,796","16,806","18,233","19,314","19,838","21,495","21,004","22,686","24,775","24,673","25,109","20,780","21,450"
250,319.5,"9,892","10,461","11,054","10,626","12,068","12,390","10,552","7,168","7,794","9,593","11,055","10,524","12,325","11,985","14,139","16,222","16,838","16,054","17,257","18,472"
320,379.9,"4,354","4,239","4,475","4,529","5,259","4,937","4,768","3,615","3,093","3,171","3,322","3,392","3,567","3,486","4,018","4,294","4,208","4,222","3,892","3,979"
380,539.9,"3,889","3,824","3,952","4,087","4,421","4,602","3,829","2,936","2,609","3,040","3,514","3,344","3,739","3,691","3,894","4,636","4,322","4,393","4,141","3,890"
540,639.9,"2,814","2,282","2,544","2,553","2,745","2,864","2,908","1,781","1,911","2,169","2,257","2,423","2,546","2,656","2,750","3,286","3,406","3,117","3,112","2,649"
640,,"4,292","3,839","3,998","4,083","5,162","4,830","5,098","2,747","2,260","3,018","3,239","3,364","3,836","3,907","4,194","4,396","4,736","5,215","4,723","4,101"
