ID,Country,Process,Measure,Units,Sources,Notes,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Belgium_AmmoniaSynthesis,Belgium,Synethetic+Fertilizer,Production,ThousandTonsNeq,FAOSTAT 2022 and League of Nations,stitched data,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.225,21.525,36.695,34.235,38.54,40.795,37.105,36.285,30.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,790,790,840.2,922.6,958.6,1004.3,888.4,884.3,946.5,955.6,931.7,873.3,847.1,864.3,822.3,865.9,787.6,787.6,787.6
Canada_AmmoniaSynthesis,Canada,Synethetic+Fertilizer,Production,ThousandTonsNeq,FAOSTAT 2022 and League of Nations,stitched data,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.23,8.61,12.3,10.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,307.284,302.359,314.447,340.674,377.34,477.906,470.095,554.179,671.639,726.155,805,771.615,802.93,895,774.7,1204,1577.7,1673.9,1708.6,1755,1825,1897.1,2370.9,2542.9,2825.3,2466.5,2762,3000,2706.001,2842.79,2904.173,2971.74,3850.61,3801.33,4018.94,3864.2,3654.3,3737.1,4141.4,3831.04,3331.79,3087.621,2905.009,3048.059,3109.02,2309.32,3234.81,3192.99,3129.16,3361.936,3443.253,3358.08,3820.38,3707.22,3994.22,4122.96,3735.92,3822.84,3927.8,2726.16507
Czecholslovakia_AmmoniaSynthesis,Czecholslovakia,Synethetic+Fertilizer,Production,ThousandTonsNeq,FAOSTAT 2022 and League of Nations,stitched data,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.2,3.28,2.05,3.075,3.485,4.715,4.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146.2,153.916,153.811,158.382,219.784,250.523,244.985,293.632,336.21,352.141,336.329,409.5,413.8,483.3,496,568,605,625,650.3,705,674,656,685.7,687.5,689.6,700,625.355,585.758,674.996,604.001,535.8,413.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
France_AmmoniaSynthesis,France,Synethetic+Fertilizer,Production,ThousandTonsNeq,FAOSTAT 2022 and League of Nations,stitched data,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.715,38.745,55.965,48.995,38.13,38.13,25.83,22.755,26.24,0,0,0,0,0,0,0,0,0,0,0,0,214,238,293,288,285.7,360,408.2,450.7,510,538.5,573.6,670.784,772.6,745.859,912.503,1081.9,1066,1223.5,1239.537,1367.825,1313.122,1351.069,1416.802,1476.486,1642.3,1694.1,1361,1462,1470,1781,1780,1640.2,1553,1583,1728,1779,1628,1704,1540,1675,1572,1524,1636,1333,1524,1493,1490,1616,1484,1436,1422.8,983,1106,1101.41437,1030.12714,1074.91774,985.11909,1430.53914,1792.21175,1553.68399,1360.19549,1358.15438,324.19098,345.29189,524.84962,279.09148,469.0451,361.92638,354.21238,579.5893,512.49336,0
Germany_AmmoniaSynthesis,Germany,Synethetic+Fertilizer,Production,ThousandTonsNeq,FAOSTAT 2022 and League of Nations,stitched data,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,362.235,374.74,296.02,186.14,139.195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1442.281,1538.353,1609.438,1623.243,1767.223,1845.373,1895.111,1988.942,2012.654,1899.75,1709.031,1898.778,1883.765,2010.047,1797.292,2065.951,2143.245,2164.501,2350.575,2379.444,2074.858,1933.401,2079.48,2154.092,2195.355,2271.331,2349.998,2300.747,2134,1165,1095,1191,1131,1167,1174,1269,1125,1175,1250,1039.5,1066.394,1256.291,1120.999,1160.639,1253.773,1185.726,1504.452,961.882,1224.687,1279.619,1145.336,1306.175,1316.1,1316.1,1253.3,1371.48541,1321.6068,1486.44058,1508.70729,1408.09008
Italy_AmmoniaSynthesis,Italy,Synethetic+Fertilizer,Production,ThousandTonsNeq,FAOSTAT 2022 and League of Nations,stitched data,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.42,25.215,22.55,18.655,24.19,21.32,26.445,0,3.69,0,0,0,0,0,0,0,0,0,0,0,0,136.905,169,184.297,213,262.477,312.801,342.928,366.156,408.712,530.871,593.267,657.694,688.747,725.408,773.528,836.34,904.883,950.113,1095.845,1088.46,960.301,955.814,1034.191,1045.519,1129.3,1131.442,970.028,985.312,1037.1,1382.696,1462.199,1335.393,1149.863,1132.487,1095.982,1332.779,1242.401,1144.859,1279.019,1297.085,1168.586,862,917.3,991,654,621,660,535,537,463,397,428,423,400.2,483.828,609.629,425.187,256.1424,78.564,315.9824,249.8264,146.0614,108.4036,177.367,292.9284,246.1068,253.7896,339.1866,287.3882,287.3882,287.3882,287.3882
Japan_AmmoniaSynthesis,Japan,Synethetic+Fertilizer,Production,ThousandTonsNeq,FAOSTAT 2022 and League of Nations,stitched data,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.82,41.82,47.765,54.325,88.355,89.38,92.66,115.415,0,0,0,0,0,0,0,0,0,0,0,0,0,378.481,434.348,456,508,592.206,632.535,704.429,780.46,882.807,986.26,921.69,1029.88,1088.6,1151.42,1298.69,1394,1615,1789.3,2034.7,2098.5,2130.9,2105.1,1915,2199,2138.3,2340.9,1557,1171,1446,1457,1458,1202,1253,1126,1077,1235.4,1054,987.9,985.8,977,946,957,931,906,867.7,890.9,872.5,883.4,829.7,798.6,802.4,769.217,680.8,828.913,771.49,796.224,767.305,770.545,769.924,647.184,621.908,650.283,610.674,603.223,596.072,547.85,536.731,567.975,556.577,541.702,524.24237,525.46304
Netherlands_AmmoniaSynthesis,Netherlands,Synethetic+Fertilizer,Production,ThousandTonsNeq,FAOSTAT 2022 and League of Nations,stitched data,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.27,66.42,68.47,62.115,41,44.075,38.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,435.4,456.623,474.2,527.161,561.473,684.07,849.349,954.119,892.642,956.863,1038.025,1216.594,1211.761,1334.532,1155.309,1297.292,1452.631,1517.645,1612.291,1623.728,1463.377,1504.685,1699.561,1751.267,1565.812,1749.317,1757.4,1836.929,1847.909,1928,1820.92,1817.09,1756.26,1748,1595,1513,1586,1548,1304,1137,1013,1478.365,1427.083,1584.753,1534.664,1536.21,1491.179,1493.79,1397.882,1475.708,1468.636,1650.206,1734.418,1878.333,2022.248,2166.163,1683.8,1553,1553,1553
Poland_AmmoniaSynthesis,Poland,Synethetic+Fertilizer,Production,ThousandTonsNeq,FAOSTAT 2022 and League of Nations,stitched data,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.2,7.175,7.175,8.405,8.815,8.2,7.995,134.275,196.595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,281.768,307.806,329.607,359.449,394.478,462.388,593.634,758.945,937.753,1029.879,1080.755,1147.276,1365.588,1457.47,1532.601,1548.136,1520.932,1470.189,1375.562,1290.01,1273.544,1297.725,1341.528,1369.302,1253.692,1445.231,1543.146,1613.752,1627.407,1232.7,1138.871,1152,1190.181,1354.3,1575.126,1548,1557.4,1575.6,1359.5,1496.5,1569.729,1305,1626,1644,1735,1714,1833,1716,1545,1637,1766,1880,1834,1948.991,2010.16,1966.82,2057.909,2023.411,2006.141,2098.027
Sweden_AmmoniaSynthesis,Sweden,Synethetic+Fertilizer,Production,ThousandTonsNeq,FAOSTAT 2022 and League of Nations,stitched data,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.87,13.325,16.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.2,54.716,70.557,71.257,95.071,120.27,139.757,143.787,144.275,162.967,177.148,169.528,178.325,175.554,169.363,151.081,175.208,173.043,171.355,180.149,170.862,188.166,193.512,200.601,196.235,164.27,163.154,126.255,156.4,176.041,132,87,98,103,123,107,103,94,99,103,64.1,62.9,57.113,59.226,53.224,79.6,79.281,0,0,0,0,0,0,0,0,0,0,0,0,0
