Year of Project Year,Technology Mid-Type,Country,Technology Broad Category,Technology Sub-Type,Subsystem 1 - Technology Broad Category,Subsystem 1 - Technology Mid-Type,Subsystem 1 - Technology Sub-Type,Discharge Duration at Rated Power (hrs),Rated Capacity (kWh),Rated Power (kW),Storage Capacity (kWh)
2007,Technology Mid-Type Unknown,United States,Thermal energy storage,Technology Sub-Type Unknown,Thermal energy storage,,,0.5,32000,64000,32000
2009,Technology Mid-Type Unknown,Sweden,Thermal energy storage,Technology Sub-Type Unknown,Thermal energy storage,,,0,,10000,0
2011,Technology Mid-Type Unknown,United States,Electro-mechanical energy storage,Technology Sub-Type Unknown,Electro-mechanical energy storage,,,0,,430,0
2011,Technology Mid-Type Unknown,United States,Electro-chemical battery and chemical storage,Technology Sub-Type Unknown,Electro-chemical battery and chemical storage,,,0,,1500,0
2013,Technology Mid-Type Unknown,Spain,Electro-chemical battery and chemical storage,Technology Sub-Type Unknown,Electro-chemical battery and chemical storage,,,0,,0,0
2013,Technology Mid-Type Unknown,Australia,Electro-chemical battery and chemical storage,Technology Sub-Type Unknown,Electro-chemical battery and chemical storage,,,1,163,163,163
2013,Technology Mid-Type Unknown,Japan,Electro-chemical battery and chemical storage,Technology Sub-Type Unknown,Electro-chemical battery and chemical storage,,,2,28,14,28
2014,Technology Mid-Type Unknown,United States,Electro-chemical battery and chemical storage,Technology Sub-Type Unknown,Electro-chemical battery and chemical storage,,,0,,85000,0
2014,Technology Mid-Type Unknown,United States,Electro-chemical battery and chemical storage,Technology Sub-Type Unknown,Electro-chemical battery and chemical storage,,,4,2000,500,2000
2015,Technology Mid-Type Unknown,United States,Electro-chemical battery and chemical storage,Technology Sub-Type Unknown,Electro-chemical battery and chemical storage,,,2,258,129,258
2015,Technology Mid-Type Unknown,United States,Electro-chemical battery and chemical storage,Technology Sub-Type Unknown,Electro-chemical battery and chemical storage,,,5,25000,5000,25000
2015,Technology Mid-Type Unknown,United States,Electro-chemical battery and chemical storage,Technology Sub-Type Unknown,Electro-chemical battery and chemical storage,,,1,512,512,512
2015,Technology Mid-Type Unknown,United States,Electro-chemical battery and chemical storage,Technology Sub-Type Unknown,Electro-chemical battery and chemical storage,,,0,,2000,0
2015,Technology Mid-Type Unknown,Germany,Electro-chemical battery and chemical storage,Technology Sub-Type Unknown,Electro-chemical battery and chemical storage,,,0,,0,0
2015,Technology Mid-Type Unknown,United States,Electro-chemical battery and chemical storage,Technology Sub-Type Unknown,Electro-chemical battery and chemical storage,,,1.67,10020,6000,10020
2015,Technology Mid-Type Unknown,United States,Electro-chemical battery and chemical storage,Technology Sub-Type Unknown,Electro-chemical battery and chemical storage,,,2,78,39,78
2015,Technology Mid-Type Unknown,United States,Electro-chemical battery and chemical storage,Technology Sub-Type Unknown,Electro-chemical battery and chemical storage,,,2,1966,983,1966
2015,Technology Mid-Type Unknown,United States,Electro-chemical battery and chemical storage,Technology Sub-Type Unknown,Electro-chemical battery and chemical storage,,,1.5,300,200,300
2015,Technology Mid-Type Unknown,British Virgin Islands,Electro-chemical battery and chemical storage,Technology Sub-Type Unknown,Electro-chemical battery and chemical storage,,,0.5,500,1000,500
2015,Technology Mid-Type Unknown,United States,Electro-chemical battery and chemical storage,Technology Sub-Type Unknown,Electro-chemical battery and chemical storage,,,0,,0,0
2015,Technology Mid-Type Unknown,United States,Electro-chemical battery and chemical storage,Technology Sub-Type Unknown,Electro-chemical battery and chemical storage,,,0,,0,0
2015,Technology Mid-Type Unknown,Australia,Electro-chemical battery and chemical storage,Technology Sub-Type Unknown,Electro-chemical battery and chemical storage,,,10,50,5,50
2015,Technology Mid-Type Unknown,Australia,Electro-chemical battery and chemical storage,Technology Sub-Type Unknown,Electro-chemical battery and chemical storage,,,5,50,10,50
2015,Technology Mid-Type Unknown,United States,Electro-chemical battery and chemical storage,Technology Sub-Type Unknown,Electro-chemical battery and chemical storage,,,0,,10000,0
2015,Technology Mid-Type Unknown,United States,Electro-chemical battery and chemical storage,Technology Sub-Type Unknown,Electro-chemical battery and chemical storage,,,0,,2800,0
2015,Technology Mid-Type Unknown,Australia,Electro-chemical battery and chemical storage,Technology Sub-Type Unknown,Electro-chemical battery and chemical storage,,,10,20,2,20
