Country,Year,Distance (km)
Italy,1977,122
France,1981,425
Italy,1985,52
Italy,1986,20
France,1989,292
Austria,1990,24
Germany,1991,327
Germany,1991,99
Italy,1992,44
Spain,1992,471
France,1992,122
France,1994,346
France,1994,105
Finland,1995,156
Belgium,1997,72
Germany,1998,150
Sweden,1999,187
Austria,2001,44
Finland,2001,673
Finland,2001,53
France,2001,259
Belgium,2002,65
Germany,2002,144
Austria,2003,37
Germany,2003,39
Spain,2003,467
Spain,2003,79
United Kingdom,2003,74
Germany,2004,44
Germany,2004,286
Switzerland,2004,42
Switzerland,2004,11
Spain,2005,21
Finland,2006,44
Finland,2006,63
Germany,2006,89
Italy,2006,86
Spain,2006,111
Spain,2006,96
The Netherlands,2006,44
The Netherlands,2006,46
Austria,2007,16
France,2007,335
Spain,2007,178
Spain,2007,58
Switzerland,2007,38
United Kingdom,2007,39
Italy,2007,25
Italy,2008,182
Italy,2008,29
Spain,2008,100
Sweden,2008,283
Belgium,2009,36
Belgium,2009,36
Finland,2009,131
Italy,2009,205
Italy,2009,38
Italy,2009,78
Spain,2009,5
Spain,2009,61
Sweden,2009,180
France,2010,24
Spain,2010,362
Spain,2010,73
Spain,2010,20
Sweden,2010,30
France,2011,146
Germany,2011,62
Spain,2011,85
Austria,2012,50
Austria,2012,36
Austria,2012,30
Germany,2012,18
Spain,2012,6
Sweden,2012,180
Spain,2013,131
Spain,2013,165
Germany,2015,123
Poland,2015,224
Spain,2015,95
Spain,2015,166
Spain,2015,99
Spain,2015,153
Austria,2016,17
France,2016,122
Italy,2016,40
Switzerland,2016,67
France,2017,219
France,2017,340
Germany,2017,107
Germany,2017,83
Denmark,2019,56
Spain,2019,219
Spain,2019,109
Spain,2020,47
Switzerland,2020,18
Spain,2020,110
Spain,2021,54
Spain,2021,119
Germany,2022,60
Spain,2022,16
Spain,2022,91
Spain,2022,142
Spain,2022,7
Serbia,2022,78
Japan,1964,515
Japan,1972,161
Japan,1975,393
Japan,1982,270
Japan,1982,79
Japan,1982,426
Japan,1985,28
Japan,1991,4
Japan,1992,87
Japan,1997,117
Japan,1997,127
Japan,1999,62
Japan,2002,97
China,2003,405
Japan,2004,127
South Korea,2004,269
China-Chinese Taipei,2007,345
China,2008,148
China,2008,118
China,2009,393
China,2009,380
China,2009,228
China,2009,351
China,2009,"1,079"
China,2009,263
China,2010,553
Japan,2010,82
South Korea,2010,131
China,2010,211
China,2010,234
China,2010,65
China,2010,323
China,2010,138
China,2010,17
China,2010,308
China,2011,143
China,2011,111
Japan,2011,130
China,2011,"1,318"
China,2011,111
China,2012,114
China,2012,292
China,2012,526
China,2012,131
China,2012,383
China,2012,546
China,2012,151
China,2012,676
China,2012,498
China,2013,146
China,2013,254
China,2013,157
China,2013,90
China,2013,547
China,2013,59
China,2013,288
China,2013,184
China,2013,513
China,2013,76
China,2013,223
China,2013,62
China,2013,197
China,2013,21
China,2014,574
China,2014,91
China,2014,36
China,2014,574
China,2014,911
China,2014,420
China,2014,153
China,2014,135
China,2014,27
China,2014,"1,785"
China,2014,860
China,2014,301
China,2014,50
China,2015,19
China,2015,70
China,2015,286
China,2015,850
China,2015,264
China,2015,208
South Korea,2015,182
China,2015,43
China,2015,361
China,2015,257
Japan,2015,228
China,2015,257
China,2015,293
China,2015,300
China,2015,190
China,2015,248
China,2015,72
China,2015,65
China,2015,345
China,2015,28
China-Chinese Taipei,2016,9
China,2016,81
China,2016,53
South Korea,2016,61
China,2016,362
China,2016,246
Japan,2016,149
China,2016,61
China,2016,58
China,2016,24
China,2016,463
China,2016,452
China,2017,37
China,2017,353
China,2017,128
China,2017,82
China,2017,505
China,2017,25
South Korea,2017,230
China,2017,308
China,2017,334
China,2017,48
China,2017,22
China,2018,380
China,2018,355
China,2018,343
China,2018,122
China,2018,175
China,2018,3
China,2018,4
China,2018,18
China,2018,272
China,2018,300
China,2018,197
China,2018,234
China,2018,319
China,2018,5
China,2018,5
China,2018,5
China,2018,21
China,2018,3
China,2018,21
China,2018,305
China,2018,46
China,2018,100
China,2018,247
China,2018,8
China,2018,2
China,2018,67
China,2018,435
China,2018,2
China,2018,2
China,2018,197
China,2018,6
China,2018,4
China,2019,145
China,2019,32
China,2019,121
China,2019,226
China,2019,10
China,2019,4
China,2019,21
China,2019,377
China,2019,378
China,2019,389
China,2019,280
China,2019,207
China,2019,73
China,2019,3
China,2019,313
China,2019,105
China,2019,368
China,2019,9
China,2019,385
China,2019,11
China,2019,5
China,2019,2
China,2019,3
China,2019,333
China,2019,174
China,2019,159
China,2019,52
China,2019,136
China,2020,156
China,2020,5
China,2020,309
China,2020,143
China,2020,5
China,2020,120
China,2020,38
China,2020,124
China,2020,3
China,2020,199
China,2020,4
China,2020,5
China,2020,12
China,2020,362
China,2020,134
China,2020,4
China,2020,22
China,2020,88
China,2020,545
China,2020,6
China,2020,59
China,2020,158
China,2020,6
China,2020,10
China,2020,17
China,2021,192
China,2021,185
China,2021,5
China,2021,129
China,2021,107
China,2021,245
China,2021,3
China,2021,4
China,2021,372
China,2021,99
China,2021,12
China,2021,431
China,2021,176
China,2021,3
China,2021,2
China,2021,8
China,2021,7
China,2021,199
China,2021,5
Japan,2022,66
Morocco,2018,186
Usa,2000,735
Türkiye,2009,245
Türkiye,2011,212
Türkiye,2014,257
Türkiye,2016,23
Saudi Arabia,2018,449
Türkiye,2021,315
Türkiye,2022,102
