20 yr,3.1%,,,,40%,,38%,,,,,37.1%,,,,,,,18%,,18%,,,,,25.4%,,,,,,,#NUM!,,1%,,,,,0.4%,,,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,,,,,,,,,,,,,,,,,
10 yr,2.6%,,,,31%,,41%,,,,,50.1%,,50%,,,,,7%,,17%,,,,,20.8%,,50%,,,,,#NUM!,,1%,,,,,-0.5%,,50%,,,,,110%,, 1.0 ,,3.8%,,,,50%,,,,,,,6%,,,,,,,,,
fwd,,,2.0%,,27.5%,,29.7%,, 0.00 ,,,,,15.7%,,,,,25.4%,,31.5%,, 46.77 ,,,,,3.4%,,,,,,,,,,,,,,#NUM!,,,,,60.6%,,59.8%,,,,,,55.0%,,,,,,,,,,,,,,,,
,Electricity generation,,,,SOLAR PV,,,,,,,,,,,,,,WIND,,,,,,,,,,,,,,NUC,,,,,,,,,,,,,,EVs,,,,,,,,,,,,, CCS ,,,,,,,,,,,
Metric,Elec gen ttl,Elec gen ttl,Elec gen ttl,,New cap,New gro, Cum cap ,Cum gro,unit size,units,cum units, Elec gen PV ,Elec gen PV,New cap, Cum cap , Elec gen PV ,Elec gen PV,,New cap,New gro, Cum cap ,Cum gro,unit size,units,cum units, Elec gen wind ,Elec gen wind,New cap, Cum cap , Elec gen WIND ,Elec gen WIND,,New cap,New gro, Cum cap ,Cum gro,unit size, units ,cum units, Elec gen nuc ,Elec gen nuc,New cap, Cum cap , Elec gen NUC ,Elec gen NUC,,New cap,New gro, Cum cap ,Cum gro, New cars ,, All cars ,,,,,,, New cap , New gro , Cum cap ,Cum gro, Planned  ,Cum cap, unit size ,units,cum units,units,cum units, unit size 
Source, EIA https://www.eia.gov/beta/international/ ,,,,lead_markets (Nemet 2019), ,lead_markets (Nemet 2019), ,,,,,, ,,,,,lead_markets (Nemet 2019), ,lead_markets (Nemet 2019), ,,,,,, ,,,,,lead_markets (Nemet 2019), ,lead_markets (Nemet 2019), ,,,,,, ,,,,,lead_markets (Nemet 2019), https://www.energy.gov/eere/vehicles/fact-918-march-28-2016-global-plug-light-vehicle-sales-increased-about-80-2015, lead_markets (Nemet 2019) , ,,,,, ,,,,,,   ,lead_markets (Nemet 2019), ,,planned,,,,,,
Units,TWh,growth,TWh,,GW,%, GW ,%,kW,millions,millions, TWh ,% of total,GW,GW, TWh ,% of total,,GW,%, GW ,%,kw,millions,millions, TWh ,% of total,GW,GW, TWh ,% of total,,GW,%, GW ,%,kw, millions ,millions, TWh ,% of total,GW,GW, TWh ,% of total,, mm vehicles ,%, mm vehicles ,%, mm , % EV ,mm, % EV ,GW,GW, TWh ,% of total,, mT CO2/yr , % , GW ,%, mT CO2/yr ,, mT CO2/yr ,,,,, mT CO2/yr 
year,EL_twh,EL_twh_gro,EL_twh_proj,x1,PVnew_gw,PVnew_gro, PVcum_gw ,Pvcum_gro,PV_unitsize,PV_units,PV_cumunits, PV_twh ,PV_twh_shr,PVnew_gw_proj,PVcum_gw_proj, PV_twh_proj ,PV_twh_shr_proj,x2,WINDnew_gw,WINDnew_gro, WINDcum_gw ,WINDcum_gro,WIND_unitsize,WIND_units,WIND_cumunits, WIND_twh ,WIND_twh_shr,WINDnew_gw_proj,WINDcum_gw_proj, WIND_twh_proj ,WIND_twh_shr_proj,x3,NUCnew_gw,NUCnew_gro, NUCcum_gw ,NUCcum_gro,NUC_unitsize, NUC_units ,NUC_cumunits, NUC_twh ,NUC_twh_shr,NUCnew_gw_proj,NUCcum_gw_proj, NUC_twh_proj ,NUC_twh_shr_proj,x4, EV_new ,EV_new_gro, EV_cum ,EV_cum_gro, CARS_new , EV_new_shr ,CARS_all_stk, EV_stk_shr ,x5,x6, x7 ,x8,x9, CCS_new , CCS_new_gro , CCS_cum ,CCS_cum_gro, CCS_new_plan ,CCS_cum_plan, CCS_unitsize ,CCS_units,CCS_cumunits,CCS_units_plan,CCS_cumunits_plan, CCS_unitsize_plan 
1955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 0.1 ,, 0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 0.1 ,0%, 0 ,100%," 100,000 ", 1.0 , 1.0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
