Data: IRENA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
older supplemented by Nemet papers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/10/20,, PV ,,,,,,, CSP ,,,,,,, Onshore wind ,,,,,,, Offshore wind ,,,,,,
,, Cost $2019/MWh ,,, 2019$/kW ,,, MW , Cost $2019/MWh ,,, 2019$/kW ,,, MW , Cost $2019/MWh ,,, 2019$/kW ,,, MW , Cost $2019/MWh ,,, 2019$/kW ,,, MW 
,, mid , low , high , mid , low , high , cum cap -1 , mid , low , high , mid , low , high , cum cap -1 , mid , low , high , mid , low , high , cum cap -1 , mid , low , high , mid , low , high , cum cap -1 
matlab vars:,year, pv_mwh_md , pv_mwh_lo , pv_mwh_hi , pv_kw_md , pv_kw_lo , pv_kw_hi , pv_cum_mw , csp_mwh_md , csp_mwh_lo , csp_mwh_hi , csp_kw_md , csp_kw_lo , csp_kw_hi , csp_cum_mw , won_mwh_md , won_mwh_lo , won_mwh_hi , won_kw_md , won_kw_lo , won_kw_hi , won_cum_mw , wof_mwh_md , wof_mwh_lo , wof_mwh_hi , wof_kw_md , wof_kw_lo , wof_kw_hi , wof_cum_mw 
,1981,  ,  ,  ,  ,  ,  , 11 ,  ,  ,  ,  ,  ,  ,  ,,,,,,, 10 ,  ,  ,  ,  ,  ,  ,
,1982,  ,  ,  ,  ,  ,  , 17 ,  ,  ,  ,  ,  ,  ,  ,,,,,,, 25 ,  ,  ,  ,  ,  ,  ,
,1983,  ,  ,  ,  ,  ,  , 25 ,  ,  ,  ,  ,  ,  ,  , 308 , 249 , 327 ," 5,180 "," 4,141 "," 5,506 ", 90 ,  ,  ,  ,  ,  ,  ,
,1984,  ,  ,  ,  ,  ,  , 38 ,  ,  ,  ,  ,  ,  ,  , 294 , 241 , 288 ," 4,899 "," 3,863 "," 4,788 ", 210 ,  ,  ,  ,  ,  ,  ,
,1985,  ,  ,  ,  ,  ,  , 57 , 467 ,,  ," 9,509 ",  ,  , 7 , 276 , 232 , 278 ," 4,800 "," 3,899 "," 4,839 ", 600 ,  ,  ,  ,  ,  ,  ,
,1986,  ,  ,  ,  ,  ,  , 78 , 340 ,,  ," 6,630 ",  ,  , 14 , 247 , 225 , 251 ," 4,230 "," 3,744 "," 4,316 "," 1,020 ",  ,  ,  ,  ,  ,  ,
,1987,  ,  ,  ,  ,  ,  , 102 , 253 ,,  ," 7,393 ",  ,  , 44 , 240 , 216 , 245 ," 4,091 "," 3,546 "," 4,203 "," 1,270 ",  ,  ,  ,  ,  ,  ,
,1988,  ,  ,  ,  ,  ,  , 132 , 243 ,,  ," 8,055 ",  ,  , 104 , 202 , 191 , 217 ," 3,141 "," 3,134 "," 3,153 "," 1,450 ",  ,  ,  ,  ,  ,  ,
,1989,  ,  ,  ,  ,  ,  , 164 , 233 ,,  ," 7,273 ",  ,  , 134 , 187 , 181 , 210 ," 2,944 "," 2,897 "," 3,188 "," 1,580 ",  ,  ,  ,  ,  ,  ,
,1990, 797 , 468 ," 1,456 "," 18,137 "," 18,137 "," 18,137 ", 201 , 156 ,,  ," 5,229 ",  ,  , 194 , 205 , 184 , 229 ," 3,319 "," 3,249 "," 3,537 "," 1,730 ",  ,  ,  ,  ,  ,  ,
,1991, 705 , 421 ," 1,271 "," 17,015 "," 17,015 "," 17,015 ", 244 , 165 ,,  ," 6,014 ",  ,  , 274 , 196 , 159 , 239 ," 3,264 "," 2,918 "," 3,507 "," 1,930 ",  ,  ,  ,  ,  ,  ,
,1992, 573 , 356 ," 1,009 "," 15,276 "," 15,276 "," 15,276 ", 294 ,  ,  ,  ,  ,  ,  , 354 , 193 , 168 , 230 ," 3,162 "," 2,873 "," 3,245 "," 2,170 ",  ,  ,  ,  ,  ,  ,
,1993, 488 , 312 , 839 ," 14,383 "," 14,383 "," 14,383 ", 350 ,  ,  ,  ,  ,  ,  , 354 , 200 , 124 , 223 ," 3,215 "," 1,720 "," 3,187 "," 2,290 ",  ,  ,  ,  ,  ,  ,
,1994, 459 , 297 , 784 ," 13,423 "," 13,423 "," 13,423 ", 402 ,  ,  ,  ,  ,  ,  , 354 , 193 , 102 , 226 ," 2,976 "," 1,445 "," 3,133 "," 2,990 ",  ,  ,  ,  ,  ,  ,
,1995, 440 , 286 , 747 ," 12,644 "," 12,644 "," 12,644 ", 466 ,  ,  ,  ,  ,  ,  , 354 , 196 , 110 , 208 ," 2,720 "," 2,078 "," 2,889 "," 3,145 ",  ,  ,  ,  ,  ,  ,
,1996, 418 , 274 , 707 ," 12,236 "," 12,236 "," 12,236 ", 522 ,  ,  ,  ,  ,  ,  , 354 , 178 , 145 , 201 ," 2,588 "," 2,138 "," 2,815 "," 4,780 ",  ,  ,  ,  ,  ,  ,
,1997, 812 , 539 ," 1,358 "," 17,236 "," 12,373 "," 23,099 ", 605 ,  ,  ,  ,  ,  ,  , 354 , 158 , 97 , 193 ," 2,448 "," 2,361 "," 2,783 "," 6,070 ",  ,  ,  ,  ,  ,  ,
,1998, 605 , 269 ," 1,276 "," 13,306 "," 9,003 "," 25,427 ", 705 ,  ,  ,  ,  ,  ,  , 354 , 139 , 83 , 239 ," 2,433 "," 1,458 "," 2,641 "," 7,640 ",  ,  ,  ,  ,  ,  ,
AR4,1999, 491 , 268 , 939 ," 9,432 "," 5,891 "," 20,278 ", 831 ,  ,  ,  ,  ,  ,  , 354 , 134 , 95 , 204 ," 2,270 "," 1,460 "," 2,655 "," 10,150 ",  ,  ,  ,  ,  ,  ,
,2000, 608 , 359 ," 1,104 "," 12,559 "," 8,725 "," 20,740 "," 1,000 ",,,,,,, 354 , 142 , 75 , 165 ," 2,217 ", 981 ," 2,502 "," 13,930 ", 121 , 107 , 166 ," 2,561 "," 2,073 "," 2,725 ", 40 
,2001, 560 , 429 , 823 ," 12,017 "," 9,429 "," 16,403 "," 1,238 ",,,,,,, 354 , 126 , 62 , 164 ," 2,075 "," 1,174 "," 3,239 "," 18,450 ", 120 , 114 , 121 ," 2,386 "," 2,340 "," 2,617 ", 50 
,2002, 539 , 398 , 820 ," 11,676 "," 9,175 "," 15,026 "," 1,509 ",,,,,,, 354 , 119 , 67 , 145 ," 2,055 "," 1,071 "," 2,422 "," 24,930 ", 117 , 117 , 117 ," 3,439 "," 3,439 "," 3,439 ", 100 
,2003, 464 , 355 , 682 ," 10,524 "," 8,443 "," 13,090 "," 1,864 ",,,,,,, 354 , 106 , 61 , 146 ," 1,955 "," 1,407 "," 2,315 "," 31,650 ", 108 , 104 , 109 ," 2,932 "," 2,708 "," 2,972 ", 250 
,2004, 439 , 329 , 678 ," 9,972 "," 8,075 "," 12,089 "," 2,464 ",,,,,,, 354 , 111 , 69 , 137 ," 1,967 "," 1,108 "," 2,621 "," 39,294 ", 135 , 96 , 207 ," 3,120 "," 2,154 "," 6,080 ", 505 
,2005, 435 , 326 , 662 ," 9,690 "," 8,112 "," 11,505 "," 3,564 ",,,,,,, 354 , 104 , 66 , 167 ," 1,859 "," 1,170 "," 2,734 "," 47,620 ", 105 , 105 , 105 ," 2,423 "," 2,423 "," 2,423 ", 600 
AR5,2006, 460 , 337 , 706 ," 10,000 "," 8,216 "," 11,789 "," 4,388 ",,,,,,, 354 , 105 , 60 , 134 ," 1,896 "," 1,262 "," 2,722 "," 59,322 ", 108 , 108 , 112 ," 2,731 "," 2,079 "," 2,715 ", 690 
,2007, 448 , 342 , 694 ," 9,799 "," 8,180 "," 11,734 "," 5,888 ",,,,,,, 355 , 98 , 61 , 131 ," 1,922 "," 1,088 "," 2,557 "," 74,257 ", 178 , 125 , 308 ," 4,454 "," 2,914 "," 6,882 ", 775 
,2008, 436 , 312 , 671 ," 9,560 "," 8,015 "," 12,181 "," 8,388 ",,,,,,, 429 , 88 , 57 , 121 ," 2,018 "," 1,181 "," 2,780 "," 94,239 ", 135 , 124 , 155 ," 3,874 "," 3,334 "," 4,800 "," 1,150 "
,2009, 368 , 238 , 589 ," 8,673 "," 6,777 "," 11,695 "," 15,088 ",,,,,,, 484 , 87 , 57 , 128 ," 2,051 "," 1,277 "," 2,809 "," 121,303 ", 157 , 132 , 202 ," 4,401 "," 3,085 "," 5,934 "," 1,450 "
,2010, 378 , 188 , 514 ," 4,702 "," 3,367 "," 7,906 "," 22,388 ", 346 , 276 , 390 ," 8,987 "," 4,629 "," 12,398 ", 663 , 86 , 59 , 117 ," 1,949 "," 1,229 "," 2,752 "," 158,803 ", 161 , 114 , 204 ," 4,650 "," 3,017 "," 6,427 "," 2,100 "
,2011, 286 , 162 , 484 ," 3,936 "," 2,576 "," 7,686 "," 40,277 ", 348 , 252 , 477 ," 10,588 "," 7,882 "," 17,614 ", 969 , 83 , 58 , 125 ," 1,939 "," 1,238 "," 2,795 "," 177,794 ", 175 , 114 , 222 ," 5,326 "," 3,012 "," 6,782 "," 3,056 "
,2012, 223 , 133 , 403 ," 2,985 "," 2,060 "," 6,575 "," 72,030 ", 353 , 234 , 464 ," 8,183 "," 6,131 "," 12,945 "," 1,705 ", 83 , 58 , 111 ," 1,972 "," 1,252 "," 2,908 "," 216,244 ", 154 , 115 , 209 ," 4,741 "," 3,105 "," 5,890 "," 3,776 "
AR6,2013, 175 , 120 , 366 ," 2,615 "," 1,679 "," 5,278 "," 101,511 ", 268 , 194 , 361 ," 6,419 "," 3,528 "," 9,471 "," 2,567 ", 82 , 57 , 117 ," 1,828 "," 1,203 "," 3,012 "," 261,575 ", 177 , 100 , 277 ," 5,738 "," 2,227 "," 7,841 "," 5,334 "
,2014, 164 , 97 , 367 ," 2,364 "," 1,405 "," 5,174 "," 135,740 ", 243 , 152 , 293 ," 5,510 "," 2,800 "," 7,152 "," 3,842 ", 76 , 59 , 122 ," 1,781 "," 1,217 "," 3,001 "," 292,749 ", 183 , 137 , 214 ," 5,245 "," 2,233 "," 6,485 "," 7,171 "
