"Country or Area","Unit","1995","1995 Footnotes","1996","1996 Footnotes","1997","1997 Footnotes","1998","1998 Footnotes","1999","1999 Footnotes","2000","2000 Footnotes","2001","2001 Footnotes","2002","2002 Footnotes","2003","2003 Footnotes","2004","2004 Footnotes","2005","2005 Footnotes","2006","2006 Footnotes","2007","2007 Footnotes","2008","2008 Footnotes","2009","2009 Footnotes","2010","2010 Footnotes","2011","2011 Footnotes","2012","2012 Footnotes","2013","2013 Footnotes","2014","2014 Footnotes","2015","2015 Footnotes","2016","2016 Footnotes"
"Algeria","Thousand units","13","","15","","2","","21","","10.1","","12.9","","7.2","","17","","14.7","","10.1","","9.4","","0.5","","1.7","","8.8","","21.8","","24.7","","18.9","","37","","55.2","","56.1","","28.2","","",""
"Argentina","Thousand units","58","","43.498","","319.069","","319.956","","207.508","","303.625","","312.584","","106.364","","147.698","","359.2","","588.979","","751.901","","1005.852","","1373.662","","570.897","","1138.006","","491.245","","1548.83","","1652.856","","1432.759","","1787.993","","1141.636",""
"Austria","Thousand units","11","","11.415","","10.183","","11.216","","11","","10","","12","","12","","10","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Azerbaijan","Mil. USD","","","","","","","","","","","0.547589586075356","","0.311387104278889","","0.154294927897123","","0.183272140801877","","0","","0.370205442866194","","0.604402061682588","","0","","0","","0","","0.872115659148129","","1.64622314621792","","0.254567784305553","","0.382389156616178","","0.0764967058606039","","0.00976025096197546","","0",""
"Azerbaijan","Thousand units","64","","79","","36","","10","","2","","2.92","","1.78","","0.92","","1.1","","0.2","","1.1","","1.6","","0","","0","","0","","2.2","","4.6","","5.6","","7.4","","1.3","","0.2","","0",""
"Belarus","Thousand units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.7","","5.3","","3","","2.5","","2.3","","2.5",""
"Belgium","Thousand units","","","","","","","","","118.6","1","127.7","1","155.3","1","175.8","1","182.3","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bosnia and Herzegovina","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.802485908966431","","","","",""
"Bosnia and Herzegovina","Thousand units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.182","","","","",""
"Brazil","Mil. USD","","","","","","","","","","","541.964165433458","","424.643923018468","","358.599370812477","","486.627037699749","","569.039974513005","","832.000989510736","","823.58761580636","","1120.87494896147","","1205.79207823605","","1093.095442665","","1890.65614851303","","1948.06268974587","","1853.45321070747","","2222.90494749584","","2595.60007643046","","1558.76766536703","","",""
