"Country or Area","Unit","1995","1995 Footnotes","1996","1996 Footnotes","1997","1997 Footnotes","1998","1998 Footnotes","1999","1999 Footnotes","2000","2000 Footnotes","2001","2001 Footnotes","2002","2002 Footnotes","2003","2003 Footnotes","2004","2004 Footnotes","2005","2005 Footnotes","2006","2006 Footnotes","2007","2007 Footnotes","2008","2008 Footnotes","2009","2009 Footnotes","2010","2010 Footnotes","2011","2011 Footnotes","2012","2012 Footnotes","2013","2013 Footnotes","2014","2014 Footnotes","2015","2015 Footnotes","2016","2016 Footnotes"
"Albania","Mil. USD","","","","","","","","","","","","","","","","","","","25.5925149811364","","23.930048165213","","29.6748194233068","","34.7481276725296","","34.6386997251671","","22.3293533711838","","26.3651507748924","","25.2807477996906","","59.8347381357009","","37.6554362988719","","55.183563377808","","53.0890037701752","","52.0795038884514",""
"Albania","Thousand hectolitres","89","","9","","151","","93","","87","","86","","117","","150","","144","","298.3","","286.2","","347.8","","365.88","","330.2","","249.2","","327.2","","311.03917","","772.0263","","488.40112","","776.096","","891.618","","862.026",""
"Algeria","Thousand hectolitres","402","","377","","370","","382","","382.6","","452.8","","434.6","","283","","166","","124.3","","123.6","","73.3","","78.3","","66.7","","37.1","","14","","8.9","","3.6","","0","","0","","0","","",""
"Angola","Thousand hectolitres","280","1","797","1","1150","1","1288","1","1609","1","","","","","","","","","","","","","","","136.06075","","157.1926405","","54.9023975","","165.001","","165.426","","176.1758825","","172.504","","177.252","","169.522","","156.638328",""
"Argentina","Thousand hectolitres","10913","","11615","","12687","","12395","","12448","","12685","","12390","","11990","","12950","","13410","","13960","","14825","","15850","","18190","","18640","","","","","","","","","","","","","","",""
"Armenia","Thousand hectolitres","53","","29","","50","","133","","84","","79","","100","","71","","73","","88","","108","","126","","116","","105","","108","","154","","147","","137","","198","","237","","207","","185",""
"Australia","Thousand hectolitres","17880","2","17430","3,2","17350","3,2","17570","3,2","17380","3,2","17680","3,2","17450","3,2","17440","3,2","17270","3,2","17360","3,2","16850","3,2","17140.91","3","17067.18","3","16772.1","3","","","","","","","","","","","","","","","",""
"Austria","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1031.16269614691","4"
"Austria","Thousand hectolitres","9767","","9445","","9303","","8837","","8884","","8725","","8528","","8745","","8980","","","","","","","","","","","","","","","","","","","","","","","","","","9075.52694","4"
"Azerbaijan","Mil. USD","","","","","","","","","","","3.12908334900203","","6.33511694912222","","6.06893383062017","","6.71997849606881","","10.3796140309994","","16.3948124697886","","21.1540721588906","","29.3663918398621","","45.1547175297239","","50.1378895639372","","49.3368287175227","","45.5877178952653","","57.1504675765966","","61.8195803196155","","66.0421560596547","","41.1882590595364","","21.6829806561749",""
"Azerbaijan","Thousand hectolitres","22","","13","","16","","12","","69","","71.1","","116.6","","125.1","","133","","183.8","","249","","309.1","","327.5","","324.8","","344","","376.9","","375.3","","484.1","","517.6","","514.9","","419.7","","326.3",""
"Barbados","Thousand hectolitres","74","","76","","75","","87","","76","","68.63","","66.71","","67.65","","68.75","","79.82","","87.05","","88.54","","84.54","","71.43","","70.98","","77.42","","81.79","","76.52","","76.93","","76.62","","76.56","","",""
"Belarus","Thousand hectolitres","1518","","2013","","2413","","2604","","2728","","2371","","2174","","2026","","2056","","2272","","2715","","3322","","3556","","3544","","3370","","3989","","4724","","4296","","4229","","4324","","4071","","4320",""
"Belgium","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2793.73650069049","4"
"Belgium","Thousand hectolitres","15110","","14648","","14758","","14763","","15093.9","5","15508.8","5","15067.9","5","15063","5","15923.8","5","","","","","","","","","","","","","","","","","","","","","","","","","22940.88608","4"
"Belize","Thousand hectolitres","49","","41","","37","","42","","66","","92","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Benin","Thousand hectolitres","330.439","6","349.016","6","363.867","6","328.535","6","346.621","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bolivia (Plurinational State of)","Mil. USD","139.781716926399","","117.053272540514","","151.115523757714","","143.009243575473","","123.184738397308","","","","","","","","","","","","","","","","","","","","","","","","","","479.805001897602","","","","","","","","",""
"Bolivia (Plurinational State of)","Thousand hectolitres","175","","160","","187","","186","","166","","","","","","","","","","","","","","","","","","","","","","","","","","3561.015015392","","","","","","","","",""
"Bosnia and Herzegovina","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","68.5253774741935","","","","64.0781423078868","4"
"Bosnia and Herzegovina","Thousand hectolitres","","","536.631","","745.212","","843.939","","975.193","","675.59","8","479.878","8","652.435","8","1315.85","7","","","","","","","","","","","","","","","","","","","","","798.782","","","","917.124",""
"Botswana","Thousand hectolitres","1366","","1351","","1005","","1019","","1591","","1976","","1692","","1396","","1198","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Brazil","Mil. USD","","","","","","","","","","","3008.46222523757","","2565.641647221","","2468.92369474147","","2565.87164753261","","3008.86561075539","","4100.45515321407","","5177.7136443875","","6720.55695455111","","7455.48233181247","","8082.92967963194","","10597.8665249899","","11888.5708358023","","10883.8837317138","","8444.06544022353","","9859.60529403294","","7823.47329795558","","",""
"Brazil","Thousand hectolitres","67284","","63559","","66582","","66453","","62491","","87881.75","","91371.94","","79883.38","","76920.98","","86632.76","","92164.44","","100176.19","","100202.99","","110520.66","","125763.21","","132431.65","","137434.57","","142199.76","","135750.3","","144571.95","","140274.17","","",""
"Bulgaria","Mil. USD","","","","","","","83.5057256335123","","99.853334906474","","90.8973166452767","","92.9185818091661","","96.2938889490726","","116.00381292798","","133.324113512362","","148.653227172624","","178.288939244944","","241.419124593261","","311.865082827476","","289.331350746135","","269.393694969174","","282.269284506114","","278.571658993376","","287.737236119226","","277.442468844533","","242.00861482657","","242.641340420401",""
"Bulgaria","Thousand hectolitres","4331","","4402","","3031","","3765","","3890","","3977","","4097","","3888","","4355","","3997","","4287","","4778","","5284","","5409","","4953","","4893","","4913","","5156","","5027","","4794","","4990","","5046",""
"Burkina Faso","Mil. USD","0.0210358271310587","6","0.0234580060417411","6","0.0202169251273569","6","0.0288159146778866","6","0.0188403708850665","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Burkina Faso","Thousand hectolitres","372","6","435","6","460","6","501","6","516","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Burundi","Thousand hectolitres","1404.2","","1227.9","","1161.2","","1036.3","","1084.1","","891.6","","702.2","","752.3","","876.2","","973.1","","1012.5","","1220.3","","1289.401","","1368.7","","1366.467","","","","","","","","","","","","","","",""
"Cameroon","Thousand hectolitres","2932.76","","3124","6","3124","","3370","","3373","","3340","","3740","","4196","","4597","","4287","","4439","","4035","","4488.172","","4191.771","","5015.831","","","","","","","","","","","","","","",""
"Canada","Mil. USD","2382.39778399677","","2342.70200628056","","2441.46996160188","","2355.16477575529","","","","","","","","2499.55660153931","","2739.22803227575","","3333.54043592747","9","3969.4219718372","","3990.78484553745","","4180.24716836355","","4116.99655120708","","4025.89253712615","","4292.52548545863","","5214.59323184494","","4873.95617098429","","4680.41372481946","","4115.51184604415","10","3692.05517010717","10","3626.15159191126","10"
"Canada","Thousand hectolitres","22965.785","","21302.769","","21815.7","","24352","","24605","","24515","","25551","","25368","","19299.047","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Central African Republic","Thousand hectolitres","269","","175.4","6","208.6","6","218.8","6","242.5","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Chad","Mil. USD","0.0106180841709153","6","0.0140748036250446","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Chad","Thousand hectolitres","95","","133.6","6","123.2","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Chile","Mil. USD","","","","","","","","","","","","","","","","","","","","","330.023039016641","","410.849651436958","","470.460991742655","","544.924106246309","","497.898146343716","","587.992983819996","","835.915458070593","","229.108693385206","","735.480868173428","","152.011691371362","","25.2960185951679","","37.8735276479058",""
"Chile","Thousand hectolitres","3551","","3459","","3640","","3666","","3343","","3221","","3374","","3401","","3490","","","","4753.59","","4518.12","","5500.63","","7090.76","","6677.64","","5582.99","","6539.152","","2327.7","","5569.587","","1717.442","","220.327837508","","224.995",""
"China","Thousand hectolitres","128406","11","137664","11","154610","11","162693","11","","","","","","","","","254048","","294859","","312605","","354358","","395407","","415691","","416218","","449016","","483450","","477858","","498279","","493629","","471560","","450644",""
"China, Hong Kong Special Administrative Region","Thousand hectolitres","983","","897.37","","894.39","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Colombia","Thousand hectolitres","20524.738","","","","18290","","16461","","14213","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Congo","Mil. USD","49.4422074064187","","48.6773173704495","","31.4647313528737","","46.925869526036","","43.7502647009514","","41.4339649500017","","46.6878611013157","","59.16455943776","","67.2435975475642","","74.6018043786802","","","","","","","","","","","","","","","","","","","","","","","","",""
"Congo","Thousand hectolitres","505","","509.5","","341.6","","493.5","","480.2","","525.8","","623","","660.6","","657.8","","674.4","","","","","","","","","","","","","","","","","","","","","","","","",""
"Croatia","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","312.703446931089","4"
"Croatia","Thousand hectolitres","3166","","3292","","3607","","3759","","3663","","3847","","3799","","3624","","3679","","3606","","3496","","3689","","3810","","3880","","3674","","3439","","3738","","3625","","3458","","3417","","3396","","3366",""
"Cuba","Thousand hectolitres","1328","","1504","","1639","","1759","","2009","","2136","","2197","","2331","","2313","","2221","","2255","","2298","","2459","","2508","","2474","","2586","","2589","","2533","","2601","","2571","","2689","","2627",""
"Cyprus","Mil. USD","","","","","","","","","","","","","","","40.9393122572946","","46.3818968725128","","51.2163288855791","","49.5614344050258","","52.2971584693222","","63.3616896450572","","64.5549033447572","","55.5023526394671","","51.4313749104077","","49.9391659689159","","45.3556338683985","","50.8524637491573","","50.28320876345","","42.1445375707362","","46.4594778445379",""
"Cyprus","Thousand hectolitres","352","","331","","333","","365","","405","","409","","404","","383","","367","","371","","377","","374","","398","","427","","357","","343","","322","","330","","329","","328","","342","","376",""
"Czechia","Mil. USD","","","","","","","","","","","","","496.196584254542","","603.906377151766","","771.845864794924","","905.417367873228","","1018.01460229783","","1136.4167776151","","1328.4440137317","","1620.05271893","","1386.6128101558","","1272.52496956527","","1649.58955144007","","1325.29693826572","","1644.10020168775","","1318.41503071179","","1071.43655673561","","1107.31320292182","4"
"Czechia","Thousand hectolitres","17687","","18057","","18558","","18290","","17945","","17796","","17734","","17987","","18216","","18596","","18885","","20134","","18627","","19213","","18053","","16896","","17127","","18024","","18145","","18182","","18540","","18682.584","4"
"Denmark","Mil. USD","1126.69544418728","","875.812822649326","","776.580620845688","","691.218297443897","","673.141979060353","","565.626432701054","","523.083198688425","","616.586097638958","","836.858132006141","","927.680759710169","","901.731725171797","","879.818736587625","","1017.29598476282","","1063.53429859996","","969.422916692574","","883.663357974422","","953.287027457846","","884.096932796014","","916.450917927207","","696.612600478897","","369.052227144315","","315.720727882507","4"
"Denmark","Thousand hectolitres","9903","","9591","","9181","","8044","","8205","","7455","","7233","","8202","","8352","","8550","","8493","","7915","","8015.72714","","6474.02","","6037.97","","6335.35","","6589.95","","6080.21","","6039.69","","6117.08","","3984.59","","3369.12107","4"
"Dominica","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.825925925925926",""
"Dominica","Thousand hectolitres","2.61444","","14.0809","","11.09768","","11.47","","8.39","","11","","9.41","","10.49","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dominican Republic","Mil. USD","228.847095611718","","307.301760755015","","374.881880904772","","389.82116068664","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dominican Republic","Thousand hectolitres","2082","","","","2593","","2993","","","","","","","","4015.02","","4026.46","","3898.2","","4679.48","","4891.77","","4317.46","","4519.73","","","","","","","","","","","","","","","","",""
"Ecuador","Mil. USD","","","","","","","","","","","","","","","","","","","378.93250484","","441.12225061","","223.82696716","","274.4179674","","276.979","","295.979393","","304.2","","","","436.4","","434","","501.1","","487.983101","","456.081003",""
"Ecuador","Thousand hectolitres","3201","","2163","","238","","633","","555","","353","","","","","","","","8223.92087","","9342.63672","","4446.35968","","4686.65019","","4458.73698","","3924.08810871","","5251.7","","","","6064.7","","4101.5","","4855.5","","6168.911","","4674.45501",""
"Egypt","Mil. USD","","","","","","","","","29.0856343420956","","21.1477369277516","","8.62975081802165","","","","","","","","","","","","","","27.6200705846248","","27.0535770242363","","","","31.6880949034005","","20.6404878557692","","","","9.23532284056759","","8.49847933459083","","",""
"Egypt","Thousand hectolitres","360","","380","","","","","","351.661","","261.47","","122.092","","","","","","","","","","","","","","5980","","5980","","","","6260.5","","4150.03","","","","","","","","",""
"El Salvador","Mil. USD","","","47.3808","","83.70582857","","59.22731429","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Estonia","Mil. USD","","","","","","","","","","","","","","","","","","","60.3692716636657","","75.4044097553453","","84.1975345999388","","100.551144079417","","114.732482022051","","101.71059557806","","90.5406742538293","","105.650167398887","","109.213282685945","","116.841169971954","","123.386237862819","","90.943475810536","","88.580628694331",""
"Estonia","Thousand hectolitres","492","","459","","543","","744","","957","","950","","1015","","1044","","1040","","1189.1","","1345.96","","1410.5","","1388.4","","1275.1","","1220.5","","1257.5","","1346.5","","1427.6","","1442.1","","1636.6","","1447.1","","1419.08","4"
"Ethiopia","Thousand hectolitres","724","12","876","12","843","12","831","12","921","12","1111","12","1605","12","1812","12","2123","12","","","","","","","","","","","","","","","4015.6","","4553.1","","6378.9","","7462.2","","5793.116","","10278.588",""
"Fiji","Thousand hectolitres","150","","170","","170","","170","","185","","179","","180","","200","","150","","200","","220","","220","","190","","190","","200","","230","","230","","320","","240","","240","","250","","270",""
"Finland","Mil. USD","","","","","318.392301935785","","342.676324939236","","332.400312704529","","274.552949332851","","280.086979087435","","312.455394325922","","360.031262902766","","399.818715737585","","344.475948863354","","366.309173724008","","414.706335220954","","461.420343852927","","444.541156975183","","401.300610250394","","428.161204721804","","380.319196176939","","396.994429791072","","327.703233893724","","266.176026762544","","259.945651138459",""
"Finland","Thousand hectolitres","4702","","4980","","4840","","4341","","4733","","4574","","4650","","4777","","4606","","4948","","4527","","4557","","4499","","4412","","4448","","4138","","4368","","4154","","4187","","3629","","4034","","4115",""
"France","Mil. USD","","","","","","","","","","","1544.13001034181","","1560.61243299836","","1647.9198658575","","2074.41210412315","","2170.44445686117","","2183.75366860668","","","","","","","","","","","","","","","","","","","","","","2275.98006346497","4"
"France","Thousand hectolitres","18311","","17140","","17010","","16551","","16623","","18353","","18539","","17899","","17989","","17477","","17199","","","","","","","","","","","","","","","","","","","","","","18890.21","4"
"Gabon","Thousand hectolitres","816.419","","","","801","","847","","778","","812","","867","","792","","754","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Georgia","Mil. USD","","","","","","","","","","","","","","","","","","","18.1566796233011","","24.2183513315956","","39.1477730140603","","45.4357250110994","","50.6442326504373","","47.5310465751733","","59.6967472566519","","60.1246813943729","","79.0306374807705","","77.0733760182764","","85.9731923568108","","51.6449337287033","","52.0550549810392",""
"Georgia","Thousand hectolitres","65","","48","","79","","97","","126","","234","","257","","273","","284","","476.2","","586.4","","733.7","","708.7","","624.6","","685.4","","827.9","","787.3","","990.3","","1009","","1190","","860.6","","1023.7",""
"Germany","Mil. USD","10021.504370322","","9468.02879767614","","8258.88802523159","","7873.55334098369","","7625.86766488446","","6420.82701180196","","6270.34805269572","","6519.6955426481","","7727.95775219353","","8087.79803939829","","7746.01715539969","","7867.82589692955","","8236.21305503755","","8816.8355673645","","7968.63393406637","","7444.23164235084","","7956.23865597174","","7454.68910741691","","7409.14169854733","","7700.35680925137","","6185.98530383154","","6132.9721028274",""
"Germany","Thousand hectolitres","111875.418","","108937.528","","108729.476","","106992.976","","107479.337","","106877.399","","106371.955","","102132.59","","98933.419","","97748.24","","94806.253","","96936.555","","94780.681","","91123.228","","88004.566","","86738.027","","87084.125","","86083.143","","83837.937","","84279.601","","83595.819","","83138.54",""
"Greece","Mil. USD","388.115937924026","","426.194767955508","","373.473968080709","","381.823644747275","","392.283108549178","","327.696966640808","","326.215236942014","","385.557654137601","","452.746082590871","","451.454020226854","","","","","","","","","","","","","","","","","","407.129297933727","","458.604226989353","","367.946745922767","","430.853913676682",""
"Greece","Thousand hectolitres","4039.76394","","3769.34803","","3797.34551","","4138.87727","","4342.42078","","4422.52449","","4494.02855","","4548.07586","","4090.21585","","3889.90008","","","","","","","","","","","","","","","","","","3257.5347","","3664.46445","","3627.52688","","4237.19022",""
"Guatemala","Thousand hectolitres","1471","","1655","","1303","","1363","","1443","","1406","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
