"Country or Area","Unit","1995","1995 Footnotes","1996","1996 Footnotes","1997","1997 Footnotes","1998","1998 Footnotes","1999","1999 Footnotes","2000","2000 Footnotes","2001","2001 Footnotes","2002","2002 Footnotes","2003","2003 Footnotes","2004","2004 Footnotes","2005","2005 Footnotes","2006","2006 Footnotes","2007","2007 Footnotes","2008","2008 Footnotes","2009","2009 Footnotes","2010","2010 Footnotes","2011","2011 Footnotes","2012","2012 Footnotes","2013","2013 Footnotes","2014","2014 Footnotes","2015","2015 Footnotes","2016","2016 Footnotes"
"Algeria","Thousand units","15","","6","","16","","14","","9.1","","2.9","","7.7","","5.2","","4.2","","2.7","","0.782","","1.41","","0.3","","0.25","","0.21","","0.177","","0.303","","0.214","","0.272","","0.243","","0.068","","",""
"Armenia","Thousand units","8","","7","","6","","3","","1","","0.4","","0.4","","0.3","","0.2","","0.2","","0.2","","0.4","","0.2","","0.4","","0.5","","0.4","","0.3","","0.5","","0.7","","0.6","","0.6","","0.4",""
"Azerbaijan","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","0.00111926307718998","","0.00116533300951834","","0","","0","","0","","0","","0","","0","","0","","0","","",""
"Azerbaijan","Thousand units","4","","2","","0","","0","","0","","","","","","","","","","","","","","380","","200","","0","","0","","0","","0","","0","","0","","0","","0","","",""
"Bangladesh","Mil. USD","","","","","","","","","","","","","0.385330307012304","1,2","0.382462686567164","1,2","0.408494989857273","1,2","0.463783685235592","1,2","0.596028368904578","1,2","0.442805284533778","1,2","","","","","","","","","","","","","","","","","","","",""
"Bangladesh","Thousand units","13","1","13","1","13","1","13","1","13","1","13","3,1","13.132","1,2","13.136","1,2","13.381","1,2","14.716","1,2","20.443","1,2","27.638","1,2","","","32","1,2","30","1,2","31","1,2","","","","","","","","","","","",""
"Belarus","Thousand units","271.07","","280.073","","317.13","","451.752","","508.001","","585.544","","766.579","","874.922","","774.638","","776.293","","440.824","","458.049","","373.754","","250.282","","130.246","","133.612","","176.378","","184.443","","193.585","","107.236","","67.807","","64.72",""
"Belgium","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60.3976408757426","4"
"Belgium","Thousand units","108","","404","","348","","239","","209.6","5","186.7","5","242.5","5","212.5","5","173.3","5","","","","","","","","","","","","","","","","","","","","","","","","","70.86","4"
"Bosnia and Herzegovina","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.700733680441525","","","","0.641675787141046",""
"Bosnia and Herzegovina","Thousand units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.956","","","","5.678",""
"Brazil","Mil. USD","","","","","","","","","","","143.183255576754","","90.3929103472653","","96.5173635855276","","130.517813127301","","153.909633698724","","193.379316376383","","174.719715353096","","216.831201085398","","216.861685419809","","202.598592157965","","255.630674144266","","351.278090306839","","344.644800186692","","322.163859818986","","281.628794986156","","221.16913043193","","",""
"Brazil","Thousand units","3200","","2969","","2780","","2055","","1743","","2967.44","","2809.128","","2634.748","","3277.032","","3690.102","","3371.933","","3053.305","","3281.985","","2850.427","","2835.297","","3362.938","","3880.587","","4104.474","","4878.461","","3588.819","","5178.356","","",""
"Bulgaria","Mil. USD","","","","","","","1.13613232154438","","1.6336458437327","","1.4129116576986","","","","8.18498056067117","","16.159735134246","","23.4904390474161","","26.6813484668813","","36.5556458164093","","44.7849970259963","","54.5950864422201","","51.1839244563188","","63.6256465505084","","88.1647135485091","","114.319501568036","","118.759472454869","","143.808810256824","","146.225345726593","","157.839605937296","4"
"Bulgaria","Thousand units","16","","14","","19","","19.38","","30.415","","32.899","","","","141.768","","237.674","","371.822","","433.371","","468.641","","499.625","","470.709","","437.116","","534.545","","584.844","","833.632","","761.852","","883.01","","944.011","","902.864","4"
"Cameroon","Thousand units","0.801","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Canada","Mil. USD","114.394731041836","","93.4381803268872","","105.37212465544","","92.1492429004948","","91.2681630487334","","126.589949566025","","97.3035970154636","","94.24474108185","","","","","","","","","","","","","","","","","","","","","","18.5259890698607","","22.8296601845765","","","","",""
"Canada","Thousand units","1035.525","","799.487","","912.59","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Central African Republic","Thousand units","0.65","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Chad","Thousand units","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Chile","Mil. USD","","","","","","","","","","","","","","","","","","","","","12.5412198379459","","14.3596937918094","","15.9317241852312","","9.37647721841356","","0.538184318002317","","0.721447528086768","","0.443250776887638","","","","","","","","","","",""
"Chile","Thousand units","251","","276","","297","","285","","300","","372","","348","","325","","263","","","","138.832","","171.328","","147.096","","79.2","","8.3","","8","","","","","","","","","","","","",""
"China","Thousand units","44722","","33612","","29993","","23125","","23976","","29068","","29023","","39575","","54517","","85126.8","","69006.4","","78866.3","","74752","","71851.8","","57576.5","","68194.8","","71691.1","","76128.5","","75452.5","","79101.4","","68822.4","","66152.2",""
"China, Hong Kong Special Administrative Region","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.71574160673396","","","","","","","","","","","","","","",""
"Colombia","Thousand units","39","","","","50","6","79","6","54.109","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Croatia","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.330175028887902","4"
"Croatia","Thousand units","11","","18","","15","","37","","30","","18","","15","","31","","0","","","","","","","","","","0","","0","","0","","0","","0","","0","","0","","0","","31.89","4"
"Cuba","Thousand units","240.6","","168.1","","127.9","","88.9","","84.6","","86.5","","110.9","","52.4","","25.7","","27.6","","26.2","","23.2","","37.6","","53.3","","36.4","","28.2","","54.3","","60.9","","33.5","","32.9","","30.4","","42.7",""
"Czechia","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","28.0143243332953","","53.612785598134","","62.3254905789318","","61.9000157372921","","","","","","87.6516436469579","","99.8948251584895","","111.525954474286","","114.965191320697","","153.177569938089","4"
"Czechia","Thousand units","518.849","","500.525","","473.505","","395.059","","181.988","","229.377","","237","","54","","93","","","","","","207.633","","359.647","","304.634","","293.696","","","","","","308.393","","334.928","","354.718","","423.241","","425.811","4"
"Denmark","Mil. USD","46.6433233573906","","50.0747441296182","","41.5122560502367","","35.0504514865827","","25.5429859064482","","23.1803362820965","","23.4401391115449","","26.2918955161666","","31.9017032821907","","36.4701941838864","","36.5159723924488","","33.7713949878183","","35.5122380745575","","44.2436664287255","","37.4974817504632","","22.4435129332379","","4.50964819552422","","5.13908068670107","","4.15557421041607","","4.47681946117115","","3.37668171849867","","2.99730280289418","4"
