"Country or Area","Unit","1995","1995 Footnotes","1996","1996 Footnotes","1997","1997 Footnotes","1998","1998 Footnotes","1999","1999 Footnotes","2000","2000 Footnotes","2001","2001 Footnotes","2002","2002 Footnotes","2003","2003 Footnotes","2004","2004 Footnotes","2005","2005 Footnotes","2006","2006 Footnotes","2007","2007 Footnotes","2008","2008 Footnotes","2009","2009 Footnotes","2010","2010 Footnotes","2011","2011 Footnotes","2012","2012 Footnotes","2013","2013 Footnotes","2014","2014 Footnotes","2015","2015 Footnotes","2016","2016 Footnotes"
"Algeria","Thousand units","","","","","","","","","","","","","","","","","0.19","1","0.275","1","0.503","1","0.822","1","0.094","1","0.109","1","0.285","1","0.5","1","0.686","1","0.76","1","0.467","1","0.193","1","0.14","1","",""
"Argentina","Thousand units","266.656","","269.439","","425.224","","435.003","","291.277","","324.651","","227.089","","153.118","","160.583","","244.343","","299.205","","408.874","","513.232","","557.076","","498.592","","695.626","","804.415","","743.463","","764.161","","596.842","","526.657","","472.776",""
"Australia","Thousand units","300.969","","302.551","2","304.405","2","312.809","2","340.446","2","314.475","2","340.099","2","318.951","2","358.286","2","413.655","2","398.819","2","352.002","2","334.863","2","342.688","2","","","","","","","","","","","","","","","",""
"Azerbaijan","Mil. USD","","","","","","","","","","","0","","0","","0","","0","","0.122113106247052","","0.951956853084499","","4.47705230875991","","3.35615906741281","","1.58224077597415","","0.199058618616128","","0.97178602019363","","4.17887414039932","","5.60049125472216","","4.84359598380493","","16.5742862697975","","4.97772799060748","","1.25335148301589",""
"Azerbaijan","Thousand units","","","","","","","","","","","","","","","","","","","0.043","","0.271","","0.542","","0.407","","0.148","","0.018","","0.146","","0.558","","0.7","","0.463","","1.861","","0.725","","0.27",""
"Bangladesh","Mil. USD","","","","","","","","","","","","","13.8293871699916","2","14.1852542841349","2","11.4603016610135","2","9.28516748327632","2","5.0975730043811","2","6.71545461623009","2","","","","","","","","","","","","","","","","","","","",""
"Bangladesh","Thousand units","","","","","","","","","","","","","1.031","2","1.006","2","0.904","2","0.608","2","0.332","2","0.411","2","","","","","","","","","","","","","","","","","","","",""
"Belarus","Thousand units","","","0","","0.881","","1.258","","0.195","","0.046","","0","","0","","0","","0","","0","","0.036","","0.232","","0.299","","0.278","","0.364","","0.397","","0.406","","2.734","","9.649","","8.681","","10.348",""
"Bolivia (Plurinational State of)","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.30487336331693","","","","","","","","",""
"Bolivia (Plurinational State of)","Thousand units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.004","","","","","","","","",""
"Brazil","Mil. USD","","","","","","","","","","","9213.05370077178","","9616.66209618239","","9057.58447880837","","10059.2631746539","","13206.9646377669","","18943.2936988933","","22449.1088857152","","29878.1508602294","","40453.7297729627","","39207.9067175092","","47838.0257914061","","50803.1307453069","","46569.8722217491","","47764.0178826724","","39738.9979563301","","24767.7857904963","","",""
"Brazil","Thousand units","","","","","","","","","","","1319.73200002","","1467.48600002","","1443.81100002","","1472.00400002","","1875.637","","2181.948","","3705.788","","2557.342","","2620.166","","2720.845","","2940.071","","2845.697","","3015.127","","3166.72","","2665.905","","2141.86","","",""
"Bulgaria","Mil. USD","","","","","","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","","","","","","","","","0","3"
"Bulgaria","Thousand units","","","","","","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","","","","","","","","","0","3"
"Chile","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","","","222.511868597049","","127.043778286988","","0.314420770003368","","","","","","","","0.720406903218639","","","","7.86372513023214","","4.54197176701459",""
"Chile","Thousand units","","","","","","","","","","","","","","","","","","","","","","","","","11.703","","7.068","","0.009","","","","","","","","0.012","","","","0.481","","0.298",""
"Colombia","Thousand units","","","","","","","","","","","","","","","","","","","39.7","4","51.9","4","45.2","4","68","4","34.1","4","","","","","","","","","","","","","","","",""
"Croatia","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","3"
"Croatia","Thousand units","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","0","","0","","0","","0","","0","","0","","0","","0","3"
"Czechia","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","","","","","14479.312701357","","12891.5700571788","","15746.7307214012","","19277.8931718087","","19039.6123928416","","17079.8690240165","","18986.6313380706","","17648.6203567254","","18981.6931974016",""
"Czechia","Thousand units","","","","","","","","","","","","","","","","","","","","","","","","","","","939.783","","970.663","","1071.345","","1194.993","","1174.287","","1128.492","","1246.645","","1298.226","","1344.232",""
"Denmark","Mil. USD","6.98972458068316","","7.68279401920498","","6.11223401966676","","5.89554124665215","","5.44319002786601","","5.62046142729319","","8.30247689559455","","5.81933671442823","","1.49233264956469","","1.70938126106858","","1.81776948461791","","1.25244284930748","","1.37810659139516","","2.02270211124764","","","","","","","","","","","","","","","","0","3"
"Denmark","Thousand units","1.269","","1.846","","2.004","","1.458","","1.022","","0.955","","0.794","","0.742","","0.536","","0.509","","0.54","","0.332","","0.342","","0.424","","","","","","","","","","","","","","","","0","3"
"Ecuador","Mil. USD","","","","","","","","","","","","","","","","","","","310.00536802","","521.96484386","","700.37488279","","734.57538675","","441.710041","","771.133312","","0.394773","","449.35290095","","0.402","","646.325586","","752.784765","","622.895291","","289.043309",""
"Ecuador","Thousand units","","","","","","","","","","","","","","","","","","","29.228","","43.387","","51.908","","51.735","","22.34","","49.839809349058","","0.016","","32.567","","0.008","","43.575","","47.089","","36.701","","19.89",""
"Egypt","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","630.919746622591","","542.417874861934","","",""
"Egypt","Thousand units","","","","","","","","","","","","","","","","","","","63.393","5","35.93","5","36.113","5","38.776","5","40.909","5","42.627","5","43.627","5","","","","","","","38.445","","32.082","","",""
"Estonia","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","0","","0","","0","3"
"Estonia","Thousand units","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","0.002","","0.002","","0","","0","3"
"Finland","Mil. USD","","","","","98.4954603110701","","101.245277822956","","106.538561764272","","105.030322899144","","120.804288104804","","120.464730342524","","71.1033528616748","","49.6669212096379","","679.003133860618","","955.916405403061","","773.297291748644","","590.325074834062","","393.141085699927","","280.777984729648","","233.542475302802","","138.765112118613","","188.539160636562","","1125.07021191044","","1524.96681999374","","950.18431628909",""
