"Country or Area","Unit","1995","1995 Footnotes","1996","1996 Footnotes","1997","1997 Footnotes","1998","1998 Footnotes","1999","1999 Footnotes","2000","2000 Footnotes","2001","2001 Footnotes","2002","2002 Footnotes","2003","2003 Footnotes","2004","2004 Footnotes","2005","2005 Footnotes","2006","2006 Footnotes","2007","2007 Footnotes","2008","2008 Footnotes","2009","2009 Footnotes","2010","2010 Footnotes","2011","2011 Footnotes","2012","2012 Footnotes","2013","2013 Footnotes","2014","2014 Footnotes","2015","2015 Footnotes","2016","2016 Footnotes"
"Albania","Thousand metric tons","0","","0","","0","","","","0","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Argentina","Thousand metric tons","186","","155","1","149","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Armenia","Thousand metric tons","4","","4","","4","","4","","5.045","","6.245","","4.915","","3.593","","1.795","","2.81","","6.196","","4.166","","5.484","","4.476","","1.138","","0.96","","0.063","","0.082","","0.096","","0.061","","0.029","","0",""
"Azerbaijan","Mil. USD","","","","","","","","","","","8.1579673027553","","6.33511694912222","","7.40615653906191","","5.19271065605317","","5.08804609362717","","5.81751410218305","","8.93171935597602","","6.31610491158939","","9.00660134016056","","2.23940945943144","","3.73763853920627","","5.19193453807189","","0.381851676458329","","0","","0.00254989019535346","","0","","",""
"Azerbaijan","Thousand metric tons","36","","33","","23","","21","","21","","30.038","","26.4752","","25.0799","","24.9835","","28.485","","34.0046","","30.6692","","17.2287","","21.9581","","5.0602","","7.7691","","9.5088","","0.6106","","0","","0.002","","0","","",""
"Bangladesh","Mil. USD","","","","","","","","","","","","","3.40444988651296","2","2.71322208402432","2","1.18612128211778","2","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bangladesh","Thousand metric tons","7","2","8","2","7","2","8","2","6","2","7","2","7.13","2","5.911","2","2.599","2","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","192.110970714403","3"
"Belgium","Thousand metric tons","638","","593","","657","","634","","658.5","4","691.6","4","622.6","4","540.7","4","542.8","4","","","","","","","","","","","","","","","","","","","","","","","","","588.074622","3"
"Bolivia (Plurinational State of)","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.5462940698988","","","","","","","","",""
