"Country or Area","Unit","1995","1995 Footnotes","1996","1996 Footnotes","1997","1997 Footnotes","1998","1998 Footnotes","1999","1999 Footnotes","2000","2000 Footnotes","2001","2001 Footnotes","2002","2002 Footnotes","2003","2003 Footnotes","2004","2004 Footnotes","2005","2005 Footnotes","2006","2006 Footnotes","2007","2007 Footnotes","2008","2008 Footnotes","2009","2009 Footnotes","2010","2010 Footnotes","2011","2011 Footnotes","2012","2012 Footnotes","2013","2013 Footnotes","2014","2014 Footnotes","2015","2015 Footnotes","2016","2016 Footnotes"
"Argentina","Units","488973","1","461925","1","491500","1","512310","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Austria","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","2"
"Austria","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","2"
"Belgium","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","2"
"Belgium","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","2"
"Bosnia and Herzegovina","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.41988727173145","","","","",""
"Bosnia and Herzegovina","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41282","","","","",""
"Brazil","Mil. USD","","","","","","","","","","","997.171421884461","1","871.732894159231","1","661.525769994153","1","746.753128996314","1","1029.03916368208","1","1328.03268288273","1","1417.83250776128","1","1901.87837549808","1","1957.55548688491","1","2280.201940353","1","2802.87922547186","1","2815.76932333431","1","2603.63431849206","1","2755.07977591971","1","2624.97944672235","1","1695.70322194441","1","",""
"Brazil","Units","","","","","","","","","","","4349847","1","4745908","1","4213243","1","4962161","1","5419834","1","5293643","1","6104610","1","7318636","1","7022328","1","7599290","1","7861223","1","7969792","1","8280848","1","9095266","1","7701615","1","6909817","1","",""
"Bulgaria","Mil. USD","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bulgaria","Units","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Canada","Mil. USD","","","","","","","","","","","","","36.2225069181653","","","","52.389217147595","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Chile","Mil. USD","","","","","","","","","","","","","","","","","","","","","61.7769076089102","","75.2883008798573","","81.1646629673167","","85.0406000691188","","58.0369541473672","","67.5389638068982","","82.8265266738836","","67.0058605656517","","55.1205390698746","","45.3615340062076","","46.3206656462198","","35.8047839051291",""
"Chile","Units","","","","","","","","","","","","","","","","","","","","","293767","","334091","","342452","","334366","","236274","","260230","","305188","","251475","","201826","","177817","","175456","","138222",""
"Croatia","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","2"
"Croatia","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","0","","0","","0","","0","","0","","0","","0","","0","2"
"Czechia","Mil. USD","","","","","","","","","","","","","","","","","","","","","0","","0","","","","0","","0","","0","","0","","0","","0","","0","","0","","0","2"
"Czechia","Units","","","","","","","","","","","","","","","","","","","","","0","","0","","","","0","","0","","0","","0","","0","","0","","0","","0","","0","2"
"Denmark","Mil. USD","50.701429752902","","38.8613139273564","","44.8662021404478","","51.8107716062894","","47.9795706569728","","31.7164948086929","","28.8181255926854","","28.401788242914","","28.0997539849679","","35.8352477609682","","35.6290156097057","","36.2561016931576","","40.2931767772568","","16.840485818577","","0.835312698195565","","0.399354560527731","","0.733881867348124","","0.550369162496742","","0.48750855598437","","0.161069998921385","","0.0969097843322973","","0","2"
"Denmark","Units","124522","","93098","","119877","","142770","","115833","","99312","","92628","","83159","","72456","","81872","","75665","","75504","","77276","","30766","","1521","","700","","1085","","898","","751","","259","","171","","0","2"
"Ecuador","Mil. USD","","","","","","","","","","","","","","","","","","","0","","0","","0","","0","","","","","","","","","","","","","","","","","","",""
"Ecuador","Units","","","","","","","","","","","","","","","","","","","0","","0","","0","","0","","","","","","","","","","","","","","","","","","",""
"Egypt","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.4125033947034","","","","","","","","","","85.1202768290536","","43.0588839512849","","",""
"Egypt","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35338","","","","","","","","","","279000","","149000","","",""
"Estonia","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","2"
"Estonia","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","2"
