"Country or Area","Unit","1995","1995 Footnotes","1996","1996 Footnotes","1997","1997 Footnotes","1998","1998 Footnotes","1999","1999 Footnotes","2000","2000 Footnotes","2001","2001 Footnotes","2002","2002 Footnotes","2003","2003 Footnotes","2004","2004 Footnotes","2005","2005 Footnotes","2006","2006 Footnotes","2007","2007 Footnotes","2008","2008 Footnotes","2009","2009 Footnotes","2010","2010 Footnotes","2011","2011 Footnotes","2012","2012 Footnotes","2013","2013 Footnotes","2014","2014 Footnotes","2015","2015 Footnotes","2016","2016 Footnotes"
"Australia","Units","576816","","360839","1","361224","1","388324","1","414045","1","374053","1","388443","1","383729","1","406639","1","357185","1","401096","1","345409","1","366649","1","346347","1","","","","","","","","","","","","","","","",""
"Azerbaijan","Mil. USD","","","","","","","","","","","0","","0","","0.00102863285264749","","0","","0","","0","","","","","","","","","","","","","","","","","","","","","","",""
"Azerbaijan","Units","","","","","","","","","","","0","","0","","7","","0","","0","","0","","","","","","","","","","","","","","","","","","","","","","",""
"Belarus","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37495","","14209","","7164","","8665","","4860","","50452",""
"Bosnia and Herzegovina","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.177048877633338","","","","0.336260323385069",""
"Bosnia and Herzegovina","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","842","","","","2029",""
"Brazil","Mil. USD","","","","","","","","","","","5.29972360973876","","4.90014215781568","","4.70853147269076","","5.20761100316076","","6.5227876431364","","6.65217518925858","","7.26160683912607","","6.32098781495163","","26.8322976387399","","12.4715097721097","","11.9939061139865","","18.7108209286805","","","","","","","","","","",""
"Brazil","Units","","","","","","","","","","","39550","","89155","","174912","","282598","","203154","","179454","","255327","","185376","","1373957","","169246","","428169","","725139","","","","","","","","","","",""
"Bulgaria","Mil. USD","","","","","","","9.08905857235508","","8.71277783324108","","6.59358773592681","","5.95045105181852","","7.70351111592581","","12.1198013506845","","17.1416717373036","","28.5871590716585","","37.8383000555816","","45.4847626045275","","46.3684295810636","","32.7008406248703","","28.4284803736314","","34.8392819667496","","36.792483263276","","38.6816567424431","","49.5190714563593","","64.6111992745409","","69.0028986743331","2"
"Bulgaria","Units","","","","","","","153377","","166268","","121026","","124945","","157902","","296185","","265894","","429871","","528762","","498773","","496522","","369944","","329815","","376202","","424844","","446143","","573403","","843365","","923806","2"
"Canada","Mil. USD","65.9409118425872","","76.3494079437124","","85.6554762449292","","115.742684755047","","80.6336720740284","","80.1287446721118","","78.0624079573295","","98.3866668224316","","142.03616093149","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Croatia","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.87265529133404","2"
"Croatia","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","182091","","133819","","106347","","111913","","113364","","79490","","66463","","70757","","62577","2"
"Czechia","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","176526",""
"Denmark","Mil. USD","18.703345609891","","19.6874399108072","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.5197138134066","","17.563129353025","","","","","","","","",""
"Denmark","Units","80335","","86499","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56210","","55179","","","","","","","","",""
