"Country or Area","Unit","1995","1995 Footnotes","1996","1996 Footnotes","1997","1997 Footnotes","1998","1998 Footnotes","1999","1999 Footnotes","2000","2000 Footnotes","2001","2001 Footnotes","2002","2002 Footnotes","2003","2003 Footnotes","2004","2004 Footnotes","2005","2005 Footnotes","2006","2006 Footnotes","2007","2007 Footnotes","2008","2008 Footnotes","2009","2009 Footnotes","2010","2010 Footnotes","2011","2011 Footnotes","2012","2012 Footnotes","2013","2013 Footnotes","2014","2014 Footnotes","2015","2015 Footnotes","2016","2016 Footnotes"
"Algeria","Thousand units","131","1","137","1","175","1","215","1","181","1","116.5","1","63.8","1","152.5","1","149.6","1","215","1","193.9","1","164.8","1","158.7","1","132.6","1","136.1","1","129.1","1","102.5","1","71.1","1","57.5","1","47.9","1","50.6","1","",""
"Argentina","Thousand units","488.973","2","461.925","2","491.5","2","512.31","2","455.848","","405.45","","311.364","","197.231","","199.801","","321.358","","457.921","","531.853","","777.326","","590.531","","796.113","","958.065","","1065.14","","1336.795","","1239.561","","1074.906","","1371.187","","1039.99",""
"Australia","Thousand units","423","","403","","398","","441","","427","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Azerbaijan","Mil. USD","","","","","","","","","","","0.12292827442508","","0.311387104278889","","0.617179711588493","","0.814542848008341","","1.62817474996069","","2.39046943107885","","2.35045246209895","","2.30735935884631","","2.1907949205796","","1.43073382130342","","0.872115659148129","","1.01306039767256","","1.01827113722221","","1.27463052205393","","0.892461568373712","","0.780820076958037","","0.564008167357151",""
"Azerbaijan","Thousand units","25","","7","","0","","3","","1","","0.8","","2.2","","4","","5.4","","10.1","","13.4","","13.5","","11","","9.1","","5.1","","3.2","","3.9","","5.3","","6.5","","3.7","","2.8","","2.3",""
"Belarus","Thousand units","746","","754","","795","","802","","802","","812","","830","","856","","886","","953","","995","","1050","","1072","","1106","","1007","","1106","","1197","","1263","","1200","","979","","899","","988",""
"Belgium","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","3"
"Belgium","Thousand units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","3"
"Bosnia and Herzegovina","Metric tons","","","","","","","","","","","","","","","","","3225","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Brazil","Mil. USD","","","","","","","","","","","997.171421884461","2","871.732894159231","2","661.525769994153","2","746.753128996314","2","1029.03916368208","2","1328.03268288273","2","1417.83250776128","2","1901.87837549808","2","1957.55548688491","2","2280.201940353","2","2802.87922547186","2","2815.76932333431","2","2603.63431849206","2","2755.07977591971","2","2624.97944672235","2","1695.70322194441","2","",""
"Brazil","Thousand units","3242","","3776","","3592","","3034","","2796","","4349.847","2","4745.908","2","4213.243","2","4962.161","2","5419.834","2","5293.643","2","6104.61","2","7318.636","2","7022.3","2","7599.3","2","7861.2","2","7969.8","2","8280.8","2","9095.266","2","7701.615","2","6909.817","2","",""
"Bulgaria","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","0",""
"Bulgaria","Thousand units","49","","36","","21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","0",""
"Chile","Mil. USD","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","67.0058605656517","","55.1205390698746","","45.3615340062076","","46.3206656462198","","35.8047839051291",""
"Chile","Thousand units","272","","213","","268","","229","","242","","271","","280","","230","","232","","","","0","","","","","","","","","","","","","","251.5","","201.8","","177.8","","175.5","","",""
"China","Thousand units","9185","","9797","","10444","","10600","","12100","","12790","","13513","","15989","","22425.6","","30075.9","","29870.6","","35308.9","","43971.3","","47999.5","","59304.5","","72957.2","","86992","","84270","","92557.4","","87960.9","","79927.5","","84815.7",""
"Colombia","Thousand units","465","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Croatia","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","3"
"Croatia","Thousand units","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","0","","0","","0","","0","","0","","0","","0","","0","3"
"Cuba","Thousand units","","","","","","","6","","10","","9","","9","","10","","8","","7","","0.03","","0.02","","0","","0.02","","0","","0.3","","0.2","","0.7","","1.5","","0.8","","1.4","","4",""
"Czechia","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","0","3"
"Czechia","Thousand units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","0","3"
