"Country or Area","Unit","1995","1995 Footnotes","1996","1996 Footnotes","1997","1997 Footnotes","1998","1998 Footnotes","1999","1999 Footnotes","2000","2000 Footnotes","2001","2001 Footnotes","2002","2002 Footnotes","2003","2003 Footnotes","2004","2004 Footnotes","2005","2005 Footnotes","2006","2006 Footnotes","2007","2007 Footnotes","2008","2008 Footnotes","2009","2009 Footnotes","2010","2010 Footnotes","2011","2011 Footnotes","2012","2012 Footnotes","2013","2013 Footnotes","2014","2014 Footnotes","2015","2015 Footnotes","2016","2016 Footnotes"
"Algeria","Thousand units","9","","3","","4","","7","","2.1","","1.1","","3.5","","1.6","","1.2","","1.7","","1.78","","0.86","","0.56","","0.2","","0.26","","0.193","","0.103","","0.052","","0.116","","0.385","","0.291","","",""
"Argentina","Thousand units","41","1","38","1","45","1","60.125","","47.222","","45.461","","34.721","","7.278","","23.1","","63.615","","131.891","","208.977","","225.397","","283.515","","226.117","","","","","","","","","","","","","","",""
"Bangladesh","Mil. USD","","","","","","","","","","","","","18.1650340461116","2,3","21.2770867882808","2,3","13.5070070459109","2,3","16.5472023528888","2,3","28.3439074827669","2,3","28.6841760408743","2,3","","","","","","","","","","","","","","","","","","","",""
"Bangladesh","Thousand units","8","2","11","2","10","2","10","2","10","2","11","4,2","14.315","2,3","18.089","2,3","13.244","2,3","16.787","2,3","27.361","2,3","28.41","2,3","","","38","2,3","46","2,3","49","2,3","","","","","","","","","","","",""
"Belarus","Thousand units","41.768","","30.083","","22.554","","20.405","","24.446","","36.561","","19.678","","15.315","","32.83","","12.103","","5.959","","9.689","","10.695","","6.057","","0.888","","3.656","","4.751","5","5.86","","6.565","","2.787","","0.99","","0.692",""
"Brazil","Mil. USD","","","","","","","","","","","917.220527554787","","858.397714588673","","917.572373771545","","1092.00107556993","","1447.05849865399","","2184.69702177725","","3210.13251894734","","4557.41363937907","","5523.64387526584","","4237.72230270993","","5635.05155892682","","6566.87169393301","","4700.49106056447","","4525.25698368026","","4098.66894762441","","2703.64863909325","","",""
"Brazil","Thousand units","208","","290","","426","","468","","468","","620.849","","741.582","","851.972","","933.073","","1034.696","","1222.132","","1492.758","","1924.746","","2234.061","","1511.084","","1807.501","","2132.236","","1667.727","","1711.994","","1519.502","","1263.772","","",""
"Bulgaria","Mil. USD","","","","","","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","6"
"Bulgaria","Thousand units","","","","","","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","6"
"Burkina Faso","Thousand units","8.673","7","10.694","7","17.283","7","20.857","7","22.289","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Canada","Mil. USD","","","","","","","","","","","","","","","","","","","","","27.233040555224","4","37.9067259461255","4","","","","","","","","","","","","","","","","","","","",""
"Central African Republic","Thousand units","0.41","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"China","Thousand units","8254","","9168","","10334","","8291","","9782","","9602","","10415","","11988","","14613","","16749.2","","16909.3","","20545","","25083.2","","28378.7","","27587.2","","27341.7","","27355","","26030.2","","25271","","26917","","25028","","23906.9",""
"Colombia","Thousand units","135","","","","128","","114","","61.756","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Croatia","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.941719256527395","6"
"Croatia","Thousand units","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","0","","0","","0","","0","","0","","0","","0","","0.348","6"
"Czechia","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","3.76179710636666","","5.02619864982506","","5.03758664453772","","2.41305146094529","","1.93735028078489","","","","","","","","","","","","2.16858349869325",""
"Czechia","Thousand units","6.58","","8.536","","8.194","","1.337","","1.486","","4.556","","5","","","","","","","","","","1.387","","2.724","","2.026","","0.978","","0.802","","","","","","","","","","","","",""
"Denmark","Mil. USD","","","","","","","","","","","","","","","","","","","","","0","","0","","0","","","","","","","","","","","","0.688530162889539","","1.87992207811895","","3.42216391789389","","4.65824575581313","6"
"Denmark","Thousand units","0","","0","","0","","0","","0","","0","","0","","","","","","","","0","","0","","0","","","","","","","","","","","","0.363","","0.763","","1.294","","1.66","6"
"Ecuador","Mil. USD","","","","","","","","","","","","","","","","","","","0","","0","","0","","0","","","","","","","","","","4.896903","","68.842127","","58.540998","","50.871031","","19.897948",""
"Ecuador","Thousand units","","","0.294","","0","","0","","","","","","","","","","","","0","","0","","0","","0","","","","","","","","","","","","14.696","","46.174","","28.308","","14.295",""
"Egypt","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.88481138509237","","17.2451625283355","","",""
"Egypt","Thousand units","4","","8","","8","","8","","5","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.845","","16.374","","",""
"Estonia","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.143799721906381",""
"Estonia","Thousand units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.04",""
"Finland","Mil. USD","","","","","","","","","","","","","","","","","","","","","0","","0","","0","","","","0","","0","","0","","0","","0","","0","","0","","0",""
"Finland","Thousand units","","","","","","","","","","","","","","","","","","","","","0","","0","","0","","","","0","","","","","","","","","","","","","","0","6"
"France","Mil. USD","","","","","","","","","49.7514095342483","","83.3234222994426","","82.2310314896511","","","","75.4982172433155","","181.379871238507","","","","","","","","","","","","","","","","","","","","","","","","",""
"France","Thousand units","","","","","4955","","4716","","4692","","4512","","3580","","3212","","3084","","","","","","","","","","","","","","","","","","","","","","","","","","119.573","6"
"Hungary","Mil. USD","","","","","","","","","","","","","","","","","","","2.96923487946732","","","","","","","","0","","","","","","","","","","","","","","","","",""
"Hungary","Thousand units","","","","","","","","","","","","","","","","","","","0.103","","","","","","","","0","","","","","","","","","","","","","","","","",""
"Iceland","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6"
"Iceland","Thousand units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6"
"India","Mil. USD","","","","","","","","","","","","","","","","","90.0131700461007","","123.836085440612","","190.242675307639","","","","","","","","","","","","4279.72281459686","","8479.67278253886","","6969.72214716628","","7875.92361258317","","8651.07617035744","","",""
"India","Thousand units","2588","","2886","","3046","","3197","","3722","","3756","","4325","","5088","","5625","","6455","","7602","","8446","","8010","","","","","","","","","","","","","","","","","","",""
"Indonesia","Thousand units","601","","","","1443","","580","","172","","","","1239","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Iran (Islamic Republic of)","Thousand units","196","8","253","8","110","8","116","8","121","8","180","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Iraq","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","","","","","0.611105678734681","","","","","","","","","","","","","","","","",""
"Iraq","Thousand units","","","","","","","","","","","","","","","","","","","","","","","","","","","0.183","","","","","","","","","","","","","","","","",""
"Ireland","Mil. USD","0","","0.263476712910052","","0.360086394042015","","0.302338153054728","","0.240669545639873","","0.159974080236104","","0.442735188052009","","0.777435136487478","","0.829539116719539","","1.06287211388625","","","","","","","","","","","","","","","","","","","","","","","","0","6"
"Ireland","Thousand units","0","","0","","0","","0.062","","0.053","","0.034","","0.273","","0.285","","0.172","","0.2","","","","","","","","","","","","","","","","","","","","","","","","0","6"
"Italy","Mil. USD","","","","","","","","","","","","","","","","","1775.993589412","","2047.95092908184","","","","","","","","","","","","","","","","","","","","","","","","1431.45654402049","6"
