"Country or Area","Unit","1995","1995 Footnotes","1996","1996 Footnotes","1997","1997 Footnotes","1998","1998 Footnotes","1999","1999 Footnotes","2000","2000 Footnotes","2001","2001 Footnotes","2002","2002 Footnotes","2003","2003 Footnotes","2004","2004 Footnotes","2005","2005 Footnotes","2006","2006 Footnotes","2007","2007 Footnotes","2008","2008 Footnotes","2009","2009 Footnotes","2010","2010 Footnotes","2011","2011 Footnotes","2012","2012 Footnotes","2013","2013 Footnotes","2014","2014 Footnotes","2015","2015 Footnotes","2016","2016 Footnotes"
"Algeria","Thousand metric tons","43","1","8","1","28","1","41","1","54","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Argentina","Thousand metric tons","","","","","170.513","","136.014","","163.288","","187.134","","933.773","","1120.49","","1300.489","","1364.549","","1249.438","","1432.859","","1019.431","","882.497","","1117.876","","","","","","","","","","","","","","",""
"Belarus","Thousand metric tons","501.9","2","565.4","2","490.1","2","558.9","2","614.4","2","596.5","2","607.7","2","626.6","2","631.1","2","670.9","2","683.9","","710.572","","750.729","","727.569","","727.663","","760.571","","797.987","","814.293","","833.096","","841.911","","861.185","","843.01",""
"Bosnia and Herzegovina","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.7661686358392","","","","13.0496842650988",""
"Bosnia and Herzegovina","Thousand metric tons","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53.919","","","","55.23352",""
"Brazil","Mil. USD","","","","","","","","","","","138.206594400251","","157.733544799505","","217.089952716067","","407.419439085159","","619.357105331153","","707.462578455917","","984.040056512583","","1126.84445013204","","1836.24692181848","","1065.62858002015","","1206.52982712589","","1476.25807946261","","1589.62849453377","","1381.99556155552","","1247.08446927184","","1055.89781914045","","",""
"Brazil","Thousand metric tons","","","","","","","","","","","1224.26300002","","1345.27600002","","2001.65083202","","2304.21330802","","2413.983641","","2864.576873","","3243.183871","","3713.484273","","4251.749393","","3276.028834","","3277.609408","","3499.2314","","3361.68462","","3771.41977","","3376.457057","","","","",""
"Bulgaria","Mil. USD","","","","","","","99.9796442959058","","69.7022226659286","","75.3552884105921","","","","","","","","","","95.9258004404542","","90.4271238616442","","118.260382771771","","","","","","","","","","188.56147672429","","297.237993915616","","286.939277069041","","265.245975969168","","217.189451565114",""
"Bulgaria","Thousand metric tons","","","","","","","367.538","","288.692","","285.823","","","","","","","","","","229.961","","190.704","","185.465","","","","","","","","226.278","","185.169","","288.818","","308.811","","361.589","","360.64",""
"Canada","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","135.391789079274","","175.876620980007","","29.5520773806355","","50.3244441814529",""
"Chile","Mil. USD","","","","","","","","","","","","","","","","","","","","","1.10829847995005","","0.417979207654812","","1.88990185929816","","1.95361362856847","","192.152999334175","","224.191056983598","","","","","","324.205720244754","","347.480178609434","","323.270939070054","","209.801347275938",""
"Chile","Thousand metric tons","","","","","","","","","","","","","","","","","","","","","13.962","","4.567","","17.696","","8.858","","531.071227","","585.8184","","","","","","602.6608","","680.0337","","620.0276","","",""
"China","Thousand metric tons","18591.8","","21360.5","","20749.3","","22256.7","","24719.6","","23981.1","","25273.7","","28084.8","","28145.2","","33577.3","","38090.3","","39115.4","","42331.3","","43924.2","","45533.6","","44586.7","","45009.7","","48655.8","","48326.1","","45642.4","","49705.7","","41054.7",""
"Croatia","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","186.111142966628","3"
"Croatia","Thousand metric tons","","","","","","","","","","","","","","","","","","","693.039","","650.056","","652.85","","693.699","","279.11","","265.641","","308.203","","310.391","","288.668","","304.982","","334.392","","328.009","","303.351",""
"Cuba","Thousand metric tons","123.7","","121.7","","50","","23.1","","20.4","","37.4","","22","","15.1","","21.4","","51.3","","27.9","","42.3","","47.4","","41.7","","27.2","","36","","45.2","","59.2","","63.7","","58.6","","58.5","","40",""
"Czechia","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","","","224.996304265698","","342.731621595235","","233.751245868961","","204.154830940008","","387.320982000283","","369.454742714712","","284.048763711531","","282.018547512947","","228.832765892576","","180.278847080046",""
"Czechia","Thousand metric tons","","","","","","","","","","","","","","","","","","","","","","","","","364.581","","360.366","","331.727","","301.3","","377","","364.44","","277.971","","","","268.006","","260.99",""
"Denmark","Mil. USD","31.3933397195233","","39.0392857214713","","26.4153347908503","","21.4864534127132","","25.8086017682878","","24.4057257834797","","28.3817349112846","","16.9954221479625","","22.1310305813585","","7.18387463090819","","0.0987175061823506","","0.0531380156258276","","0.0470268311646443","","0.0570797434419184","","0.059318766866054","","0.0494303507687931","","27.3933514175854","","30.40168126877","","30.5470938209607","","27.2062194859535","","24.4414799625812","","29.5189103901322","3"
