"Country or Area","Unit","1995","1995 Footnotes","1996","1996 Footnotes","1997","1997 Footnotes","1998","1998 Footnotes","1999","1999 Footnotes","2000","2000 Footnotes","2001","2001 Footnotes","2002","2002 Footnotes","2003","2003 Footnotes","2004","2004 Footnotes","2005","2005 Footnotes","2006","2006 Footnotes","2007","2007 Footnotes","2008","2008 Footnotes","2009","2009 Footnotes","2010","2010 Footnotes","2011","2011 Footnotes","2012","2012 Footnotes","2013","2013 Footnotes","2014","2014 Footnotes","2015","2015 Footnotes","2016","2016 Footnotes"
"Albania","Thousand units","0","","0","","0","","0","","0","","0","","0","","0","","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Argentina","Thousand units","","","","","662.642","","512.438","","480.837","","222.884","","184.372","","116.77","","203.447","","339.664","","300.687","","516.783","","679.348","","627.944","","352.882","","408.51","","430.2","","409.125","","293.03","","221.062","","191.327","","233.614",""
"Armenia","Thousand units","0","","0","","0","","0","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Austria","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","1"
"Austria","Thousand units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","1"
"Azerbaijan","Thousand units","0","","0","","0","","0","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bangladesh","Mil. USD","","","","","","","","","","","","","0.0933401027356349","2","0.0732967108899945","2","0.102854615405252","2","0.12563713686122","2","0.175554846509987","2","0.206765290278467","2","","","","","","","","","","","","","","","","","","","",""
"Bangladesh","Thousand units","4","","11","","20","","10","","13","","13","","14.252","2","10.308","2","13.105","2","14.936","2","20.24","2","23.81","2","","","","","","","","","","","","","","","","","","","",""
"Belarus","Thousand units","277.3","","138.4","","170.3","","114.2","","194.8","","101.3","","55.6","","47.3","","31.1","","21.8","","13.1","","7.8","","5.4","","8.8","","10","","6.3","","6.3","","4","","18","","231.7","","7.7","","18.1",""
"Belgium","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","1"
"Belgium","Thousand units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","1"
"Brazil","Mil. USD","","","","","","","","","","","729.343669570205","","602.118823151013","","371.24915725709","","503.693126720547","","702.227771019736","","621.442378782354","","586.81252133779","","594.310712313876","","641.97041226619","","463.355697615828","","556.420738787715","","698.416190898769","","718.343158522019","","639.107463325852","","491.635709606707","","303.164560462805","","",""
"Brazil","Thousand units","4729","","2941","","4211","","2753","","2039","","4704.341","","5248.271","","2960.22","","3904.838","","6335.207","","5813.253","","5913.313","","5050.808","","6366.791","","4971.805","","6010.557","","6022.426","","7974.664","","11421.074","","9489.749","","7065.204","","",""
"Bulgaria","Mil. USD","","","","","","","","","","","","","","","","","0","","0","","0","","","","","","","","0","","0","","0","","0","","","","","","","","0","1"
"Bulgaria","Thousand units","2","","0.3","","","","","","","","","","","","","","0","","0","","0","","","","","","","","0","","0","","0","","0","","","","","","","","0","1"
"Chad","Thousand units","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Chile","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000333149678616683","","","","","","",""
"Chile","Thousand units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.003","","","","","","",""
"China, Hong Kong Special Administrative Region","Thousand units","1698","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Croatia","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","1"
"Croatia","Thousand units","0","","0","","","","","","","","","","","","","","","","","","","","","","","","0","","0","","0","","0","","0","","0","","0","","0","","0","1"
"Cuba","Thousand units","23","","14","","30","","17","","12","","11","","11","","10","","6","","66","","214","","522","","26","","0","","124","","20","","71","","0","","0","","0","","0","","0",""
"Czechia","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","","","700.809776449137","","1022.92297178561","","437.444263757016","","738.078096160643","","","","","","","","","","","","",""
"Czechia","Thousand units","","","","","","","","","","","","","","","","","","","","","","","","","8795","","6340","","4382","","8362","","","","","","","","","","","","",""
"Denmark","Mil. USD","83.7660274526836","","95.9602529659811","","77.1381860563652","","78.0833509099374","","75.1893570175338","","63.6759643756611","","63.3390074935561","","58.2569539935845","","66.2874398750799","","65.1457700561449","","63.5862469171623","","90.0785215075837","","6.99395524582618","","","","","","","","129.132847550636","","106.363674509632","","108.386078628329","","109.22149499868","","103.22601329733","","22.2776703175384",""
"Denmark","Thousand units","92","","99","","91","","91","","90","","86","","100","","84","","68","","64","","49","","125","","107.33","","","","","","","","3332.863","","3588.226","","4794.55","","4644.993","","4444.174","","1856.562",""
"Ecuador","Mil. USD","","","","","","","","","","","","","","","","","","","0","","0","","0","","0","","","","","","","","","","","","","","","","12.404508","","15.026432",""
