"Country or Area","Unit","1995","1995 Footnotes","1996","1996 Footnotes","1997","1997 Footnotes","1998","1998 Footnotes","1999","1999 Footnotes","2000","2000 Footnotes","2001","2001 Footnotes","2002","2002 Footnotes","2003","2003 Footnotes","2004","2004 Footnotes","2005","2005 Footnotes","2006","2006 Footnotes","2007","2007 Footnotes","2008","2008 Footnotes","2009","2009 Footnotes","2010","2010 Footnotes","2011","2011 Footnotes","2012","2012 Footnotes","2013","2013 Footnotes","2014","2014 Footnotes","2015","2015 Footnotes","2016","2016 Footnotes"
"Argentina","Thousand metric tons","","","","","","","","","","","16","1","16","1","16","1","16","1","16","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Australia","Thousand metric tons","281","","285","2","305","2","286","2","313","2","476","2","518","2","563","2","537","2","335","2,3","","","","","","","","","","","","","","","","","","","","","","","",""
"Austria","Thousand metric tons","53.53","4,1","58","4,1","76","4,1","78","4,1","77","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","904.284622001989","5"
"Belgium","Thousand metric tons","376","6,1","354","6,1","373","6,1","368","6,1","388.1","6,1","423.1","6,1","423","6,1","423","1","423","1","397","1","","","","","","","","","","","","","","","","","","","","","","","179.711458","5"
"Bolivia (Plurinational State of)","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.11923330980918","","","","","","","","",""
"Bolivia (Plurinational State of)","Thousand metric tons","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.16","","","","","","","","",""
"Brazil","Mil. USD","","","","","","","","","","","24.8039836624669","","49.0229098170894","","104.586257832239","","74.510934207928","","32.3913996112815","","47.9435892617508","","130.567012923729","","201.10201748792","","204.743067275007","","112.010797391041","","259.268662336171","","1395.03317555979","","1016.54293586027","","1253.48302260438","","778.025888240371","","451.899498869482","","",""
"Brazil","Thousand metric tons","","","","","","","","","","","17.231","","32.585","","41.219","","51.936","","22.46","","31.212","","93.362","","103.27","","97.977","","59.17","","44.937","","254.658","","164.338","","214.192","","173.496","","102.316","","",""
"Bulgaria","Mil. USD","","","","","","","","","","","","","","","","","75.6044750923652","","160.623812945845","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bulgaria","Thousand metric tons","25.468","","22.301","","34.529","","","","","","","","","","","","44","","56","","","","","","","","","","","","","","","","","","","","","","","","",""
"Canada","Thousand metric tons","572.616","","559.2","","560.583","","562.261","","548.563","","551.393","","564.631","","567.72","","456.905","1","527","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Chile","Mil. USD","","","","","","","","","","","","","","","","","","","","","587.534085011112","","1190.02493070688","","851.021421883797","","782.845462049871","","11974.0022022802","","","","","","11.8236283222836","","43.3604432147891","","7.79760298087833","","6.54640618313647","","",""
"Chile","Thousand metric tons","1491.5","","1748.2","","2116.6","","2334.9","","2665.7","","2668.3","1","2882","1","2850.1","1","2901.9","1","2895.1","1","168.485","","157.748","","124.058","","98.178","","2407.917","","","","","","1.718","","7.06206","","2.30685","","1.08305","","",""
"China","Thousand metric tons","1079.704","","1120.5","","1152.9","","1109.4","","1174","","1370.8","","1518","","1650","","1860","","2130","","","","","","","","","","","","","","","","","","","","","","","","",""
"Croatia","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","5"
"Croatia","Thousand metric tons","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","0","","0","","0","","0","","0","","0","","0","","0","5"
"Cyprus","Mil. USD","","","","","","","","","","","","","","","4.91271747087536","","5.7977371090641","","4.26802740713159","","0","","6.53714480866528","","21.1205632150191","","","","","","","","","","","","","","","","","","",""
"Cyprus","Thousand metric tons","0","1","1.499","","4.435","","4.936","","5.004","","5.197","","5.176","","4","","3","","1","","0","","1","","3","","","","","","","","","","","","","","","","","","",""
"Czechia","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.162609888713857","","0.1090434159815","5"
"Czechia","Thousand metric tons","","","20","1","20","1","20","1","23.037","1","20","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.015","5"
"Democratic People's Republic of Korea","Thousand metric tons","27","4,1","28","4,1","18","1","16","1","16","1","13","1","13","1","13","1","13","1","13","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Democratic Republic of the Congo","Thousand metric tons","33","1","40.147","1","37.658","1","38.236","1","31.225","7","21","7","21","7","10","7","8","7","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Denmark","Mil. USD","0","","0","","0","","0","","0","","0","","0.00168212267059803","","0.14186707414043","","0","","0","","0","","0","","0","","","","","","","","","","","","","","0.00249444688595065","","0.0237815421674349","","0","5"
"Denmark","Thousand metric tons","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","","","","","","","","","","","","","0","","0.004","","0","5"
"Dominican Republic","Thousand metric tons","","","","","","","","","","","","","","","1.56019543","","0.45697485","","0.75098874","","0.91932883","","0.57709299","","0.11462","","0.00800939","","","","","","","","","","","","","","","","",""
"Ecuador","Mil. USD","","","","","","","","","","","","","","","","","","","0","","0","","0","","0","","","","","","0.073519","","1.39307986","","","","","","3.009873","","","","",""
"Ecuador","Thousand metric tons","","","","","","","","","","","","","","","","","","","0","","0","","0","","0","","","","","","","","18.529404439413","","0.000339999991","","","","0.062599841714","","","","",""
"Egypt","Mil. USD","","","","","","","","","","","","","","","","","0.0851154741812122","","","","","","","","","","","","4.68928668420096","","","","2.0226443555362","","","","","","","","","","",""
"Egypt","Thousand metric tons","","","","","","","","","","","","","","","","","0.03","","","","","","","","","","","","1.267","","","","0.601","","","","","","","","","","",""
"Estonia","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","5"
"Estonia","Thousand metric tons","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","5"
"Finland","Mil. USD","","","","","305.794045384369","","236.980705233952","","193.900182410975","","212.824601664056","","111.855822319263","","206.107624570412","","250.554671988759","","402.302061798067","","649.156842262349","","1165.41514516987","","958.067441104515","","1142.56466096915","","586.238650761022","","1082.05478077416","","1313.67642357826","","1198.77638524691","","1026.34345895819","","1030.87211633775","","801.855280622165","","717.892457824935",""
"Finland","Thousand metric tons","211.153","","240.955","","132.4","","157.7","","126.087","","119","","125","","134.308","","145.228","","144","1","183.938","","174.034","","137.541","","159.788","","123.038","","143.11","","148.639","","147.911","","138.17","","165.081","","160.42","","165.067",""
"France","Thousand metric tons","42","","39","","36","","22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Germany","Mil. USD","1417.02019527172","","1236.32721654208","","1241.01309290804","","924.811624650533","","876.796442700151","","1008.31514522884","","901.128353678267","","918.21259201513","","899.690281695307","","1476.75161448536","","2026.01005944386","","","","","","","","","","","","","","","","","","","","","","",""
"Germany","Thousand metric tons","483.887","","535.748","","544.069","","547.934","","550.208","","545.086","","544.063","","546.628","","502.467","","540.447","","553.3","","","","","","","","","","","","","","","","","","","","","","",""
"Hungary","Thousand metric tons","11","4,1","11","4,1","12","4,1","12","4,1","12","4,1","12","1","10","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
