"Country or Area","Unit","1995","1995 Footnotes","1996","1996 Footnotes","1997","1997 Footnotes","1998","1998 Footnotes","1999","1999 Footnotes","2000","2000 Footnotes","2001","2001 Footnotes","2002","2002 Footnotes","2003","2003 Footnotes","2004","2004 Footnotes","2005","2005 Footnotes","2006","2006 Footnotes","2007","2007 Footnotes","2008","2008 Footnotes","2009","2009 Footnotes","2010","2010 Footnotes","2011","2011 Footnotes","2012","2012 Footnotes","2013","2013 Footnotes","2014","2014 Footnotes","2015","2015 Footnotes","2016","2016 Footnotes"
"Argentina","Thousand metric tons","13.558","","15.853","","29.526","","27.964","","25.131","","31.468","","18.383","","16.19","","17.06","","23.494","","26.886","","23.593","","18.887","","","","","","","","","","","","","","","","","","",""
"Armenia","Thousand metric tons","0.211","1","0.418","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Australia","Thousand metric tons","0","2","2.8","2","13.6","2","","","20.2","2","8.2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Azerbaijan","Mil. USD","","","","","","","","","","","0","","0.00322124590633333","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","",""
"Azerbaijan","Thousand metric tons","","","","","","","","","","","0","","0.0015","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","",""
"Belarus","Thousand metric tons","157.271","","124.045","","123.194","","116.06","","117.517","","134.319","","136.123","","130.676","","125.419","","127.381","","127.983","","120.543","","139.311","","136.946","","121.514","","140.883","","131.997","","133.375","","117.351","","96.251","","101.035","","106.851",""
"Belgium","Thousand metric tons","","","","","","","","","89.8","3","93.1","3","94.7","3","104","3","107.1","3","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Brazil","Mil. USD","","","","","","","","","","","102.296128988193","","126.926645153309","","138.997740169592","","153.607898965312","","351.453851284655","","434.744992071267","","488.273362927866","","367.046138148575","","402.477812698816","","383.151359118479","","481.154622599765","","514.015688472062","","423.537046382735","","294.506017390558","","204.708930557967","","237.52955768249","","",""
"Brazil","Thousand metric tons","82.6","2","79.2","2","90.6","2","101.196","2","140.205","2","83.33","","109.825","","112.82","","109.586","","163.347836","","180.476601","","219.212296","","184.607144","","208.391526","","179.9221","","197.614024","","197.310545","","170.137648","","146.335913","","286.142495","","128.15822","","",""
"Bulgaria","Mil. USD","","","","","","","0","","0","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bulgaria","Thousand metric tons","27.1","2","28.1","2","29.1","2","0","","0","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Canada","Thousand metric tons","86.5","2","84.3","2","82.7","2","","","32.8","2","7.7","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Chile","Mil. USD","","","","","","","","","","","","","","","","","","","","","13.2273737335469","","12.6971775285293","","","","","","","","","","","","","","","","","","","","",""
"Chile","Thousand metric tons","5.6","2","7.7","2","8.2","2","9.616","2","9.299","2","3.313","2","3.084","2","2.994","2","","","","","5.061","","4.885","","","","","","","","","","","","","","","","","","","","",""
