"Country or Area","Unit","1995","1995 Footnotes","1996","1996 Footnotes","1997","1997 Footnotes","1998","1998 Footnotes","1999","1999 Footnotes","2000","2000 Footnotes","2001","2001 Footnotes","2002","2002 Footnotes","2003","2003 Footnotes","2004","2004 Footnotes","2005","2005 Footnotes","2006","2006 Footnotes","2007","2007 Footnotes","2008","2008 Footnotes","2009","2009 Footnotes","2010","2010 Footnotes","2011","2011 Footnotes","2012","2012 Footnotes","2013","2013 Footnotes","2014","2014 Footnotes","2015","2015 Footnotes","2016","2016 Footnotes"
"Argentina","Thousand metric tons","35.001","","39.382","","69.825","","69.06","","68.334","","87.629","","68.355","","59.614","","65.379","","73.509","","72.258","","71.731","","54.091","","50.164","","40.115","","","","","","","","","","","","","","",""
"Armenia","Thousand metric tons","0.287","","0.362","","0.335","","0.149","","0","","0.041","","0.04","","0.037","","0.013","","0.004","","0.002","","0","","0","","","","","","","","","","","","","","","","0","","0",""
"Australia","Thousand metric tons","12.5","1","13.4","1","20.3","1","","","21.5","1","19.7","1","2.2","2,1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Austria","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","3"
"Austria","Thousand metric tons","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","3"
"Azerbaijan","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.61964336698938","","0.0303918119301769","","0","","0","","0","","0","","",""
"Azerbaijan","Thousand metric tons","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.8387","","0.0699","","0","","0","","0","","0","","",""
"Bangladesh","Thousand metric tons","11.8","1","14.6","1","14.3","1","","","13.7","1","13.5","1","13.3","1","13.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belarus","Thousand metric tons","157.271","","23.901","","31.067","","27.698","","29.47","","30.278","","28.675","","24.99","","21.671","","20.382","","24.446","","26.23","","29.484","","28.802","","27.873","","30.314","","37.51","2","45.965","","43.842","","40.623","","37.328","","38.597",""
"Belgium","Thousand metric tons","","","","","","","","","134.1","4","142.8","4","133.1","4","147","4","131.7","4","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bolivia (Plurinational State of)","Thousand metric tons","2.7","1","2.7","1","2.7","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Brazil","Mil. USD","","","","","","","","","","","541.089399818774","","416.667121251216","","428.936839375454","","366.441636434698","","688.546640149466","","698.903003083906","","524.255419415934","","707.226632312849","","636.585912057149","","389.424910311005","","582.315935083816","","643.511385723565","","662.704424980109","","660.077479328683","","691.302162805778","","573.72538508394","","",""
"Brazil","Thousand metric tons","144","1","150.2","1","155.5","1","","","175","1","214.590242","","218.616174","","318.454291","","251.852989","","222.400583","","208.979767","","148.028036","","155.394971","","148.243929","","120.34021","","156.684975","","169.72993","","195.274651","","210.205992","","163.473187","","204.738134","","",""
"Bulgaria","Mil. USD","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","37.1541017534176",""
"Bulgaria","Thousand metric tons","9.6","1","9.5","1","10.3","1","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","11.968",""
"Canada","Thousand metric tons","96.5","1","103.6","1","103.4","1","","","111.1","1","131.7","1","126.8","1","144.9","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Chile","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0941602137108426","","0.734861595370562","","0.0773675839411376","","9.0792161621225",""
"Chile","Thousand metric tons","2.4","1","4","1","4.5","1","","","5.9","1","6","1","6.2","1","","","","","","","","","","","","","","","","","","","","","","","0.01793","","0.31942","","0.01669","","2.25499",""
"China","Thousand metric tons","1168.7","1","1286.3","1","1446.7","1","","","3072.2","1","3546.8","1","4338.2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Colombia","Thousand metric tons","40","1","39.4","1","44.6","1","","","34.2","1","35","1","31.9","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Costa Rica","Thousand metric tons","7.7","1","7.8","1","7.9","1","","","7.8","1","8.2","1","8.7","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Croatia","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","3"
"Croatia","Thousand metric tons","","","","","","","","","","","","","","","","","","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","3"
"Czechia","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.7082455198775","","18.2527979553679","","25.8970765320557","","26.7237818710435","","20.0891244128628","","19.8790588952691","","20.3355848839725",""
"Czechia","Thousand metric tons","0.4","1","0.4","1","0.2","1","","","0.2","1","0.2","1","","","","","","","","","","","","","","","","","","","4.859","","5.148","","8.13","","8.579","","6.327","","7.127","","7.543",""
"Denmark","Mil. USD","127.312445335602","","143.15554453132","","142.40393895488","","135.261669206983","","119.434251115214","","117.760858939689","","88.0838730393884","","86.8427894317896","","103.910738338574","","113.501513645061","","99.8984477005658","","91.5909370535922","","99.7857921717166","","90.7218773154933","","51.0499546093293","","14.6441859327978","","4.93768386333285","","4.05491558617424","","3.80943957461124","","4.679760532821","","3.04463193598586","","3.52747903186644","3"
"Denmark","Thousand metric tons","13.903","","16.237","","19.338","","18.991","","17.872","","19.916","","14.879","","13.887","","14.257","","14.056","","12.548","","11.531","","11.421925","","","","","","","","","","","","","","","","","","0.321808","3"
"Ecuador","Mil. USD","","","","","","","","","","","","","","","","","","","0","","0","","0","","0","","","","","","","","0","","","","11.274709","","4.099201","","15.24726","","7.204311",""
"Ecuador","Thousand metric tons","5.6","1","5.2","1","5.6","1","","","7.1","","7","","6.6","","","","","","0","","0","","0","","0","","","","","","","","","","","","1.503062787495","","0.610845796687","","2.177082","","",""
"Egypt","Thousand metric tons","14.2","1","14.3","1","14.8","1","","","27.6","1","34.4","1","34","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Estonia","Mil. USD","","","","","","","","","","","","","","","","","","","","","0","","0","","","","","","","","1.52453894908225","","1.3901337815643","","1.28486214924642","","1.32774056786312","","14.5940711450646","","17.7450684508363","","26.3153491088678",""
"Estonia","Thousand metric tons","","","","","","","","","","","","","","","","","","","","","0","","0","","","","","","","","1.1163","","0.8693","","0.327","","0.5525","","1.9002","","2.7504","","2.40685",""
"Finland","Mil. USD","","","","","14.8888486516734","","14.4636111175651","","13.8500130293554","","11.9771420849901","","9.84331236409517","","8.47017635220873","","9.0289971887841","","6.20836515120473","","1.2435954832612","","1.25448347165756","","1.36866777300645","","0","","0","","0","","0","","0","","0","","0","","0","","0",""
"Finland","Thousand metric tons","2.77","","2.19","","2.551","","2.352","","2.4","","2.52","","2.269","","1.897","","1.692","","1.207","","0.538","","0.344","","0.344","","0","","0","","","","","","","","0","","0.005","","0","","0",""
"France","Mil. USD","","","","","","","","","","","108.130207196881","","164.242864045959","","225.053773385137","","","","527.429448759258","","","","","","","","","","","","","","","","","","","","","","","","",""
"Germany","Mil. USD","1992.28263611302","","1737.21083927902","","1657.09663596924","","1647.76207165535","","1391.74241913034","","1273.65717038606","","1089.62041490635","","982.001907985648","","938.342253919854","","1050.28588900685","","983.173215440482","","984.574688914234","","1165.27548065901","","1072.69289010281","","600.227128758512","","729.168605854625","","725.757747281759","","572.734416023448","","551.984394449034","","650.478727922701","","506.92647914922","","491.655612966402",""
