"Country or Area","Unit","1995","1995 Footnotes","1996","1996 Footnotes","1997","1997 Footnotes","1998","1998 Footnotes","1999","1999 Footnotes","2000","2000 Footnotes","2001","2001 Footnotes","2002","2002 Footnotes","2003","2003 Footnotes","2004","2004 Footnotes","2005","2005 Footnotes","2006","2006 Footnotes","2007","2007 Footnotes","2008","2008 Footnotes","2009","2009 Footnotes","2010","2010 Footnotes","2011","2011 Footnotes","2012","2012 Footnotes","2013","2013 Footnotes","2014","2014 Footnotes","2015","2015 Footnotes","2016","2016 Footnotes"
"Algeria","Thousand units","112","1","74","1","3","1","30","1","150.5","1","171.9","1","56.9","1","0","1","0","1","4.9","1","0","1","15.1","1","14.5","1","5.1","1","7.2","1","14.2","1","0","1","3","1","34","1","6.4","1","0","1","",""
"Argentina","Thousand units","335.407","","328.024","","483.669","","423.299","","431.617","","342.592","","565.188","","266.395","","379.5","","653.872","","714.405","","1220.67","","1036.733","","291.473","","443.532","","","","","","","","","","","","","","",""
"Australia","Thousand units","1592","","1153","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Austria","Thousand units","","","396","2","538","","","","850","","1465","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Azerbaijan","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","0","","0","","0","","0","","0","","",""
"Azerbaijan","Thousand units","2","","0","","1","","51","","0","","","","","","","","","","","","","","","","","","","","","","0","","0","","0","","0","","0","","0","","",""
"Bangladesh","Mil. USD","","","","","","","","","","","","","0.0936805638513916","3","0.0947001105583195","3","0.102424693087055","3","0.117521216424685","3","0.161703844274938","3","0.204241108666985","3","","","","","","","","","","","","","","","","","","","",""
"Bangladesh","Thousand units","6","3","9","3","24","3","36","3","4","3","3","3","3.063","3","3.202","3","3.43","3","4.017","3","5.995","3","7.488","3","","","","","","","","","","","","","","","","","","","",""
"Belarus","Thousand units","210.1","","93.4","","131.9","","100.9","","128.4","","79.5","","75.8","","65.1","","44.7","","72.6","","67.6","","70.1","","81.5","","88.5","","111.5","","80.3","","84.6","","69.3","","39","","25.1","","23.3","","7.5",""
"Belgium","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","4"
