"Country or Area","Unit","1995","1995 Footnotes","1996","1996 Footnotes","1997","1997 Footnotes","1998","1998 Footnotes","1999","1999 Footnotes","2000","2000 Footnotes","2001","2001 Footnotes","2002","2002 Footnotes","2003","2003 Footnotes","2004","2004 Footnotes","2005","2005 Footnotes","2006","2006 Footnotes","2007","2007 Footnotes","2008","2008 Footnotes","2009","2009 Footnotes","2010","2010 Footnotes","2011","2011 Footnotes","2012","2012 Footnotes","2013","2013 Footnotes","2014","2014 Footnotes","2015","2015 Footnotes","2016","2016 Footnotes"
"Algeria","Units","194000","1","250000","1","172000","1","251000","1","173300","","194500","","245100","","289000","1","292300","","205800","","171400","","173600","","160400","","170800","","79800","","93500","","95200","","72400","","49200","","48900","","29000","","",""
"Argentina","Units","949000","","1096000","","1630000","","1592000","","1335000","","1556000","","1201000","","220000","","332000","","941000","","1627000","","2041742","","2218734","","1783944","","1226590","","2609418","","2730738","","2964727","","3369117","","2703365","","2984056","","3203055",""
"Austria","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","2"
"Austria","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","2"
"Azerbaijan","Mil. USD","","","","","","","","","","","0.00223505953500145","","","","","","","","","","0.719256288997177","","0.895410461751983","","0.96722639790022","","0.900660134016056","","1.2441163663508","","1.24587951306876","","2.40601844447234","","0.763703352916658","","0.382389156616178","","0.254989019535346","","0.0292807528859264","","0",""
"Azerbaijan","Units","","","1187","","1239","","2940","","135","","41","","","","","","","","","","7188","","5137","","8558","","6323","","9011","","9067","","18784","","24136","","24485","","6050","","788","","0",""
"Bangladesh","Mil. USD","","","","","","","","","","","","","19.9278341894636","3","19.2536622443339","3","17.9242868964493","3","18.9782145787192","3","22.2718364120463","3","24.4474532603287","3","","","","","","","","","","","","","","","","","","","",""
"Bangladesh","Units","","","","","","","","","","","","","130371","3","143104","3","130912","3","140891","3","171678","3","191796","3","","","225243","3","226726","3","232740","3","","","","","","","","","","","",""
"Belarus","Units","","","313861","","454310","","468402","","515773","","531815","","727299","","738242","","689726","","1262422","","1307575","","1067112","","702289","","717028","","352202","","445779","","403900","","594432","","245286","","92287","","22172","","169484",""
"Brazil","Mil. USD","","","","","","","","","","","1243.30716875287","","1027.60243018468","","796.965857933326","","826.398784810496","","1312.76637869799","","2015.2139993941","","2659.34258456201","","3151.06271135517","","3474.21796775307","","3250.30572455133","","6059.94476200382","","7061.00004717462","","6143.4259924524","","6547.17329033116","","5759.65774869497","","3318.40110029185","","",""
"Brazil","Units","","","","","","","","","","","7250253","","8070592","","5982894","","6952378","","10872243","","13235993","","15346058","","17554525","","14672272","","14116709","","19839812","","25315805","","26447395","","29000734","","26592415","","20031013","","",""
"Bulgaria","Mil. USD","","","","","","","0.568066160772192","","0","","0","","","","","","","","","","12.0701338302558","","16.6745051092394","","19.5934361988734","","32.158749548157","","","","","","","","","","","","","","","","",""
"Bulgaria","Units","","","","","","","3389","","1364","","77","","","","","","","","","","159164","","248562","","333910","","494376","","","","","","","","","","","","","","","","",""
"Croatia","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","2"
"Croatia","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","0","","0","","0","","0","","0","","0","","0","","0","2"
"Cuba","Units","10500","","16200","","51700","","83700","","86300","","74900","","79400","","105000","","325100","","100200","","128300","","150300","","118300","","94200","","79400","","46500","","57200","","7000","","45000","","35000","","52900","","62300",""
"Czechia","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","798.861730779003","","",""
"Czechia","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2570473","","2086736","","",""
"Denmark","Mil. USD","","","","","","","","","","","","","","","","","","","","","267.152917085632","","188.220232411555","","213.074714337259","","173.71366662651","","150.694477261139","","157.266039304241","","144.011650485602","","175.029133041295","","145.759538602644","","163.169788675023","","121.853054834611","","",""
"Denmark","Units","","","","","","","","","","","","","","","","","","","","","273462","","83638","","","","","","","","","","","","","","","","","","","","",""
"Ecuador","Mil. USD","","","","","","","","","","","","","","","","","","","0","","0","","0","","0","","","","","","","","18.4593291","","4.904993","","57.012195","","122.652661","","95.106365","","167.254131",""
"Ecuador","Units","","","","","","","","","","","","","","","","","","","0","","0","","0","","0","","","","","","","","157772","","","","99311","","355751","","247716","","359600",""
"Egypt","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","172.912360079304","","219.430674010622","","",""
"Egypt","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","710616","","546942","","",""
"Estonia","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","2"
"Estonia","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","2"
"Finland","Mil. USD","","","","","","","","","","","","","","","","","","","","","2.48719096652241","","0","","0","","","","0","","0","","0","","0","","0","","0","","2.21813355635454","","0",""
"Finland","Units","","","","","","","","","","","","","","","","","","","","","3300","","0","","0","","","","0","","","","","","","","","","32","","","","139",""
"Germany","Mil. USD","","","","","803.060047566712","","805.820798200751","","774.535344026258","","669.798638137526","","621.02352551655","","460.212915136674","","483.051349599949","","641.944956634569","","603.143809381684","","693.729359826631","","772.838302167628","","852.171557583282","","713.556305017491","","706.302523571046","","561.284919677853","","456.956001699713","","243.580308631224","","","","","","",""
"Germany","Units","","","","","1590542","","1806063","","1984477","","2314767","","1919700","","1465672","","1564537","","2564029","","2208906","","2206893","","2009477","","2142635","","1881736","","2122488","","1580189","","1506074","","787310","","709298","","614318","","",""
"Hungary","Mil. USD","","","","","","","","","","","","","","","","","","","1163.74278139707","","1600.87683038343","","2862.07994676553","","4532.04206016765","","5265.78610992758","","4192.84872945924","","5407.87470995819","","4234.93089461869","","2355.70489818387","","1922.61337982521","","1926.0782020871","","","","",""
