"Internet access in households"
"% of all households"
"Category","United States","Colombia","Korea","New Zealand","United Kingdom","Mexico","Chile","Switzerland","Brazil","Norway","Japan","Canada","Türkiye","Australia","Israel"
"2005-01-01 00:00:00",,,92.73207761,,60.2317,9,,,,64.0064,57,64.3,7.6586,60,48.91
"2006-01-01 00:00:00",,,93.99318525,65,62.6411,10.13,19.7,70.49,,68.7942,60.5,68.1,,64,54.58
"2007-01-01 00:00:00",61.78,,94.13277834,,66.7177,12,,73.88,,77.5907,62.1,72.7,19.7112,67,59.34
"2008-01-01 00:00:00",,21.14492933,94.27491965,,71.1426,13.5,,77,17.6,83.9703,63.9,74.6,25.4085,72,61.82
"2009-01-01 00:00:00",68.69,22.50139788,95.90486133,75,76.6928,18.36,30,79.44,23.9,85.564,67.1,77.8,30.0293,,66.26
"2010-01-01 00:00:00",71.06,26.03714166,96.83910415,,79.6067,22.19,,80.74,27.1,89.7907,,78.3,41.6259,78.92,68.13996633
"2011-01-01 00:00:00",71.7,29.81517903,97.23167946,,82.701,23.27,,83.28,35.83781945,92.2364,,80.4,,,70.30230145
"2012-01-01 00:00:00",74.76,32.13918298,97.34970774,80,86.796,25.97,60.53127531,85.5,39.56899335,92.6922,,81.4,47.1976,83,70.65
"2013-01-01 00:00:00",74.15,35.65978846,98.14339821,,88.4457,30.74345946,61.61042742,89.82,43.3,94.2851,,83.7,49.084,,70.6
"2014-01-01 00:00:00",,37.98099824,98.48694292,,90.3364,34.39273866,66.50388133,90.62,49.6,93.0669,,84.9,60.236,85.89,72.07
"2015-01-01 00:00:00",73.37,41.8,98.78346936,,91.2516,39.17773854,71.55808871,,49.2,96.6041,,86.9,69.5445,,74.29
"2016-01-01 00:00:00",,45.75080796,99.1944483,,93.4847,47.01712112,79.29779525,,53.9,97.0455,,87.4,76.3445,86.11,75.37
"2017-01-01 00:00:00",77.97,,99.50465037,,93.9916,50.67495317,87.53899513,93.0608,60.8,96.6549,,89,80.7429,,74.06
"2018-01-01 00:00:00",,52.66114204,99.47817968,,94.8522,52.51085169,,,66.6629816,96.0131,,93.6,83.7909,,74.94
"2019-01-01 00:00:00",79.88,52.15725365,99.68928795,,95.8457,55.80114563,,95.509064,71.4,98.3832,,91,88.2995,,75.9
"2020-01-01 00:00:00",,,99.74851416,,97.3038,59.93948781,,,83.17,96.1982,,94.2,90.7316,,82.5
"2021-01-01 00:00:00",81.85,60.5472229,99.93245023,,,66.44011638,,98.6726,81.53,98.9302,,92.8,91.9753,,83
"2022-01-01 00:00:00",,59.4655787,99.96077758,,,68.50134336,,,80.24,99.0137,,94.01,94.1458,,
"2023-01-01 00:00:00",,,99.965872,,,,,99.6648,84.11,99.0128,,,95.5385,,
